of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
flake|NN1|Snowflakes fell gently.|хлопья|Снежные хлопья падали нежно.
trooper|NN1|The state trooper was vigilant.|солдат|Государственный солдат был бдителен.
collide|VV0|The cars collided on the highway.|сталкиваться|Машины столкнулись на шоссе.
square|VV0|They squared off in the ring.|выравнивать|Они выровнялись на ринге.
alleviate|VV0|He took medicine to alleviate the pain.|облегчать|Он принял лекарство, чтобы облегчить боль.
parsley|NN1|She added parsley to the soup.|петрушка|Она добавила петрушку в суп.
intensely|RG|He studied intensely for the test.|интенсивно|Он интенсивно учился к тесту.
delusion|NN1|He suffered from delusions.|заблуждение|Он страдал от заблуждений.
stew|NN1|She made a hearty stew.|тушенка|Она приготовила сытную тушенку.
adaptive|JJ|He is an adaptive learner.|адаптивный|Он адаптивный ученик.
vapor|NN1|The vapor rose from the pot.|пар|Пар поднимался из кастрюли.
liberalism|NN1|He believes in liberalism.|либерализм|Он верит в либерализм.
conjure|VV0|The magician conjured a rabbit.|колдовать|Маг заколдовал кролика.
annoy|VV0|The noise annoyed him.|раздражать|Шум его раздражал.
disable|VV0|He disabled the alarm.|отключать|Он отключил сигнализацию.
engaging|JJ|The book is very engaging.|увлекательный|Книга очень увлекательная.
rebound|VV0|The ball rebounded off the wall.|отскакивать|Мяч отскочил от стены.
painted|JJ|The house is freshly painted.|покрашенный|Дом свежепокрашенный.
after|RG|She arrived after everyone else.|после|Она приехала после всех остальных.
embargo|NN1|The embargo was lifted.|эмбарго|Эмбарго было снято.
snapshot|NN1|He took a snapshot of the sunset.|снимок|Он сделал снимок заката.
lecture|VV0|The professor lectured on history.|читать лекцию|Профессор читал лекцию по истории.
rant|NN1|He went on a rant about politics.|разговор|Он ушел в разговор о политике.
swiftly|RG|She moved swiftly through the crowd.|быстро|Она быстро двигалась по толпе.
taliban|JJ|The Taliban forces attacked.|талибский|Силы талибов атаковали.
stupidity|NN1|His stupidity cost him dearly.|глупость|Его глупость дорого ему обошлась.
divorced|JJ|She is a divorced mother of two.|разведенная|Она разведенная мать двоих детей.
infer|VV0|From the evidence, they inferred guilt.|делать вывод|На основе доказательств они сделали вывод о виновности.
award-winning|JJ|The book is award-winning.|награжденный|Книга награждена.
insistence|NN1|Her insistence paid off.|настойчивость|Ее настойчивость окупилась.
immerse|VV0|He immersed himself in work.|погружаться|Он погрузился в работу.
rugged|JJ|The terrain is rugged.|жесткий|Территория жесткая.
conserve|VV0|They conserved water during the drought.|сберегать|Они сберегали воду во время засухи.
pant|VV0|The dog panted after running.|запыхаться|Собака запыхалась после бега.
engaged|JJ|They are engaged to be married.|помолвленный|Они помолвлены.
humane|JJ|The treatment was humane.|гуманный|Лечение было гуманным.
booster|NN1|The child got a booster shot.|бустер|Ребенок получил бустерную прививку.
reminiscent|JJ|The painting is reminiscent of Van Gogh.|напоминающий|Картина напоминает работы Ван Гога.
iranian|NN1|He studies Iranian culture.|иранский|Он изучает иранскую культуру.
mislead|VV0|The sign misled them.|вводить в заблуждение|Знак ввел их в заблуждение.
nudge|VV0|He nudged her to wake up.|подталкивать|Он подтолкнул ее, чтобы разбудить.
liner|NN1|The ship was a luxury liner.|лайнер|Корабль был роскошным лайнером.
ex-wife|NN1|He met his ex-wife at the party.|бывшая жена|Он встретил свою бывшую жену на вечеринке.
maverick|NN1|He is a political maverick.|индивидуалист|Он политический индивидуалист.
commence|VV0|The meeting commenced at noon.|начинать|Встреча началась в полдень.
exemplify|VV0|This case exemplifies the issue.|служить примером|Этот случай служит примером проблемы.
curb|NN1|She sat on the curb.|бордюр|Она села на бордюр.
imitation|NN1|The bag is an imitation.|имитация|Сумка — это имитация.
humility|NN1|He showed great humility.|смирение|Он показал большое смирение.
preseason|NN1|The team is in preseason training.|предсезон|Команда находится на предсезонных тренировках.
marsh|NN1|They crossed the marsh.|болото|Они пересекли болото.
co-op|NN1|They live in a co-op.|кооператив|Они живут в кооперативе.
sweaty|JJ|He was sweaty after the workout.|потный|Он был потный после тренировки.
catalogue|NN1|The catalogue listed all the products.|каталог|Каталог содержал все товары.
read|NN1|He gave the report a quick read.|прочтение|Он быстро прочитал отчет.
initiation|NN1|The initiation ceremony was grand.|инициация|Церемония инициации была грандиозной.
shortcoming|NN1|The plan has some shortcomings.|недостаток|У плана есть некоторые недостатки.
normative|JJ|This is a normative statement.|нормативный|Это нормативное заявление.
cockpit|NN1|The pilot entered the cockpit.|кабина|Пилот вошел в кабину.
needy|JJ|The charity helps needy families.|нуждающийся|Благотворительность помогает нуждающимся семьям.
reluctance|NN1|She expressed reluctance to join.|нежелание|Она выразила нежелание присоединиться.
polished|JJ|The floors were polished.|полированный|Полы были полированы.
railing|NN1|He grabbed the railing for support.|перила|Он схватился за перила для поддержки.
briefcase|NN1|He left his briefcase at work.|портфель|Он оставил свой портфель на работе.
best-seller|NN1|The novel is a best-seller.|бестселлер|Роман — бестселлер.
kitten|NN1|The kitten was playful.|котенок|Котенок был игривым.
swimmer|NN1|She is a competitive swimmer.|пловец|Она соревнующийся пловец.
momma|NN1|Her momma is the best cook.|мама|Ее мама лучшая повариха.
battered|JJ|The house looked battered by the storm.|потрепанный|Дом выглядел потрепанным штормом.
hesitation|NN1|He agreed without hesitation.|колебание|Он согласился без колебания.
dial|NN1|He turned the dial slowly.|циферблат|Он медленно повернул циферблат.
protestant|NN1|He was raised Protestant.|протестант|Он был воспитан протестантом.
socialize|VV0|They socialized after the meeting.|общаться|Они общались после встречи.
magician|NN1|The magician amazed the crowd.|волшебник|Волшебник удивил толпу.
goddamn|UH|Goddamn, that was close!|черт возьми|Черт возьми, это было близко!
sexist|JJ|His comments were sexist.|сексистский|Его комментарии были сексистскими.
humidity|NN1|The humidity was high.|влажность|Влажность была высокой.
boiling|JJ|The water is boiling hot.|кипящий|Вода кипит.
shudder|VV0|She shuddered at the thought.|содрогаться|Она содрогнулась от этой мысли.
spill|NN1|The spill was contained quickly.|пролив|Пролив был быстро устранен.
uh-oh|UH|Uh-oh, we have a problem.|о-о|О-о, у нас проблема.
linkage|NN1|The linkage was faulty.|связь|Связь была неисправна.
derivative|NN1|The equation was a derivative.|производная|Уравнение было производной.
pinpoint|VV0|He pinpointed the issue.|определять|Он определил проблему.
thinly|RG|The bread was thinly sliced.|тонко|Хлеб был тонко нарезан.
paperback|NN1|She prefers paperback books.|мягкая обложка|Она предпочитает книги в мягкой обложке.
ordeal|NN1|The ordeal was finally over.|испытание|Испытание наконец закончилось.
relic|NN1|The relic was ancient.|реликвия|Реликвия была древней.
ornament|NN1|The Christmas ornament was beautiful.|украшение|Рождественское украшение было красивым.
facet|NN1|They explored every facet of the issue.|грань|Они исследовали каждую грань вопроса.
nervously|RG|She laughed nervously.|нервно|Она нервно засмеялась.
graceful|JJ|The dancer was graceful.|изящный|Танцовщица была изящной.
listening|JJ|She is a good listening partner.|слушающий|Она хороший слушающий партнер.
collective|NN1|They made a collective decision.|коллективный|Они приняли коллективное решение.
enormously|RG|The project grew enormously.|огромно|Проект вырос огромно.
repeat|NN1|He requested a repeat of the song.|повторение|Он запросил повторение песни.
scenery|NN1|The scenery was breathtaking.|пейзаж|Пейзаж был захватывающим.
dominican|JJ|She is of Dominican descent.|доминиканский|Она доминиканского происхождения.
grouping|NN1|The grouping was logical.|группировка|Группировка была логичной.
envy|NN1|He felt envy for his friend.|зависть|Он почувствовал зависть к своему другу.
headlight|NN1|The car's headlight was broken.|фара|Фара автомобиля была сломана.
hard-working|JJ|She is a hard-working student.|трудолюбивый|Она трудолюбивая студентка.
rainfall|NN1|The rainfall was heavy last night.|дождь|Прошлой ночью был сильный дождь.
contour|NN1|The contour of the land was smooth.|контур|Контур земли был плавным.
cavalry|NN1|The cavalry charged at dawn.|кавалерия|Кавалерия атаковала на рассвете.
chalk|NN1|He drew with chalk on the sidewalk.|мел|Он рисовал мелом на тротуаре.
geological|JJ|The geological survey was completed.|геологический|Геологическое исследование было завершено.
fulfillment|NN1|He found fulfillment in teaching.|удовлетворение|Он нашел удовлетворение в преподавании.
yeast|NN1|The bread rose with yeast.|дрожжи|Хлеб поднялся с дрожжами.
mailbox|NN1|He checked the mailbox daily.|почтовый ящик|Он ежедневно проверял почтовый ящик.
protector|NN1|He sees himself as a protector.|защитник|Он видит себя как защитник.
slam|NN1|The door closed with a slam.|удар|Дверь закрылась с ударом.
apocalypse|NN1|The movie depicted an apocalypse.|апокалипсис|Фильм изображал апокалипсис.
shelter|VV0|They sheltered from the storm.|укрываться|Они укрылись от шторма.
inflate|VV0|She inflated the balloon.|надувать|Она надула шарик.
affiliate|VV0|The company affiliates with many brands.|связывать|Компания связывается с многими брендами.
mingle|VV0|They mingled at the party.|общаться|Они общались на вечеринке.
sexism|NN1|Sexism in the workplace is an issue.|сексизм|Сексизм на рабочем месте — это проблема.
shiite|JJ|The conflict involved Shiite groups.|шиитский|Конфликт включал шиитские группы.
inconsistency|NN1|There was an inconsistency in the report.|несоответствие|В отчете было несоответствие.
alphabet|NN1|The child learned the alphabet.|алфавит|Ребенок выучил алфавит.
stylish|JJ|Her outfit was stylish.|стильный|Ее наряд был стильным.
black-and-white|JJ|The photo was black-and-white.|черно-белый|Фото было черно-белым.
fm|NN1|She listens to FM radio.|ФМ|Она слушает ФМ радио.
nonfiction|NN1|He prefers nonfiction books.|нонфикшн|Он предпочитает нонфикшн книги.
harness|VV0|He harnessed the power of the wind.|использовать|Он использовал силу ветра.
fasten|VV0|She fastened her seatbelt.|пристегивать|Она пристегнула ремень безопасности.
lightweight|JJ|The material is lightweight.|легкий|Материал легкий.
acknowledgment|NN1|He received an acknowledgment letter.|подтверждение|Он получил письмо с подтверждением.
denomination|NN1|The bill was of a high denomination.|номинал|Счет был высокого номинала.
longevity|NN1|His longevity in the company is notable.|долговечность|Его долговечность в компании примечательна.
displacement|NN1|The displacement caused problems.|перемещение|Перемещение вызвало проблемы.
marxist|JJ|He follows Marxist theories.|марксистский|Он придерживается марксистских теорий.
heightened|JJ|There was heightened tension in the room.|повышенный|В комнате была повышенная напряженность.
man|VV0|He manned the controls.|управлять|Он управлял контролем.
moderately|RG|The sauce was moderately spicy.|умеренно|Соус был умеренно острым.
augment|VV0|They augmented the budget.|увеличивать|Они увеличили бюджет.
outnumber|VV0|The attackers outnumbered the defenders.|превосходить числом|Нападающие превосходили защитников числом.
deacon|NN1|The deacon gave the sermon.|диакон|Диакон произнес проповедь.
interruption|NN1|There was an interruption in the broadcast.|прерывание|В трансляции было прерывание.
ion|NN1|An ion has an electric charge.|ион|Ион имеет электрический заряд.
cosmetic|JJ|She bought cosmetic products.|косметический|Она купила косметические продукты.
confidentiality|NN1|The contract ensures confidentiality.|конфиденциальность|Контракт обеспечивает конфиденциальность.
procession|NN1|The procession moved slowly.|шествие|Шествие двигалось медленно.
dane|NN1|He is a Dane by birth.|датчанин|Он по происхождению датчанин.
memorandum|NN1|The office issued a memorandum.|меморандум|Офис выпустил меморандум.
rum|NN1|He drank a glass of rum.|ром|Он выпил стакан рома.
confide|VV0|She confided in her friend.|доверять|Она доверила своей подруге.
polish|NN1|He applied polish to the wood.|лак|Он нанес лак на дерево.
salty|JJ|The soup was too salty.|соленый|Суп был слишком соленым.
tar|NN1|The road was paved with tar.|смола|Дорога была вымощена смолой.
autograph|NN1|She asked for his autograph.|автограф|Она попросила его автограф.
intimidating|JJ|The boss was intimidating.|пугающий|Босс был пугающим.
crib|NN1|The baby slept in the crib.|кроватка|Ребенок спал в кроватке.
plainly|RG|She spoke plainly.|ясно|Она говорила ясно.
metallic|JJ|The taste was metallic.|металлический|Вкус был металлическим.
fuss|NN1|She made a fuss over nothing.|суета|Она устроила суету на ровном месте.
divisive|JJ|The issue was divisive.|разделяющий|Вопрос был разделяющим.
cleric|NN1|The cleric led the prayer.|священнослужитель|Священнослужитель вел молитву.
dispatch|NN1|They received the dispatch yesterday.|отправка|Они получили отправку вчера.
ominous|JJ|The sky looked ominous.|зловещий|Небо выглядело зловещим.
outpost|NN1|The outpost was well-defended.|застава|Застава была хорошо защищена.
boob|NN1|She fed the baby with her boob.|грудь|Она кормила ребенка грудью.
slut|NN1|The word 'slut' is derogatory.|шлюха|Слово 'шлюха' является оскорбительным.
windy|JJ|It was a windy day.|ветреный|Это был ветреный день.
salvage|VV0|They salvaged what they could.|спасать|Они спасли то, что могли.
decision-making|JJ|Decision-making is vital in tough situations.|принятие решений|Принятие решений жизненно важно в сложных ситуациях.
police|NN2|The police are on duty.|полиция|Полиция на дежурстве.
presumption|NN1|His presumption was incorrect.|предположение|Его предположение было неверным.
asphalt|NN1|The asphalt is hot today.|асфальт|Асфальт сегодня горячий.
rake|VV0|I rake leaves every autumn.|грабить|Я граблю листья каждую осень.
centerpiece|NN1|The centerpiece is stunning.|центральное украшение|Центральное украшение потрясающее.
bilingual|JJ|Being bilingual is an advantage.|двуязычный|Быть двуязычным — это преимущество.
vet|VV0|They vet the applicants carefully.|проверять|Они тщательно проверяют заявителей.
purchasing|NN1|His purchasing habits are unusual.|покупка|Его привычки в покупке необычны.
shitty|JJ|It was a shitty day.|отвратительный|Это был отвратительный день.
long-distance|JJ|A long-distance call can be expensive.|междугородний|Междугородний звонок может быть дорогим.
dawn|VV0|They dawn their new outfits.|надевать|Они надевают свои новые наряды.
handkerchief|NN1|The handkerchief is embroidered.|носовой платок|Носовой платок вышит.
captive|NN1|The captive escaped at night.|пленник|Пленник сбежал ночью.
bound|VVN|He is bound by a promise.|связан|Он связан обещанием.
puddle|NN1|The puddle is growing.|лужа|Лужа растет.
mediator|NN1|The mediator was impartial.|посредник|Посредник был беспристрастен.
paramedic|NN1|The paramedic arrived quickly.|фельдшер|Фельдшер прибыл быстро.
overhead|JJ|The overhead lights are bright.|верхний|Верхний свет яркий.
chic|JJ|She wore a chic outfit.|шикарный|Она носила шикарный наряд.
eyelid|NN1|His eyelid twitched nervously.|веко|Его веко нервно подергивалось.
bidding|NN1|The bidding ended suddenly.|торги|Торги внезапно закончились.
fireman|NN1|The fireman saved the child.|пожарный|Пожарный спас ребенка.
excerpt|VV0|She excerpted a paragraph.|выбирать|Она выбрала параграф.
hymn|NN1|The hymn is uplifting.|гимн|Гимн воодушевляет.
kill|NN1|A single kill was made.|убийство|Произошло одно убийство.
islamist|NN1|The islamist spoke passionately.|исламист|Исламист говорил с энтузиазмом.
vicinity|NN1|In the vicinity, there was silence.|окрестности|В окрестностях было тихо.
ceremonial|JJ|The ceremonial robe was worn.|церемониальный|Церемониальный халат был надет.
grate|VV0|I grate cheese for pasta.|натирать|Я натираю сыр для пасты.
striped|JJ|He wore a striped shirt.|полосатый|Он носил полосатую рубашку.
metrics|NN2|The metrics are accurate.|метрики|Метрики точны.
underwater|RL|The treasure lies underwater.|под водой|Сокровище лежит под водой.
dart|NN1|The dart hit the bullseye.|дротик|Дротик попал в цель.
trim|NN1|The trim is precise.|отделка|Отделка точная.
mentor|VV0|She will mentor new employees.|наставлять|Она будет наставлять новых сотрудников.
fetal|JJ|The fetal position is common.|плодный|Плодное положение распространено.
cherokee|JJ|He studies Cherokee culture.|чирокский|Он изучает чирокскую культуру.
immature|JJ|His behavior was immature.|незрелый|Его поведение было незрелым.
swarm|VV0|Bees swarm around flowers.|рой|Пчелы роятся вокруг цветов.
aerospace|NN1|Aerospace technology is advanced.|авиакосмический|Авиакосмическая технология развита.
iceberg|NN1|The iceberg was massive.|айсберг|Айсберг был массивным.
brownie|NN1|She baked a brownie.|брауни|Она испекла брауни.
amuse|VV0|Jokes always amuse her.|развлекать|Шутки всегда ее развлекают.
bullpen|NN1|The bullpen is crowded.|стойло|Стойло переполнено.
snag|VV0|I snagged my sweater.|зацепить|Я зацепил свой свитер.
espouse|VV0|They espouse new ideas.|поддерживать|Они поддерживают новые идеи.
staggering|JJ|The staggering cost shocked everyone.|ошеломляющий|Ошеломляющая стоимость шокировала всех.
clueless|JJ|He was clueless about the topic.|без понятия|Он был без понятия о теме.
rearrange|VV0|Please rearrange the books.|переставить|Пожалуйста, переставьте книги.
favourite|JJ|That’s my favourite song.|любимый|Это моя любимая песня.
fanatic|NN1|The fanatic cheered loudly.|фанатик|Фанатик громко кричал.
stale|JJ|The bread is stale.|черствый|Хлеб черствый.
dearly|RG|He dearly loved his family.|горячо|Он горячо любил свою семью.
homage|NN1|The movie is an homage.|дань уважения|Фильм является данью уважения.
norwegian|JJ|She enjoys Norwegian music.|норвежский|Ей нравится норвежская музыка.
orbital|JJ|The orbital path is stable.|орбитальный|Орбитальный путь стабилен.
hideous|JJ|The dress was hideous.|отвратительный|Платье было отвратительным.
daring|JJ|It was a daring move.|смелый|Это был смелый шаг.
borrowing|NN1|His borrowing increased.|заимствование|Его заимствование увеличилось.
pineapple|NN1|I sliced the pineapple.|ананас|Я нарезал ананас.
irritation|NN1|The irritation grew worse.|раздражение|Раздражение усилилось.
luxurious|JJ|The luxurious car is beautiful.|роскошный|Роскошный автомобиль красив.
upbeat|JJ|Her mood is upbeat.|оптимистичный|Ее настроение оптимистичное.
operative|JJ|The operative plan succeeded.|оперативный|Оперативный план удался.
magnify|VV0|The lens will magnify the image.|увеличивать|Линза увеличит изображение.
accreditation|NN1|The school has accreditation.|аккредитация|Школа имеет аккредитацию.
affirmation|NN1|His affirmation was clear.|подтверждение|Его подтверждение было ясным.
hmmm|UH|Hmmm, that’s interesting.|хмм|Хмм, это интересно.
ceramics|NN2|She collects ceramics.|керамика|Она коллекционирует керамику.
ancestry|NN1|His ancestry is noble.|происхождение|Его происхождение благородное.
audition|VV0|She will audition tomorrow.|прослушивание|Завтра она будет проходить прослушивание.
royal|NN1|The royal visited today.|королевская особа|Сегодня королевская особа посетила.
unnoticed|JJ|His work went unnoticed.|незамеченный|Его работа осталась незамеченной.
springer|NN1|The springer ran fast.|спрингер|Спрингер быстро бежал.
scarcity|NN1|The scarcity of water is alarming.|нехватка|Нехватка воды вызывает тревогу.
academically|RG|He excels academically.|академически|Он преуспевает академически.
determinant|NN1|The key determinant is cost.|детерминант|Ключевым детерминантом является стоимость.
wallpaper|NN1|The wallpaper is peeling.|обои|Обои отслаиваются.
timetable|NN1|The timetable was updated.|расписание|Расписание было обновлено.
monologue|NN1|The monologue was intense.|монолог|Монолог был напряженным.
skew|VV0|Don't skew the results.|искажать|Не искажайте результаты.
predicament|NN1|The predicament was tricky.|затруднительное положение|Затруднительное положение было сложным.
unpack|VV0|I need to unpack my bags.|распаковывать|Мне нужно распаковать свои сумки.
tone|VV0|Please tone down your voice.|уменьшать|Пожалуйста, уменьшите громкость своего голоса.
enlightened|JJ|The enlightened leader spoke wisely.|просвещенный|Просвещенный лидер говорил мудро.
bitterly|RG|He bitterly complained.|горько|Он горько жаловался.
hide|NN1|He found the perfect hide.|укрытие|Он нашел идеальное укрытие.
comb|NN1|The comb broke in half.|расческа|Расческа сломалась напополам.
bipolar|JJ|She has bipolar disorder.|биполярный|У нее биполярное расстройство.
caretaker|NN1|The caretaker was kind.|смотритель|Смотритель был добр.
lawful|JJ|It was a lawful order.|законный|Это был законный приказ.
following|NN1|The following is important.|следующее|Следующее важно.
statesman|NN1|The statesman spoke eloquently.|государственный деятель|Государственный деятель говорил красноречиво.
intimately|RG|They were intimately connected.|тесно|Они были тесно связаны.
tabloid|NN1|The tabloid published lies.|таблоид|Таблоид опубликовал ложь.
acorn|NN1|The squirrel found an acorn.|желудь|Белка нашла желудь.
weed|VV0|I weed the garden weekly.|полоть|Я полю сад каждую неделю.
chile|NN1|Chile is a long country.|Чили|Чили — длинная страна.
knowingly|RG|She knowingly lied.|сознательно|Она сознательно солгала.
socialist|NN1|The socialist campaigned passionately.|социалист|Социалист страстно вел кампанию.
volatility|NN1|The market’s volatility is high.|волатильность|Волатильность рынка высока.
sly|JJ|The sly fox escaped.|хитрый|Хитрая лиса сбежала.
biopsy|NN1|The biopsy was clear.|биопсия|Биопсия была ясной.
penetration|NN1|The penetration was deep.|проникновение|Проникновение было глубоким.
baby-sit|VV0|I will baby-sit tonight.|нянчить|Сегодня вечером я буду нянчить.
handmade|JJ|She sells handmade jewelry.|ручной работы|Она продает украшения ручной работы.
featured|JJ|The featured artist is famous.|известный|Известный художник знаменит.
waver|VV0|He didn’t waver in his decision.|колебаться|Он не колебался в своем решении.
vividly|RG|She vividly remembers the day.|ярко|Она ярко помнит тот день.
genesis|NN1|The genesis of the idea was simple.|генезис|Генезис идеи был прост.
citrus|NN1|The citrus was ripe.|цитрус|Цитрус был спелым.
antitrust|JJ|Antitrust laws are strict.|антимонопольный|Антимонопольные законы строги.
apprehension|NN1|His apprehension was clear.|опасение|Его опасение было очевидным.
in|JJ|He is in trouble.|в|Он в беде.
solidify|VV0|They solidify the deal today.|затвердевать|Сегодня они затвердеют сделку.
notoriously|RG|He is notoriously late.|заведомо|Он заведомо опаздывает.
gut|VV0|They gut the fish quickly.|потрошить|Они быстро потрошат рыбу.
scrub|NN1|The scrub is dense.|заросли|Заросли густые.
aggravate|VV0|Don’t aggravate the situation.|ухудшать|Не ухудшайте ситуацию.
midwestern|JJ|Midwestern charm is unique.|среднезападный|Среднезападное обаяние уникально.
savage|NN1|The savage roared loudly.|дикарь|Дикарь громко рычал.
oriental|JJ|He loves oriental cuisine.|восточный|Он любит восточную кухню.
staffing|NN1|The staffing levels are adequate.|персонал|Уровень персонала адекватный.
objectively|RG|Objectively, it was a success.|объективно|Объективно это был успех.
entree|NN1|The entree was delicious.|главное блюдо|Главное блюдо было вкусным.
diarrhea|NN1|Diarrhea is unpleasant.|диарея|Диарея неприятна.
countdown|NN1|The countdown begins now.|отсчет|Отсчет начинается сейчас.
colonization|NN1|The colonization was brutal.|колонизация|Колонизация была жестокой.
fume|NN1|The fume was toxic.|дым|Дым был токсичным.
null|JJ|The agreement is null.|недействительный|Соглашение недействительно.
skate|NN1|His skate broke.|конек|Его конек сломался.
sarcasm|NN1|His sarcasm was sharp.|сарказм|Его сарказм был острым.
cynicism|NN1|Her cynicism grew stronger.|цинизм|Ее цинизм усиливался.
exploit|NN1|The exploit was risky.|эксплуатация|Эксплуатация была рискованной.
caterpillar|NN1|The caterpillar crawled slowly.|гусеница|Гусеница ползла медленно.
aboriginal|JJ|Aboriginal art is beautiful.|аборигенный|Аборигенное искусство прекрасно.
bundle|VV0|I’ll bundle the sticks.|связывать|Я свяжу палки.
relativity|NN1|Einstein developed relativity.|относительность|Эйнштейн разработал теорию относительности.
safeguard|NN1|A safeguard is necessary.|гарантия|Гарантия необходима.
furnishings|NN2|The furnishings are modern.|мебель|Мебель современная.
chinese|NN1|The Chinese food was tasty.|китайский|Китайская еда была вкусной.
pimp|NN1|The pimp was arrested.|сутенер|Сутенер был арестован.
fest|NN1|The fest was lively.|фестиваль|Фестиваль был оживленным.
relational|JJ|Relational databases are complex.|реляционный|Реляционные базы данных сложны.
holler|VV0|He will holler if needed.|кричать|Он закричит, если понадобится.
receiving|JJ|The receiving end was busy.|приемный|Приемный конец был занят.
intestine|NN1|The intestine was inflamed.|кишка|Кишка была воспалена.
liturgy|NN1|The liturgy was beautiful.|литургия|Литургия была прекрасна.
madden|VV0|He will madden easily.|злить|Он легко разозлится.
electronically|RG|The data was electronically transferred.|электронно|Данные были переданы электронно.
artificially|RG|The plants were artificially grown.|искусственно|Растения были выращены искусственно.
remedial|JJ|He needs remedial classes.|коррекционный|Ему нужны коррекционные занятия.
renounce|VV0|He will renounce his title.|отрекаться|Он отречется от своего титула.
correctness|NN1|Correctness is crucial here.|правильность|Правильность здесь имеет решающее значение.
earned|JJ|His earned respect was clear.|заслуженный|Его заслуженное уважение было очевидно.
assured|JJ|Her assured manner impressed all.|уверенный|Ее уверенные манеры впечатлили всех.
contagious|JJ|The laughter was contagious.|заразительный|Смех был заразительным.
pink|NN1|The pink stood out.|розовый|Розовый цвет выделялся.
audible|JJ|His voice was barely audible.|слышимый|Его голос едва был слышен.
adopted|JJ|She is the adopted daughter.|приемный|Она приемная дочь.
sulfur|NN1|The sulfur smells bad.|сера|Сера плохо пахнет.
measurable|JJ|The results are measurable.|измеримый|Результаты измеримы.
oatmeal|NN1|Oatmeal is healthy.|овсянка|Овсянка полезна.
expend|VV0|They expend energy quickly.|тратить|Они быстро тратят энергию.
westerner|NN1|The westerner was unfamiliar with the custom.|западник|Западник не был знаком с обычаем.
fitting|NN1|The fitting was today.|примерка|Примерка была сегодня.
hallucination|NN1|The hallucination was vivid.|галлюцинация|Галлюцинация была яркой.
walkway|NN1|The walkway is narrow.|пешеходная дорожка|Пешеходная дорожка узкая.
corroborate|VV0|Please corroborate his story.|подтверждать|Пожалуйста, подтвердите его историю.
simulated|JJ|The flight was simulated.|симулированный|Полёт был симулирован.
modernist|JJ|The modernist design is sleek.|модернистский|Модернистский дизайн гладкий.
fuse|NN1|The fuse blew out.|предохранитель|Предохранитель перегорел.
backstage|RL|They met backstage.|за кулисами|Они встретились за кулисами.
negate|VV0|The evidence will negate his claim.|отрицать|Доказательства опровергнут его утверждение.
unresolved|JJ|The issue remains unresolved.|нерешенный|Вопрос остается нерешенным.
uncanny|JJ|The resemblance was uncanny.|зловещий|Сходство было зловещим.
brew|NN1|The brew was strong.|варево|Варево было крепким.
penalize|VV0|They will penalize the team.|наказывать|Они накажут команду.
re-establish|VV0|We will re-establish the rules.|восстановить|Мы восстановим правила.
visitation|NN1|The visitation was brief.|визит|Визит был кратким.
unconditional|JJ|He gave unconditional support.|безусловный|Он оказал безусловную поддержку.
torrent|NN1|The torrent was overwhelming.|поток|Поток был ошеломляющим.
imam|NN1|The imam led prayers.|имам|Имам возглавлял молитвы.
defective|JJ|The product was defective.|дефектный|Продукт был дефектным.
manslaughter|NN1|He was charged with manslaughter.|непредумышленное убийство|Его обвинили в непредумышленном убийстве.
amazement|NN1|His amazement was obvious.|удивление|Его удивление было очевидно.
crossover|NN1|The crossover was successful.|пересечение|Пересечение было успешным.
commons|NN2|The commons were full.|общины|Общины были полны.
zipper|NN1|The zipper broke.|молния|Молния сломалась.
umpire|NN1|The umpire made a call.|судья|Судья сделал вызов.
identifiable|JJ|The pattern was identifiable.|опознаваемый|Узор был опознаваемым.
markedly|RG|She was markedly different today.|заметно|Сегодня она была заметно другой.
anew|RG|He started anew.|снова|Он начал снова.
smug|JJ|His smug expression annoyed everyone.|самодовольный|Его самодовольное выражение раздражало всех.
grand|NN1|The grand was awarded.|приз|Приз был присужден.
quarterly|NN1|The quarterly is out now.|ежеквартальный отчет|Ежеквартальный отчет вышел.
professionalism|NN1|His professionalism was noted.|профессионализм|Его профессионализм был отмечен.
prenatal|JJ|The prenatal care was excellent.|пренатальный|Пренатальный уход был отличным.
excess|II|They had excess baggage.|избыточный|У них был избыточный багаж.
braille|NN1|He learned Braille quickly.|шрифт Брайля|Он быстро выучил шрифт Брайля.
dock|VV0|They will dock the boat.|пришвартовать|Они пришвартуют лодку.
absurdity|NN1|The absurdity of the situation was clear.|абсурдность|Абсурдность ситуации была очевидна.
optimum|JJ|This is the optimum solution.|оптимальный|Это оптимальное решение.
brittle|JJ|The brittle glass shattered.|ломкий|Ломкое стекло разбилось.
factor|VV0|You must factor in the cost.|учитывать|Вы должны учитывать стоимость.
revere|VV0|They revere their leader.|почитать|Они почитают своего лидера.
co-star|NN1|The co-star was amazing.|со-звезда|Со-звезда была потрясающей.
ignition|NN1|The ignition failed.|зажигание|Зажигание не сработало.
bookshelf|NN1|The bookshelf is full.|книжная полка|Книжная полка полна.
downfall|NN1|His downfall was swift.|падение|Его падение было быстрым.
afterlife|NN1|He believes in the afterlife.|загробная жизнь|Он верит в загробную жизнь.
geology|NN1|Geology is fascinating.|геология|Геология увлекательна.
folding|JJ|The folding chair is portable.|складной|Складной стул портативен.
ram|VV0|They will ram the door.|таранить|Они будут таранить дверь.
