|part_of_speech|word_de|word_forms_de|sentence_de|word_meanings_en|word_en|sentence_en
1599|der|der Wissenschaftler|die Wissenschaftler|Der Wissenschaftler forscht viel.|scholar, scientist|scientist|The scientist does a lot of research.
1600|die|die Kommunikation|die Kommunikationen|Die Kommunikation im Team verlief gut.|communication|communication|Communication in the team went well.
1601|das|das Steuer|die Steuer|Er hält das Steuer fest in der Hand.|steering wheel, helm|steering wheel|He holds the steering wheel firmly in his hand.
1602|die|die Steuer|die Steuern|Die Steuer wurde rechtzeitig bezahlt.|tax|tax|The tax was paid on time.
1603|adj|angeblich||Das angebliche Angebot wurde abgelehnt.|alleged|alleged|The alleged offer was rejected.
1604|adj|günstig||Die Wohnung war überraschend günstig.|cheap, favorable, good|cheap|The apartment was surprisingly cheap.
1605|der|der Dezember|die Dezember|Dezember ist ein kalter Monat.|December|December|December is a cold month.
1606|der|der Flughafen|die Flughäfen|Der Flughafen ist nachts weniger belebt.|airport|airport|The airport is less busy at night.
1607|das|das Krankenhaus|die Krankenhäuser|Das Krankenhaus ist gut ausgestattet.|hospital|hospital|The hospital is well equipped.
1608|verb|wenden|wenden, wendet, wandte, hat gewandt|Er wendet das Auto auf der engen Straße.|to turn around|to turn around|He turns the car around on the narrow street.
1609|adj|türkisch||Der türkische Basar ist sehr lebhaft.|Turkish|Turkish|The Turkish bazaar is very lively.
1610|das|das Türkisch||Türkisch ist ihre Muttersprache.|Turkish|Turkish|Turkish is her native language.
1611|der|der Gegner|die Gegner|Der Gegner gibt sich nicht geschlagen.|opponent, competitor, enemy|opponent|The opponent does not give up.
1612|der|der Leser|die Leser|Der Leser versteht den Text leicht.|reader|reader|The reader easily understands the text.
1613|die|die VWL (Volkswirtschaftslehre)||Die VWL beschäftigt sich mit Märkten.|economics|economics|Economics deals with markets.
1614|der|der Handel|die Händel|Der Handel zwischen Ländern wächst.|trade|trade|The trade between countries is growing.
1615|die|die Kenntnis|die Kenntnisse|Sie hat gute Kenntnisse in Mathematik.|knowledge|knowledge|She has good knowledge of mathematics.
1616|adj|sichtbar||Der Fortschritt war deutlich sichtbar.|visible|visible|The progress was clearly visible.
1617|verb|zulassen|zulassen, lässt zu, ließ zu, hat zugelassen|Sie ließen die Schüler früher gehen.|to allow, admit|to allow|They allowed the students to leave early.
1618|die|die Mark|die Mark|Die Mark war früher die Währung.|Deutschmark|Deutschmark|The mark was the currency in the past.
1619|verb|vorsehen|vorsehen, sieht vor, sah vor, hat vorgesehen|Das Gesetz sieht neue Maßnahmen vor.|to look around, plan, provide for|to provide for|The law provides for new measures.
1620|die|die Schwierigkeit|die Schwierigkeiten|Die Schwierigkeit liegt im Detail.|difficulty|difficulty|The difficulty lies in the details.
1621|verb|wahrnehmen|wahrnehmen, nimmt wahr, nahm wahr, hat wahrgenommen|Er hat die Gefahr zu spät wahrgenommen.|to perceive, detect|to perceive|He perceived the danger too late.
1622|verb|hinweisen|hinweisen, weist hin, wies hin, hat hingewiesen|Das Schild weist auf die Gefahr hin.|to point to, refer to|to point to|The sign points to the danger.
1623|der|der Juli|die Julis|Im Juli machen viele Leute Urlaub.|July|July|Many people go on vacation in July.
1624|das|das Signal|die Signale|Das Signal leuchtete plötzlich auf.|signal|signal|The signal suddenly lit up.
1625|verb|kontrollieren|kontrollieren, kontrolliert, kontrollierte, hat kontrolliert|Die Polizei kontrolliert den Verkehr.|to check, control|control|The police control the traffic.
1626|adv|sowieso||Es wird sowieso nicht funktionieren.|anyway|anyway|It won’t work anyway.
1627|der|der Bauer|die Bauern|Der Bauer erntet das Getreide.|farmer|farmer|The farmer harvests the grain.
1628|der|der Kurs|die Kurse|Der Sprachkurs begann letzten Montag.|course, exchange rate|course|The language course started last Monday.
1629|adv|einst||Einst war er ein berühmter Künstler.|once, at one time, one day|once|Once, he was a famous artist.
1630|der|der Service|die Services|Der Service verbessert sich ständig.|service|service|The service is constantly improving.
1631|adj|sprachlich||Er zeigte sprachlich großes Talent.|linguistic|linguistic|He showed great linguistic talent.
1632|adj|bisherig||Die bisherige Lösung war unzureichend.|so far|so far|The solution so far was inadequate.
1633|der|der Fahrer|die Fahrer|Der Fahrer verlor die Kontrolle.|driver|driver|The driver lost control.
1634|adj|traditionell||Das traditionelle Fest bringt Freude.|traditional|traditional|The traditional festival brings joy.
1635|verb|weinen|weinen, weint, weinte, hat geweint|Er weint oft bei traurigen Filmen.|to cry, weep|to cry|He often cries at sad movies.
1636|verb|genießen|genießen, genießt, genoss, hat genossen|Er genießt den Sonnenuntergang am Meer.|to enjoy, relish|to enjoy|He enjoys the sunset by the sea.
1637|der|der Dienst|die Dienste|Der Dienst begann um acht Uhr morgens.|service, duty|service|The service started at eight in the morning.
1638|das|das Lager|die Lager|Das Lager war groß und gut organisiert.|camp, storeroom|camp|The camp was large and well-organized.
1639|adj|grau||Der graue Himmel versprach Regen.|gray|gray|The gray sky promised rain.
1640|prep|anhand||Anhand der Daten analysieren wir.|on the basis of, with the aid of|on the basis of|We analyze on the basis of the data.
1641|der|der Bus|die Busse|Der Bus kommt täglich um acht Uhr.|bus|bus|The bus arrives at eight o'clock every day.
1642|der|der Franken (Fr.)|die Franken|Der Preis betrug zwanzig Franken.|(Swiss) franc|(Swiss) franc|The price was twenty francs.
1643|die|die Kategorie|die Kategorien|Die Kategorie war schwer zuzuordnen.|category|category|The category was hard to assign.
1644|adj|nett||Die Nachbarn sind immer sehr nett.|nice|nice|The neighbors are always very nice.
1645|adj|freundlich||Das Personal war sehr freundlich zu uns.|kind, nice, friendly|friendly|The staff was very friendly to us.
1646|adj|perfekt||Das Timing war einfach perfekt.|perfect|perfect|The timing was simply perfect.
1647|adj|reich||Er wurde durch harte Arbeit reich.|rich, abundant|rich|He became rich through hard work.
1648|die|die Fahrt|die Fahrten|Die Fahrt dauerte drei Stunden.|drive, trip|drive|The drive took three hours.
1649|der|der Urlaub|die Urlaube|Der Urlaub beginnt nächste Woche.|vacation|vacation|The vacation begins next week.
1650|adj|ausländisch||Er spricht viele ausländische Sprachen.|foreign|foreign|He speaks many foreign languages.
1651|das|das Instrument|die Instrumente|Das Instrument wurde gestimmt.|instrument|instrument|The instrument was tuned.
1652|adj|fern||Das ferne Land lockt Abenteurer an.|far, distant|distant|The distant land attracts adventurers.
1653|die|die Gegend|die Gegenden|Die Gegend ist bekannt für ihre Weine.|area, region|region|The region is known for its wines.
1654|verb|verstecken|verstecken, versteckt, versteckte, hat versteckt|Er versteckte den Schlüssel im Garten.|to hide|to hide|He hid the key in the garden.
1655|das|das Feuer|die Feuer|Das Feuer brennt lodernd im Kamin.|fire|fire|The fire burns fiercely in the fireplace.
1656|verb|bemühen (sich)|bemühen (sich), bemüht, bemühte, hat bemüht|Er bemüht sich um eine Lösung.|to make an effort|to make an effort|He is making an effort to find a solution.
1657|das|das Verständnis|die Verständnisse|Das Verständnis war schnell da.|understanding|understanding|The understanding came quickly.
1658|die|die AfD (Alternative für Deutschland)||Die AfD schnitt in der Wahl gut ab.|AfD, Alternative für Deutschland|AfD|The AfD did well in the election.
1659|die|die Bakterie|die Bakterien|Die Bakterie vermehrt sich schnell.|bacterium|bacterium|The bacterium multiplies rapidly.
1660|verb|tauchen|tauchen, taucht, tauchte, ist getaucht|Die Ente tauchte plötzlich ab.|to dive, dip|to dip|The duck dipped underwater.
1661|die|die Konsequenz|die Konsequenzen|Die Konsequenz war unvermeidlich.|consequence|consequence|The consequence was unavoidable.
1662|adj|schuld||Er fühlt sich schuld am Unfall.|guilty|guilty|He feels guilty about the accident.
1663|die|die Schuld|die Schulden|Die Schuld liegt nicht bei ihm.|guilt|guilt|The guilt does not lie with him.
1664|die|die Mehrheit|die Mehrheiten|Die Mehrheit stimmte für den Vorschlag.|majority|majority|The majority voted for the proposal.
1665|verb|anhaben|anhaben, hat an, hatte an, hat angehabt|Heute habe ich einen Mantel an.|to wear, damage|to wear|Today I am wearing a coat.
1666|die|die Bestimmung|die Bestimmungen|Die Bestimmung war klar definiert.|regulation, purpose, fate|regulation|The regulation was clearly defined.
1667|verb|vermeiden|vermeiden, vermeidet, vermied, hat vermieden|Er vermeidet Konflikte, wo er kann.|to avoid|to avoid|He avoids conflicts wherever he can.
1668|adj|ehrlich||Er ist immer ehrlich zu seinen Freunden.|honest|honest|He is always honest with his friends.
1669|verb|beachten|beachten, beachtet, beachtete, hat beachtet|Er hat die Warnschilder nicht beachtet.|to pay attention, observe|to pay attention|He didn't pay attention to the warning signs.
1670|adj|statistisch||Die statistische Analyse ergab Trends.|statistical|statistical|The statistical analysis revealed trends.
1671|der|der Hals|die Hälse|Der Hals schmerzte seit Tagen.|neck, throat|throat|His throat has been sore for days.
1672|verb|durchsetzen|durchsetzen, setzt durch, setzte durch, hat durchgesetzt|Er setzte seinen Willen schnell durch.|to carry through, enforce, implement|to enforce|He quickly enforced his will.
1673|adj|italienisch||Das Essen schmeckt italienisch.|Italian|Italian|The food tastes Italian.
1674|das|das Italienisch||Italienisch klingt sehr melodisch.|Italian|Italian|Italian sounds very melodic.
1675|die|die Scheiße||Die Scheiße traf den Ventilator.|crap, shit|shit|The shit hit the fan.
1676|das|das Telefon|die Telefone|Das Telefon klingelt ununterbrochen.|telephone|telephone|The telephone rings nonstop.
1677|der|der Herbst|die Herbste|Der Herbst bringt kühles Wetter.|autumn|autumn|Autumn brings cool weather.
1678|die|die Ausstellung|die Ausstellungen|Die Ausstellung war gut besucht.|exhibition|exhibition|The exhibition was well attended.
1679|der|der Bau|die Bauten|Der Bau des Hauses dauerte ein Jahr.|construction, building|construction|The construction of the house took a year.
1680|der|der Keller|die Keller|Der Keller ist voll mit alten Möbeln.|cellar|cellar|The cellar is full of old furniture.
1681|der|der Bürgermeister|die Bürgermeister|Der Bürgermeister eröffnete das Fest.|mayor|mayor|The mayor opened the festival.
1682|prep|entlang||Wir spazierten den Fluss entlang.|along|along|We walked along the river.
1683|die|die Flasche|die Flaschen|Er öffnete die Flasche und trank alles.|bottle|bottle|He opened the bottle and drank it all.
1684|adj|wunderbar||Der Abend war einfach wunderbar.|wonderful|wonderful|The evening was simply wonderful.
1685|der|der Zweck|die Zwecke|Der Zweck der Reise ist geschäftlich.|purpose|purpose|The purpose of the trip is business.
1686|verb|ehren|ehren, ehrt, ehrte, hat geehrt|Sie ehrten ihn für seine Verdienste.|to honor|to honor|They honored him for his merits.
1687|die|die Verwendung|die Verwendungen|Die Verwendung des Produkts ist einfach.|use|use|The use of the product is simple.
1688|adv|letztlich||Letztlich zählt nur das Ergebnis.|in the end|in the end|In the end, only the result counts.
1689|die|die Fläche|die Flächen|Die Fläche wurde neu bepflanzt.|area, surface|area|The area was newly planted.
1690|verb|streichen|streichen, streicht, strich, hat gestrichen|Er strich die Wand mit blauer Farbe.|to paint, cancel|to paint|He painted the wall with blue paint.
1691|verb|zitieren|zitieren, zitiert, zitierte, hat zitiert|Er zitiert oft aus bekannten Büchern.|to quote|to quote|He often quotes from well-known books.
1692|verb|senken|senken, senkt, senkte, hat gesenkt|Die Regierung hat die Steuern gesenkt.|to sink, lower, decrease|to lower|The government lowered the taxes.
1693|verb|behalten|behalten, behält, behielt, hat behalten|Er behält das Geheimnis für sich.|to keep|to keep|He keeps the secret to himself.
1694|verb|gestalten|gestalten, gestaltet, gestaltete, hat gestaltet|Er gestaltete das Plakat kreativ.|to shape, design|to design|He designed the poster creatively.
1695|verb|beweisen|beweisen, beweist, bewies, hat bewiesen|Er konnte seine Unschuld beweisen.|to prove|to prove|He was able to prove his innocence.
1696|der|der Umgang|die Umgänge|Der Umgang mit ihm ist schwierig.|dealings, contact|dealings|Dealing with him is difficult.
1697|verb|überprüfen|überprüfen, überprüft, überprüfte, hat überprüft|Er überprüft die Daten regelmäßig.|to check|to check|He checks the data regularly.
1698|der|der Lehrstuhl|die Lehrstühle|Der Lehrstuhl ist seit Jahren unbesetzt.|professorship, chair|professorship|The professorship has been vacant for years.
1699|verb|schenken|schenken, schenkt, schenkte, hat geschenkt|Er schenkt ihr Blumen zum Geburtstag.|to give (as a present)|to give (as a present)|He gives her flowers for her birthday.
1700|der|der Vorschlag|die Vorschläge|Der Vorschlag wurde angenommen.|suggestion, proposal|suggestion|The suggestion was accepted.
1701|verb|anhalten|anhalten, hält an, hielt an, hat angehalten|Er hält das Auto an der Ampel an.|to stop, last|to stop|He stops the car at the traffic light.
1702|adj|entfernt||Der entfernte Berg war kaum zu sehen.|distant, away|distant|The distant mountain was barely visible.
1703|der|der Leiter|die Leiter|Der Leiter der Abteilung ist kompetent.|leader|leader|The leader of the department is competent.
1704|die|die Leiter|die Leitern|Die Leiter steht in der Ecke des Raumes.|ladder|ladder|The ladder is standing in the corner of the room.
1705|das|das Parlament|die Parlamente|Das Parlament verabschiedete das Gesetz.|parliament|parliament|The parliament passed the law.
1706|verb|stürzen|stürzen, stürzt, stürzte, ist gestürzt|Er stürzte beim Skifahren schwer.|to fall, stumble|to fall|He fell badly while skiing.
1707|die|die Waffe|die Waffen|Die Waffe wurde schnell versteckt.|weapon|weapon|The weapon was quickly hidden.
1708|das|das Kriterium|die Kriteriumen|Das Kriterium war streng definiert.|criterion|criterion|The criterion was strictly defined.
1709|der|der Beifall||Der Beifall erfüllte den ganzen Saal.|applause|applause|The applause filled the entire hall.
1710|verb|zerstören|zerstören, zerstört, zerstörte, hat zerstört|Er zerstörte das alte Gebäude komplett.|to destroy|to destroy|He completely destroyed the old building.
1711|verb|zuhören|zuhören, hört zu, hörte zu, hat zugehört|Er hört dem Lehrer aufmerksam zu.|to listen|to listen|He listens attentively to the teacher.
1712|verb|ausfallen|ausfallen, fällt aus, fiel aus, ist ausgefallen|Der Unterricht fällt heute aus.|to drop out, be canceled|be canceled|The class is canceled today.
1713|die|die Weile||Nach einer Weile ging er weiter.|while|while|After a while, he continued walking.
1714|verb|drängen|drängen, drängt, drängte, hat gedrängt|Er drängte mich, schneller zu arbeiten.|to push, insist|to push|He pushed me to work faster.
1715|adv|einerseits||Einerseits ist das eine gute Idee.|on the one hand|on the one hand|On the one hand, it’s a good idea.
1716|die|die Spannung|die Spannungen|Die Spannung steigt ins Unermessliche.|suspense, tension|suspense|The suspense is rising to unimaginable levels.
1717|der|der Fortschritt|die Fortschritte|Der Fortschritt war deutlich sichtbar.|progress|progress|The progress was clearly visible.
1718|die|die Mathematik||Die Mathematik ist präzise und logisch.|mathematics|mathematics|Mathematics is precise and logical.
1719|das|das Bad|die Bäder|Das Bad ist frisch renoviert worden.|bath, bathroom, spa|bathroom|The bathroom has been freshly renovated.
1720|verb|erläutern|erläutern, erläutert, erläuterte, hat erläutert|Kannst du das näher erläutern?|to explain|to explain|Can you explain that in more detail?
1721|verb|packen|packen, packt, packte, hat gepackt|Er packt seinen Koffer für die Reise.|to pack, grab|to pack|He packs his suitcase for the trip.
1722|das|Großbritannien||Großbritannien verließ die EU.|Great Britain|Great Britain|Great Britain left the EU.
1723|adj|vorsichtig||Der vorsichtige Fahrer hielt an.|cautious, careful|cautious|The cautious driver stopped.
1724|verb|anwenden|anwenden, wendet an, wandte an, hat angewandt|Er wendet die Technik erfolgreich an.|to apply, employ|to apply|He successfully applies the technique.
1725|adj|wild||Der wilde Sturm tobt die ganze Nacht.|wild|wild|The wild storm raged all night.
1726|adj|gesetzlich||Die gesetzliche Regelung wurde geändert.|legal|legal|The legal regulation was changed.
1727|die|die Spitze|die Spitzen|Die Spitze erreicht die Wolken.|point, top, peak|peak|The peak reaches the clouds.
1728|das|das Gerät|die Geräte|Das Gerät ist einfach zu bedienen.|tool, piece of equipment, appliance|appliance|The appliance is easy to operate.
1729|der|der Wille|die Willen|Sein Wille zu gewinnen ist stark.|will|will|His will to win is strong.
1730|adv|sicherlich||Sicherlich wird er bald anrufen.|certainly|certainly|Certainly, he will call soon.
1731|verb|weisen|weisen, weist, wies, hat gewiesen|Der Lehrer weist auf den Fehler hin.|to point|to point|The teacher points out the mistake.
1732|die|die Tradition|die Traditionen|Die Tradition wurde fortgeführt.|tradition|tradition|The tradition was continued.
1733|verb|brennen|brennen, brennt, brannte, hat gebrannt|Das Feuer brennt seit Stunden.|to burn|to burn|The fire has been burning for hours.
1734|adj|freiwillig||Freiwillige Helfer arbeiteten hart.|voluntary|voluntary|Voluntary helpers worked hard.
1735|conj|umso||Je mehr er übt, umso besser wird er.|the (more . . . the)|the (more . . . the)|The more he practices, the better he gets.
1736|der|der Antrag|die Anträge|Der Antrag erhielt breite Zustimmung.|application|application|The application received wide approval.
1737|das|das Reich|die Reiche|Das Reich zerfiel nach dem Krieg.|empire, kingdom|empire|The empire collapsed after the war.
1738|verb|investieren|investieren, investiert, investierte, hat investiert|Er investiert in erneuerbare Energien.|to invest|to invest|He invests in renewable energy.
1739|verb|bestellen|bestellen, bestellt, bestellte, hat bestellt|Er bestellte das Essen für alle.|to order, reserve|to order|He ordered food for everyone.
1740|die|die Gelegenheit|die Gelegenheiten|Das ist eine gute Gelegenheit.|opportunity|opportunity|This is a good opportunity.
1741|die|die Mauer|die Mauern|Die Mauer schützt das alte Haus.|wall|wall|The wall protects the old house.
1742|adv|stattdessen||Er blieb stattdessen zu Hause.|instead|instead|He stayed at home instead.
1743|der|der Stuhl|die Stühle|Der Stuhl wackelt auf dem Boden.|chair|chair|The chair wobbles on the floor.
1744|der|der Ton|die Tone|Der Ton änderte sich plötzlich.|sound, tone, clay|tone|The tone changed suddenly.
1745|das|das Büro|die Büros|Er arbeitet jeden Tag im Büro.|office|office|He works in the office every day.
1746|die|die Umwelt|die Umwelten|Die Umwelt wird stark belastet.|environment|environment|The environment is under heavy strain.
1747|verb|rauchen|rauchen, raucht, rauchte, hat geraucht|Er raucht jeden Tag eine Zigarette.|to smoke|to smoke|He smokes a cigarette every day.
1748|die|die Beschreibung|die Beschreibungen|Die Beschreibung passt genau zum Bild.|description|description|The description fits the picture perfectly.
1749|die|die Pflanze|die Pflanzen|Die Pflanze wächst schnell im Licht.|plant|plant|The plant grows quickly in the light.
1750|die|die Tätigkeit|die Tätigkeiten|Die Tätigkeit machte ihm Spaß.|activity, work|activity|The activity was fun for him.
1751|die|die Landschaft|die Landschaften|Die Landschaft ist atemberaubend.|landscape, countryside|landscape|The landscape is breathtaking.
1752|verb|verweisen|verweisen, verweist, verwies, hat verwiesen|Er verwies auf die Regeln im Vertrag.|to refer, expel|to refer|He referred to the rules in the contract.
1753|der|der Arbeitsplatz|die Arbeitsplätze|Der Arbeitsplatz wird modernisiert.|workplace, job|workplace|The workplace is being modernized.
1754|verb|erfassen|erfassen, erfasst, erfasste, hat erfasst|Er konnte das Konzept nicht erfassen.|to determine, grasp, acquire|to grasp|He couldn't grasp the concept.
1755|die|die Komponente|die Komponenten|Die Komponente war fehlerhaft.|component|component|The component was defective.
1756|das|das Ion|die Ionen|Das Ion trägt eine elektrische Ladung.|ion|ion|The ion carries an electric charge.
1757|der|der Laden|die Läden|Der Laden schließt um acht Uhr abends.|shop|shop|The shop closes at eight o'clock in the evening.
1758|adj|fein||Der feine Sand fühlt sich weich an.|fine|fine|The fine sand feels soft.
1759|der|der Stern|die Sterne|Der Stern leuchtet am klaren Himmel.|star|star|The star shines in the clear sky.
1760|der|der Schuh|die Schuhe|Der Schuh drückt an der Ferse.|shoe|shoe|The shoe pinches at the heel.
1761|das|das Knie|die Knie|Das Knie schmerzt nach dem Sturz.|knee|knee|The knee hurts after the fall.
1762|num|||Die Temperatur fiel auf null Grad.|zero|zero|The temperature dropped to zero degrees.
1763|die|die Schicht|die Schichten|Eine dünne Schicht Staub bedeckte es.|layer, class|layer|A thin layer of dust covered it.
1764|adj|unglaublich||Die Geschichte ist unglaublich.|incredible|incredible|The story is incredible.
1765|adv|zurück||Ich komme morgen zurück nach Hause.|back|back|I'll be back home tomorrow.
1766|die|die Realität|die Realitäten|Die Realität übertraf die Erwartungen.|reality|reality|The reality exceeded the expectations.
1767|conj|sobald||Sobald es regnet, bleiben wir.|as soon as|as soon as|As soon as it rains, we will stay.
1768|verb|belegen|belegen, belegt, belegte, hat belegt|Er belegte den Kurs an der Uni.|to occupy, prove, verify, take|to take|He took the course at the university.
1769|der|der Fluss|die Flüsse|Der Fluss fließt ruhig durch die Stadt.|river|river|The river flows calmly through the city.
1770|die|die Alternative|die Alternativen|Es gibt keine Alternative zum Plan.|alternative|alternative|There is no alternative to the plan.
1771|verb|verpflichten|verpflichten, verpflichtet, verpflichtete, hat verpflichtet|Er ist verpflichtet zu helfen.|to obligate, oblige, commit|to obligate|He is obligated to help.
1772|verb|begrüßen|begrüßen, begrüßt, begrüßte, hat begrüßt|Er begrüßt seine Gäste herzlich.|to greet|to greet|He warmly greets his guests.
1773|die|die Führung|die Führungen|Die Führung des Teams war vorbildlich.|management, command, leadership|leadership|The leadership of the team was exemplary.
1774|adj|untere|untere, unterer, unteres|Das Buch ist auf dem unteren Regal.|lower|lower|The book is on the lower shelf.
1775|das|das Handy|die Handys|Ich habe mein Handy vergessen.|mobile phone|mobile phone|I forgot my mobile phone.
1776|die|die Hauptstadt|die Hauptstädte|Die Hauptstadt war in Aufruhr.|capital city|capital city|The capital city was in turmoil.
1777|das|das Experiment|die Experimente|Das Experiment verlief wie geplant.|experiment|experiment|The experiment went as planned.
1778|der|der Frieden|die Frieden|Der Frieden war endlich erreicht.|peace|peace|Peace was finally achieved.
1779|der|der Verlauf|die Verläufe|Der Verlauf der Straße war kurvig.|course|course|The course of the road was winding.
1780|das|das Potenzial|die Potenziale|Das Potenzial des Projekts ist enorm.|potential|potential|The potential of the project is enormous.
1781|der|der Verlag|die Verlage|Der Verlag veröffentlicht Bücher.|publishing company|publishing company|The publishing company releases books.
1782|der|der Ministerpräsident|die Ministerpräsidenten|Der Ministerpräsident spricht.|governor, minister president|minister president|The minister president is speaking.
1783|der|der Vogel|die Vögel|Der Vogel flog hoch in den Himmel.|bird|bird|The bird flew high into the sky.
1784|verb|beschränken|beschränken, beschränkt, beschränkte, hat beschränkt|Er beschränkte die Zugänge strikt.|to restrict|to restrict|He strictly restricted access.
1785|die|die Branche|die Branchen|Die Branche wächst aktuell sehr stark.|sector, line of business|sector|The sector is growing fast.
1786|der|der Schauspieler|die Schauspieler|Der Schauspieler gewann einen Preis.|actor|actor|The actor won an award.
1787|verb|vorschlagen|vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen|Er schlug vor, früher zu gehen.|to suggest|to suggest|He suggested leaving earlier.
1788|adv|beinahe||Er hätte beinahe den Zug verpasst.|almost, nearly|almost|He almost missed the train.
1789|adj|jährlich||Das jährliche Fest zog viele an.|annual|annual|The annual festival attracted many.
1790|die|die Botschaft|die Botschaften|Die Botschaft wurde deutlich vermittelt.|message|message|The message was clearly conveyed.
1791|der|der Alltag|die Alltage|Der Alltag kehrte schnell zurück.|workday, daily routine, everyday life|daily routine|The daily routine quickly returned.
1792|der|der Umsatz|die Umsätze|Der Umsatz stieg im letzten Quartal.|turnover, sales|turnover|The turnover increased in the last quarter.
1793|der|der Verband|die Verbände|Der Verband muss gewechselt werden.|association, bandage|bandage|The bandage needs to be changed.
1794|verb|betreten|betreten, betritt, betrat, hat betreten|Er betrat den Raum ohne zu zögern.|to enter, walk into/onto|to enter|He entered the room without hesitation.
1795|die|die Regelung|die Regelungen|Die Regelung wurde pünktlich umgesetzt.|regulation, settlement|regulation|The regulation was implemented on time.
1796|verb|teilnehmen|teilnehmen, nimmt teil, nahm teil, hat teilgenommen|Sie hat am Marathon teilgenommen.|to take part|to take part|She took part in the marathon.
1797|verb|überwiegen|überwiegen, überwiegt, überwog, hat überwogen|Die Vorteile überwiegen die Nachteile.|to outweigh|to outweigh|The advantages outweigh the disadvantages.
1798|verb|bedingen|bedingen, bedingt, bedingte, hat bedingt|Die Verzögerung hat das Problem bedingt.|to cause|to cause|The delay caused the problem.
1799|die|die Gestalt|die Gestalten|Die Gestalt verschwand im Nebel.|shape, form, figure|figure|The figure disappeared in the fog.
1800|verb|zukommen|zukommen, kommt zu, kam zu, ist zugekommen|Das Auto kam schnell auf uns zu.|to come toward, be in store|to come toward|The car came quickly towards us.
1801|verb|ablaufen|ablaufen, läuft ab, lief ab, hat abgelaufen|Der Vertrag läuft Ende des Jahres ab.|to run out, expire|expire|The contract will expire at the end of the year.
1802|der|der Minister|die Minister|Der Minister spricht im Parlament.|minister|minister|The minister is speaking in parliament.
1803|das|das Fahrzeug|die Fahrzeuge|Das Fahrzeug parkt direkt vor dem Haus.|vehicle|vehicle|The vehicle is parked directly in front of the house.
1804|verb|fließen|fließen, fließt, floss, ist geflossen|Der Fluss fließt ruhig durch das Tal.|to flow|to flow|The river flows calmly through the valley.
1805|prep|gemäß||Gemäß den Regeln ist es erlaubt.|according to|according to|According to the rules, it is allowed.
1806|der|der Vorwurf|die Vorwürfe|Der Vorwurf gegen ihn war unbegründet.|reproach, accusation|accusation|The accusation against him was unfounded.
1807|adj|erforderlich||Die Genehmigung ist erforderlich.|required, necessary|required|The permit is required.
1808|die|die Haltung|die Haltungen|Seine Haltung war immer aufrecht.|posture, attitude|posture|His posture was always upright.
1809|der|der Schriftsteller|die Schriftsteller|Der Schriftsteller schreibt Romane.|writer|writer|The writer writes novels.
1810|die|die Stimmung|die Stimmungen|Die Stimmung des Teams war optimistisch.|mood, atmosphere|mood|The team's mood was optimistic.
1811|adj|zufällig||Der zufällige Fund ändert das Projekt.|accidental, by chance|accidental|The accidental find changes the project.
1812|adj|enorm||Der Aufwand für das Projekt war enorm.|enormous|enormous|The effort for the project was enormous.
1813|das|das Fach|die Fächer|Das Fach war sein Lieblingsbereich.|compartment, subject|subject|The subject was his favorite area.
1814|verb|begrenzen|begrenzen, begrenzt, begrenzte, hat begrenzt|Wir müssen die Ausgaben begrenzen.|to limit, restrict|to limit|We need to limit the expenses.
1815|das|das Lied|die Lieder|Das Lied bleibt im Kopf hängen.|song|song|The song sticks in your head.
1816|die|die Nation|die Nationen|Die Nation feierte ihre Unabhängigkeit.|nation|nation|The nation celebrated its independence.
1817|die|die Verhandlung|die Verhandlungen|Die Verhandlung beginnt morgen.|negotiation|negotiation|The negotiation starts tomorrow.
1818|der|der Wein|die Weine|Der Wein schmeckt ausgezeichnet.|wine|wine|The wine tastes excellent.
1819|die|die Auflage|die Auflagen|Die neue Auflage erschien gestern.|edition, condition, plating|edition|The new edition was released yesterday.
1820|adj|billig||Das Material war zwar billig, aber gut.|cheap|cheap|The material was cheap, but good.
1821|adj|dünn||Das dünne Papier reißt schnell.|thin|thin|The thin paper tears easily.
1822|verb|achten|achten, achtet, achtete, hat geachtet|Man muss auf die Details achten.|to respect, pay attention|to pay attention|You have to pay attention to the details.
1823|der|der Amerikaner|die Amerikaner|Der Amerikaner spricht Englisch.|American|American|The American speaks English.
1824|der|der Anbieter|die Anbieter|Der Anbieter wurde gewechselt.|supplier|supplier|The supplier was changed.
1825|die|die Industrie|die Industrien|Die Industrie boomt in dieser Region.|industry|industry|The industry is booming in this region.
1826|das|Spanien||Spanien ist ein beliebtes Reiseziel.|Spain|Spain|Spain is a popular travel destination.
1827|adv|ab||Ab ins Bett, morgen hast du Schule!|off, away|off|Off to bed, you have school tomorrow!
1828|der|der Jude|die Juden|Der Jude erzählte uns seine Geschichte.|Jew|Jew|The Jew told us his story.
1829|der|der Vorgang|die Vorgänge|Der Vorgang dauerte länger als erwartet.|procedure, process|procedure|The procedure took longer than expected.
1830|verb|ausgeben|ausgeben, gibt aus, gab aus, hat ausgegeben|Er gibt viel Geld für Bücher aus.|to spend|to spend|He spends a lot of money on books.
1831|der|der Meister|die Meister|Der Meister lehrt seine Schüler gut.|master|master|The master teaches his students well.
1832|verb|umdrehen|umdrehen, dreht um, drehte um, hat umgedreht|Er drehte das Bild vorsichtig um.|to turn over, turn around|to turn over|He carefully turned the picture over.
