Der Hund ist groß.|The dog is big.
Das Wetter ist extrem.|The weather is extreme.
Das Merkmal ist deutlich.|The feature is clear.
Der Plan ist theoretisch.|The plan is theoretical.
Die Polizei ermittelt.|The police investigate.
Der Papa ist nett.|Daddy is nice.
Die Krankheit ist ernst.|The illness is serious.
Die Voraussetzung ist nötig.|The requirement is necessary.
Er tötet die Zeit.|He kills time.
Er formuliert eine Antwort.|He formulates an answer.
Die Substanz ist gefährlich.|The substance is dangerous.
Der Zeitpunkt ist gut.|The moment is right.
Ich brauche wenigstens eine Stunde.|I need at least an hour.
Der Gang ist schmal.|The corridor is narrow.
Der Politiker spricht.|The politician speaks.
Die Unterstützung ist wichtig.|The support is important.
Hey, wie geht's?|Hey, how are you?
Er bricht den Stock.|He breaks the stick.
Er fasst den Ball.|He grasps the ball.
Das Zentrum ist belebt.|The center is busy.
Er ruft mich an.|He calls me.
Er entfernt den Fleck.|He removes the stain.
Juni ist warm.|June is warm.
Die Haut ist weich.|The skin is soft.
Der Hund verfolgt die Katze.|The dog chases the cat.
Das ist gesellschaftlich wichtig.|That is socially important.
Der Schutz ist notwendig.|The protection is necessary.
Die neue Generation.|The new generation.
Das Essen ist chinesisch.|The food is Chinese.

Das Zeichen ist klar.|The sign is clear.
Die Wahrheit tut weh.|The truth hurts.
Der Haushalt ist groß.|The household is large.
Der Garten ist schön.|The garden is beautiful.
Das Auto steht hinten.|The car is in the back.
Das fällt mir auf.|I notice that.
Der Gegensatz ist stark.|The contrast is strong.
Er verteilt die Flyer.|He distributes the flyers.
Das Papier ist weiß.|The paper is white.
Das Experiment ist physikalisch.|The experiment is physical.
Angesichts der Lage.|In view of the situation.
Der Raum ist leise.|The room is quiet.
Das ist vermutlich richtig.|That is probably right.
Die Aussage ist eindeutig.|The statement is clear.
Er kommt heraus.|He comes out.
Falls du kommst, ruf an.|If you come, call me.
Erstmals hier.|Here for the first time.
Mein Partner hilft mir.|My partner helps me.
Ich denke darüber nach.|I think about it.
Die Ausbildung ist wichtig.|The training is important.
Der Wagen ist neu.|The car is new.
Das Schiff ist groß.|The ship is big.
Tausend Menschen kamen.|A thousand people came.
Die Tat war mutig.|The deed was brave.
Die obere Etage.|The upper floor.
Die Gleichung ist schwierig.|The equation is difficult.
Der Stein ist schwer.|The stone is heavy.
Ich kümmere mich darum.|I take care of it.
Die mittlere Größe.|The average size.
Er erhebt die Hand.|He raises his hand.
Die Erklärung ist klar.|The explanation is clear.
Das Konzept ist gut.|The concept is good.
Mittwoch ist mein Lieblingstag.|Wednesday is my favorite day.
Der Lärm stört mich.|The noise bothers me.
Die Spur ist frisch.|The track is fresh.
Die Berliner Mauer.|The Berlin Wall.
Die Aufgabe ist eine Herausforderung.|The task is a challenge.
Das Rennen startet jetzt.|The race starts now.
Das ist staatlich geregelt.|That is regulated by the state.
Er verbessert seine Leistung.|He improves his performance.
Der Kaffee ist heiß.|The coffee is hot.
Die Vergangenheit ist wichtig.|The past is important.
Das Gleichgewicht ist verloren.|The balance is lost.
Griechenland ist schön.|Greece is beautiful.
Das Maß ist korrekt.|The measure is correct.
Er gibt das Paket ab.|He hands in the package.
Der Bericht ist fertig.|The report is ready.
Die Qualität ist hoch.|The quality is high.
Der Rand ist scharf.|The edge is sharp.
Italien ist sonnig.|Italy is sunny.
Der Kern ist hart.|The core is hard.
Der Winter ist kalt.|The winter is cold.
Der Hintergrund ist dunkel.|The background is dark.
Der Osten ist weit.|The east is vast.
Amerika ist groß.|America is big.
Er ist geboren.|He is born.
Das Tier ist gefährlich.|The animal is dangerous.
Er zwingt ihn.|He forces him.
Das Bier ist kalt.|The beer is cold.
Er spricht das Thema an.|He addresses the topic.
Das Bild ist komplett.|The picture is complete.
Die Forderung ist hoch.|The demand is high.
Er gelangt ans Ziel.|He reaches the goal.
Die Nachricht ist gut.|The news is good.
Er sammelt Briefmarken.|He collects stamps.
Er lehnt das Angebot ab.|He rejects the offer.
Er stößt den Tisch.|He bumps the table.
Die Temperatur ist konstant.|The temperature is constant.
Oktober ist kühl.|October is cool.
Er geht vorsichtig um.|He handles carefully.
Das geht dich nichts an.|That doesn't concern you.
Der Tag verlief gut.|The day proceeded well.
Er hat demnach recht.|Therefore, he is right.
Ein Problem tauchte auf.|A problem surfaced.
Er war böse auf mich.|He was mad at me.
Der Alarm wurde ausgelöst.|The alarm was set off.
Der Film geht weiter.|The movie goes on.
Es hängt vom Wetter ab.|It depends on the weather.
Die Geschwindigkeit ist hoch.|The speed is high.
Das ist ideal.|That is ideal.
Warte einen Augenblick!|Wait a moment!
Wir müssen die Kosten reduzieren.|We need to reduce the costs.
Die Maschine ist kaputt.|The machine is broken.
Die Linie ist linear.|The line is linear.
Das macht nichts aus.|That doesn't matter.
Er tritt in den Raum ein.|He enters the room.
Die Lage ist kritisch.|The situation is critical.
Äh, ich weiß nicht.|Um, I don't know.
Das Wochenende ist kurz.|The weekend is short.
Donnerstag ist morgen.|Thursday is tomorrow.
Die Saison beginnt bald.|The season starts soon.
Der Forscher ist bekannt.|The researcher is famous.
Er gründet eine Firma.|He founds a company.
Das ist offensichtlich.|That is obvious.
Ein Teilchen ist klein.|A particle is small.
Das genügt mir.|That is sufficient for me.
Er schiebt den Wagen.|He pushes the cart.
Der Computer ist neu.|The computer is new.
Der Effekt ist groß.|The effect is significant.
Er hat Gewicht abgenommen.|He has lost weight.
Die Verteilung ist gerecht.|The distribution is fair.
Er blickt nach oben.|He looks up.
Er trägt zur Diskussion bei.|He contributes to the discussion.
Die Anwendung ist einfach.|The application is simple.
Sie zeichnet ein Bild.|She draws a picture.
Das Brot ist frisch.|The bread is fresh.
Meistens lese ich abends.|Mostly, I read in the evenings.
Er erwähnte deinen Namen.|He mentioned your name.
Die Welle ist hoch.|The wave is high.
Meine Nase juckt.|My nose itches.
Er vertritt die Firma.|He represents the company.
Der Wald ist dicht.|The forest is dense.
Der Soldat marschiert.|The soldier marches.
Ich bin bereit.|I am ready.
Die Technik ist fortgeschritten.|The technology is advanced.
Das Blatt ist grün.|The leaf is green.
Das hat ihn geprägt.|That shaped him.
Er ist sozusagen mein Freund.|He is, so to speak, my friend.
November ist kalt.|November is cold.
Der Käse ist Schweizer.|The cheese is Swiss.
Ich fühle mich gesund.|I feel healthy.
Ich danke dir.|I thank you.
Wir spielen Fußball.|We play soccer.
Die Umstände sind schwierig.|The circumstances are difficult.
Wir laden Freunde ein.|We invite friends.
Das Paket wiegt ein Kilogramm.|The package weighs one kilogram.
Der Tee ist warm.|The tea is warm.
Die Integration ist wichtig.|The integration is important.
Mein Nachbar ist nett.|My neighbor is nice.
Das ist maximal möglich.|That is possible at maximum.
Die Figur ist schön.|The figure is beautiful.
Die Freude ist groß.|The joy is great.
Das ist offiziell.|That is official.
Er bleibt draußen.|He stays outside.
Der Kreis ist rund.|The circle is round.
Er nickt zustimmend.|He nods approvingly.
Die Uhr ist digital.|The clock is digital.
Der Autor ist unbekannt.|The author is unknown.
Das Gericht ist lecker.|The dish is tasty.
Ich schätze deine Hilfe.|I appreciate your help.
Er organisiert das Event.|He organizes the event.
Der Aspekt ist wichtig.|The aspect is important.
Er verzichtet auf Zucker.|He does without sugar.
Ich habe das bemerkt.|I noticed that.
Der Kaffee ist stark.|The coffee is strong.
Ich bin des Wartens leid.|I am tired of waiting.

Das Zimmer ist still.|The room is quiet.
Er leitet das Projekt.|He leads the project.
Er ist mein Vertreter.|He is my representative.
Die Statistik ist korrekt.|The statistics are accurate.
Deutschland ist meine Heimat.|Germany is my homeland.
Das Glas fasst einen Milliliter.|The glass holds a milliliter.
Er kehrt nach Hause zurück.|He returns home.
Der Gegenstand ist schwer.|The object is heavy.
Euer Haus ist schön.|Your house is beautiful.
Er setzt den Plan um.|He implements the plan.
Er betreibt ein Geschäft.|He runs a business.
Die Zusammenarbeit ist gut.|The cooperation is good.
Der Film endet gut.|The movie ends well.
Ich mag Tee, vielmehr Kaffee.|I like tea, rather coffee.
Ich kann mich nicht konzentrieren.|I can't concentrate.
Das Flugzeug landet pünktlich.|The plane lands on time.
Der See ist klar.|The lake is clear.

Der Tourist ist verloren.|The tourist is lost.
Die Konzentration ist wichtig.|The concentration is important.
Das Rauchen ist verboten.|Smoking is prohibited.
Er ist krank.|He is sick.
Die Fähigkeit ist wichtig.|The ability is important.
Die finanzielle Lage ist schlecht.|The financial situation is bad.
Die Jugendliche liest ein Buch.|The adolescent reads a book.
Das Netz ist groß.|The network is large.
Die Änderung ist notwendig.|The modification is necessary.
Er schließt die Tür ab.|He locks the door.
Die Erkenntnis war wichtig.|The realization was important.
Das ist selbstverständlich.|That is obvious.
Der Motor erzeugt Strom.|The engine generates electricity.
Die Ursache ist unbekannt.|The cause is unknown.
Das Gebäude ist ursprünglich.|The building is original.
Das ist die Basis.|That is the basis.
Er erzielte sein Ziel.|He achieved his goal.
Die Forschung ist abgeschlossen.|The research is completed.
Er schießt ein Tor.|He shoots a goal.
Der Lehrer warnte die Schüler.|The teacher warned the students.
Das Buch ist zehn Zentimeter dick.|The book is ten centimeters thick.
Das Geschäft eröffnet morgen.|The shop opens tomorrow.
Ich habe keine Ahnung.|I have no idea.
Er kündigte seinen Besuch an.|He announced his visit.
Das Enzym ist wichtig.|The enzyme is important.
Das Design ist individuell.|The design is individual.
Das Training ist intensiv.|The training is intensive.
Die Bundesregierung tagt heute.|The federal government meets today.
Er begreift das Konzept.|He understands the concept.
Die Szene ist berühmt.|The scene is famous.
Die DDR existiert nicht mehr.|The DDR no longer exists.
Der Bus kam rasch.|The bus came quickly.
Das ist real.|That is real.
Die Abgeordnete spricht.|The member of parliament speaks.
Die Brücke wird verstärkt.|The bridge is being reinforced.
Er wurde ausgeschlossen.|He was excluded.
Das ist sinnvoll.|That is sensible.
Er nimmt Bezug auf das Buch.|He makes reference to the book.
Dienstag ist ein Arbeitstag.|Tuesday is a workday.
Der Stand ist hoch.|The level is high.
Er rettete das Kind.|He saved the child.
Zwanzig Menschen kamen.|Twenty people came.
Der Club ist voll.|The club is full.
Gewalt ist keine Lösung.|Violence is not a solution.
Er guckte aus dem Fenster.|He looked out the window.
Der Anschlag war verheerend.|The attack was devastating.
Das Wetter beeinflusst mich.|The weather influences me.
Die Rose riecht gut.|The rose smells good.
Er wohnt außerhalb der Stadt.|He lives outside the city.
Sie begleitet ihn.|She accompanies him.
Das Publikum klatschte.|The audience applauded.
Der Besucher ist willkommen.|The visitor is welcome.
Das Wachstum ist stark.|The growth is strong.
Er gibt nicht auf.|He does not give up.
Ich bin stolz auf dich.|I am proud of you.
Der Verlust war groß.|The loss was great.
Er begründet seine Meinung.|He justifies his opinion.
Der Lehrer ist streng.|The teacher is strict.
Die Ecke ist dunkel.|The corner is dark.
Der Lauf war anstrengend.|The run was exhausting.
Der Artikel ist interessant.|The article is interesting.
Der Schauspieler ist berühmt.|The actor is famous.
Der alte Computer wird ersetzt.|The old computer is replaced.
Die Wahrscheinlichkeit ist hoch.|The probability is high.
Er lebt im Ausland.|He lives abroad.
Das Essen ist bayrisch.|The food is Bavarian.
Diesmal mache ich es.|This time I will do it.
Das Gehirn ist komplex.|The brain is complex.
Das Gebäude ist hoch.|The building is tall.
Die Investition ist langfristig.|The investment is long-term.
Er ist herzlich willkommen.|He is warmly welcome.
Die Tür ist gesichert.|The door is secured.
Das Material ist teuer.|The material is expensive.
Er verbringt viel Zeit.|He spends a lot of time.
Der Strom ist weg.|The electricity is gone.
Er arbeitet im Amt.|He works in the office.
Er kritisiert den Plan.|He criticizes the plan.
Er vermittelt den Vertrag.|He mediates the contract.
Die Wirklichkeit ist hart.|The reality is harsh.
Die Union ist stark.|The union is strong.
Das Studium ist schwer.|The studies are hard.
Er hält am Plan fest.|He holds on to the plan.
Sie präsentiert ihre Ideen.|She presents her ideas.
Die Demokratie ist wichtig.|Democracy is important.
Ich werde niemals lügen.|I will never lie.
Die Aufnahme war klar.|The recording was clear.
Das ist eine Ausnahme.|That is an exception.
Der Krieg wurde beendet.|The war was ended.
Die Investition ist groß.|The investment is significant.
Ich habe Lust auf Eis.|I desire ice cream.
Der Lehrer prüft die Tests.|The teacher checks the tests.
Er legt das Geld an.|He invests the money.
Der Zuschauer applaudiert.|The spectator applauds.
Das Zimmer ist hell.|The room is bright.
Mitten im Raum.|In the middle of the room.
Dem Bericht zufolge.|According to the report.
Der Konflikt ist gelöst.|The conflict is resolved.
Die Bahn ist pünktlich.|The train is on time.
Syrien ist weit weg.|Syria is far away.
Das Einkommen ist hoch.|The income is high.
Ich empfehle dieses Buch.|I recommend this book.

Er fürchtet die Dunkelheit.|He fears the darkness.
Er bereitet das Essen vor.|He prepares the food.
Die Aktivität ist anstrengend.|The activity is exhausting.
Der Auftrag ist wichtig.|The job is important.
Ich bin froh.|I am happy.
Er äußerte seine Meinung.|He expressed his opinion.
Der Geist ist stark.|The spirit is strong.
Das Objekt ist schwer.|The object is heavy.
Er kommt möglicherweise.|He might come.
Er ist zuständig.|He is responsible.
Der Bericht weist Fehler auf.|The report shows errors.
Das Kind springt hoch.|The child jumps high.
Der Hof ist groß.|The courtyard is big.
Der Polizist hilft.|The police officer helps.
Die Übung ist schwer.|The exercise is hard.
Der Widerstand wächst.|The resistance grows.
Er zieht das Hemd an.|He puts on the shirt.
Der Experte spricht.|The expert speaks.
Er kommt ohnehin.|He comes anyway.
Der Eimer ist gefüllt.|The bucket is filled.
Die Gemeinde ist klein.|The community is small.
Die Pause ist kurz.|The break is short.
Das Messer ist scharf.|The knife is sharp.
Er schüttelt den Kopf.|He shakes his head.
Das Fernsehen läuft.|The television is on.
Die Formel ist schwer.|The formula is difficult.
Die Blume ist gelb.|The flower is yellow.
Das Sommersemester beginnt.|The summer semester starts.
Der Sturm war heftig.|The storm was violent.
Die Bühne ist leer.|The stage is empty.
Er empfindet Freude.|He feels joy.
Der Schaden ist groß.|The damage is significant.
Die Richtung ist umgekehrt.|The direction is reversed.
Das Buch wurde veröffentlicht.|The book was published.
Er stellt den Stuhl auf.|He puts up the chair.
Ich bin abhängig.|I am dependent.
Die Strecke ist lang.|The distance is long.
Die Praxis ist modern.|The doctor's office is modern.
Der Weg ist ungefähr zehn Kilometer.|The way is approximately ten kilometers.
Er nimmt den Hund mit.|He takes the dog along.
Das ist üblich.|That is usual.

Die Wissenschaft ist spannend.|The science is exciting.
Das Problem ist global.|The problem is global.
Der Nachmittag ist sonnig.|The afternoon is sunny.
Die Annahme war richtig.|The assumption was correct.
Die Umgebung ist schön.|The surroundings are beautiful.
Die Öffentlichkeit ist informiert.|The public is informed.
Der Spiegel ist groß.|The mirror is big.
Er kommt zurück.|He returns.
Die Stelle ist besetzt.|The position is occupied.
Das Gegenteil ist richtig.|The opposite is true.
Die Zeit ist vorbei.|The time is over.
Der Fan ist begeistert.|The fan is excited.
Die Karte ist teuer.|The ticket is expensive.
Er ist arm.|He is poor.
Die Krise ist vorbei.|The crisis is over.
Die Strategie ist klug.|The strategy is smart.
Die Debatte war lang.|The debate was long.
Er stand davor.|He stood in front of it.
Der Journalist schreibt.|The journalist writes.
Er kocht gern.|He likes to cook.
Die Preise gehen zurück.|The prices are decreasing.
Der Schmerz ist stark.|The pain is strong.
Die Kosten sind erheblich.|The costs are considerable.
Das ist ausschließlich für Mitglieder.|That is exclusively for members.
Das Essen ist griechisch.|The food is Greek.

Naja, was soll's?|Oh well, what can you do?
Die Runde ist spannend.|The round is exciting.
Der Angriff war schnell.|The attack was swift.
Das Produkt wird eingeführt.|The product is being introduced.
Je länger, desto besser.|The longer, the better.
Der Wettbewerb ist hart.|The competition is tough.
Er verfügt über viele Bücher.|He has many books at his disposal.
Woher kommst du?|Where do you come from?
Er hat Zweifel.|He has doubts.
Der Konzern expandiert.|The corporation is expanding.
Wir tanzen gern.|We like to dance.
Er überlebte den Unfall.|He survived the accident.
Das ist spezifisch.|That is specific.
Das Haus ist stabil.|The house is sturdy.
Die Kamera ist teuer.|The camera is expensive.
Der Baum wirft einen Schatten.|The tree casts a shadow.
Er berücksichtigt die Fakten.|He considers the facts.
Das Pferd ist schnell.|The horse is fast.
Er begegnet ihr.|He meets her.
Der Zugang ist gesperrt.|The access is blocked.
Elf Personen kamen.|Eleven people came.
Die Suche ist erfolgreich.|The search is successful.
Die Menge ist doppelt so groß.|The amount is twice as large.
Die Regeln sind festgelegt.|The rules are determined.
Das Essen ist österreichisch.|The food is Austrian.
Er arbeitet, sodass er Geld verdient.|He works so that he earns money.
Die Tatsache ist bekannt.|The fact is known.
Er trinkt keinen Alkohol.|He doesn't drink alcohol.
Er informiert die Öffentlichkeit.|He informs the public.
Der Wind kommt aus dem Norden.|The wind comes from the north.
Ich vermute, es regnet.|I suspect it will rain.
Ich bin zufrieden.|I am satisfied.
Das Seil reißt.|The rope tears.
Das Auto fährt dahin.|The car drives there.
Solange du lernst, wirst du bestehen.|As long as you study, you will pass.
Der Wissenschaftler forscht viel.|The scientist researches a lot.
Die Kommunikation ist wichtig.|Communication is important.
Er greift das Steuer.|He grabs the steering wheel.
Die Steuer ist hoch.|The tax is high.
Der angebliche Grund ist falsch.|The alleged reason is false.
Das Angebot ist günstig.|The offer is favorable.
Dezember ist ein kalter Monat.|December is a cold month.
Der Flughafen ist groß.|The airport is large.
Das Krankenhaus ist voll.|The hospital is full.
Er wendet das Auto.|He turns the car around.
Das Essen ist türkisch.|The food is Turkish.

Der Gegner ist stark.|The opponent is strong.
Der Leser mag das Buch.|The reader likes the book.
VWL ist ein interessantes Fach.|Economics is an interesting subject.
Der Handel floriert.|The trade is flourishing.
Er hat gute Kenntnisse.|He has good knowledge.
Das Licht ist sichtbar.|The light is visible.
Er lässt ihn zu.|He admits him.
Die Mark ist stabil.|The Deutschmark is stable.
Der Plan sieht eine Erhöhung vor.|The plan provides for an increase.
Die Aufgabe hat viele Schwierigkeiten.|The task has many difficulties.
Er nimmt die Umgebung wahr.|He perceives the surroundings.
Er weist darauf hin.|He points to it.
Juli ist ein heißer Monat.|July is a hot month.
Das Signal ist rot.|The signal is red.
Die Polizei kontrolliert den Verkehr.|The police control the traffic.
Er kommt sowieso.|He is coming anyway.
Der Bauer pflügt das Feld.|The farmer plows the field.
Der Kurs ist schwer.|The course is difficult.
Einst war das ein Park.|Once this was a park.
Der Service ist gut.|The service is good.
Das sprachliche Niveau ist hoch.|The linguistic level is high.
Die bisherige Arbeit war gut.|The work so far was good.
Der Fahrer ist müde.|The driver is tired.
Das Fest ist traditionell.|The festival is traditional.
Das Baby weint.|The baby is crying.
Er genießt den Urlaub.|He enjoys the vacation.
Der Dienst beginnt früh.|The duty starts early.
Das Lager ist voll.|The storeroom is full.
Der Himmel ist grau.|The sky is gray.
Er wurde anhand der Beweise verurteilt.|He was convicted on the basis of the evidence.
Der Bus kommt bald.|The bus is coming soon.
Der Preis beträgt zehn Franken.|The price is ten francs.
Die Kategorie ist interessant.|The category is interesting.
Der Hund ist nett.|The dog is nice.
Sie ist sehr freundlich.|She is very kind.
Das Wetter ist perfekt.|The weather is perfect.
Er ist reich.|He is rich.
Die Fahrt war lang.|The trip was long.
Der Urlaub ist vorbei.|The vacation is over.
Das Essen ist ausländisch.|The food is foreign.
Das Instrument ist teuer.|The instrument is expensive.
Das Haus ist fern.|The house is far.
Die Gegend ist ruhig.|The area is quiet.
Er versteckt den Schlüssel.|He hides the key.
Das Feuer brennt.|The fire burns.
Er bemüht sich sehr.|He makes a great effort.
Das Verständnis ist wichtig.|Understanding is important.
Die AfD ist eine Partei.|The AfD is a party.
Die Bakterie ist gefährlich.|The bacterium is dangerous.
Er taucht tief.|He dives deep.
Die Konsequenzen sind schwer.|The consequences are serious.
Die Schuld liegt bei ihm.|The guilt lies with him.

Die Mehrheit stimmt zu.|The majority agrees.
Er hat einen Mantel an.|He is wearing a coat.
Die Bestimmung ist klar.|The regulation is clear.
Er vermeidet Fehler.|He avoids mistakes.
Er ist ehrlich.|He is honest.
Er beachtet die Regeln.|He observes the rules.
Die Daten sind statistisch.|The data are statistical.
Mein Hals tut weh.|My throat hurts.
Das Gesetz wird durchgesetzt.|The law is enforced.
Das Essen ist italienisch.|The food is Italian.


Das Telefon klingelt.|The telephone is ringing.
Der Herbst ist kühl.|The autumn is cool.
Die Ausstellung ist interessant.|The exhibition is interesting.
Der Bau ist teuer.|The construction is expensive.
Der Keller ist dunkel.|The cellar is dark.
Der Bürgermeister ist freundlich.|The mayor is friendly.
Er geht entlang der Straße.|He walks along the street.
Die Flasche ist leer.|The bottle is empty.
Das Wetter ist wunderbar.|The weather is wonderful.
Der Zweck ist klar.|The purpose is clear.
Sie ehren den Helden.|They honor the hero.
Die Verwendung ist vielseitig.|The use is versatile.
Letztlich war er erfolgreich.|In the end, he was successful.
Die Fläche ist groß.|The area is large.
Er streicht die Wand.|He paints the wall.
Er zitiert den Autor.|He quotes the author.
Er senkt den Preis.|He lowers the price.
Er behält das Buch.|He keeps the book.
Er gestaltet das Projekt.|He designs the project.
Er beweist seine Theorie.|He proves his theory.
Der Umgang ist schwierig.|The dealings are difficult.
Er überprüft die Daten.|He checks the data.
Er hat den Lehrstuhl inne.|He holds the professorship.
Er schenkt ihr Blumen.|He gives her flowers.
Der Vorschlag ist gut.|The suggestion is good.
Das Auto hält an.|The car stops.
Das Ziel ist entfernt.|The target is distant.
Der Leiter ist verantwortlich.|The leader is responsible.
Die Leiter ist lang.|The ladder is long.
Das Parlament tagt heute.|The parliament meets today.
Er stürzte von der Treppe.|He fell from the stairs.
Die Waffe ist gefährlich.|The weapon is dangerous.
Das Kriterium ist wichtig.|The criterion is important.
Der Beifall war laut.|The applause was loud.
Das Gebäude wurde zerstört.|The building was destroyed.
Er hört aufmerksam zu.|He listens attentively.
Der Flug fällt aus.|The flight is canceled.
Nach einer Weile kam er.|After a while, he came.
Er drängte zur Tür.|He pushed towards the door.
Einerseits bin ich müde.|On the one hand, I am tired.
Die Spannung steigt.|The tension rises.
Der Fortschritt ist sichtbar.|The progress is visible.
Die Mathematik ist schwer.|Mathematics is difficult.
Das Bad ist sauber.|The bathroom is clean.
Er erläuterte den Plan.|He explained the plan.
Er packt seinen Koffer.|He packs his suitcase.
Großbritannien ist ein Land.|Great Britain is a country.
Sei vorsichtig!|Be careful!
Er wendet die Technik an.|He applies the technique.
Die Tiere sind wild.|The animals are wild.
Das Recht ist gesetzlich.|The law is legal.
Die Spitze ist scharf.|The point is sharp.
Das Gerät ist neu.|The appliance is new.
Sein Wille ist stark.|His will is strong.
Das ist sicherlich richtig.|That is certainly correct.
Er weist den Weg.|He points the way.
Die Tradition ist alt.|The tradition is old.
Das Feuer brennt.|The fire burns.
Die Arbeit ist freiwillig.|The work is voluntary.
Je länger, umso besser.|The longer, the better.
Der Antrag ist eingereicht.|The application is submitted.
Das Reich war groß.|The empire was large.
Er investiert in Aktien.|He invests in stocks.
Ich habe Essen bestellt.|I ordered food.
Das ist eine gute Gelegenheit.|That is a good opportunity.
Die Mauer ist hoch.|The wall is high.
Er blieb stattdessen zu Hause.|He stayed home instead.
Der Stuhl ist bequem.|The chair is comfortable.
Der Ton ist klar.|The sound is clear.
Das Büro ist groß.|The office is large.
Die Umwelt ist wichtig.|The environment is important.
Er raucht eine Zigarette.|He smokes a cigarette.
Die Beschreibung ist genau.|The description is precise.
Die Pflanze wächst schnell.|The plant grows quickly.
Die Tätigkeit ist interessant.|The activity is interesting.
Die Landschaft ist schön.|The landscape is beautiful.
Er verwies auf den Bericht.|He referred to the report.
Der Arbeitsplatz ist sicher.|The workplace is secure.
Er erfasst die Daten.|He collects the data.
Die Komponente ist defekt.|The component is defective.
Das Ion ist geladen.|The ion is charged.
Der Laden ist offen.|The shop is open.
Das Essen ist fein.|The food is fine.
Der Stern leuchtet hell.|The star shines brightly.
Der Schuh ist neu.|The shoe is new.
Mein Knie tut weh.|My knee hurts.
Er hat null Punkte.|He has zero points.
Die Schicht ist dünn.|The layer is thin.
Das ist unglaublich!|That is incredible!
Er kommt zurück.|He comes back.
Die Realität ist hart.|Reality is harsh.
Sobald es regnet, bleiben wir.|As soon as it rains, we stay.
Er belegt den ersten Platz.|He takes the first place.
Der Fluss ist breit.|The river is wide.
Es gibt eine Alternative.|There is an alternative.
Er ist verpflichtet zu helfen.|He is obliged to help.
Er begrüßt den Gast.|He greets the guest.
Die Führung ist stark.|The leadership is strong.
Das Buch ist auf dem unteren Regal.|The book is on the lower shelf.
Das Handy ist teuer.|The mobile phone is expensive.
Berlin ist die Hauptstadt.|Berlin is the capital city.
Das Experiment ist erfolgreich.|The experiment is successful.
Der Frieden ist zerbrechlich.|Peace is fragile.
Der Verlauf der Krankheit.|The course of the illness.
Das Potenzial ist groß.|The potential is great.
Der Verlag veröffentlicht Bücher.|The publishing company publishes books.
Der Ministerpräsident spricht.|The governor speaks.
Der Vogel singt.|The bird sings.
Der Zugang ist beschränkt.|The access is restricted.
Die Branche wächst.|The sector is growing.
Der Schauspieler ist berühmt.|The actor is famous.
Er schlägt einen Plan vor.|He suggests a plan.
Es war beinahe perfekt.|It was almost perfect.
Die jährliche Feier ist groß.|The annual celebration is big.
Die Botschaft ist klar.|The message is clear.
Der Alltag ist stressig.|The daily routine is stressful.
Der Umsatz ist gestiegen.|The sales have increased.
Der Verband hilft.|The association helps.
Er betritt den Raum.|He enters the room.
Die Regelung ist kompliziert.|The regulation is complicated.
Er nimmt am Wettbewerb teil.|He takes part in the competition.
Die Vorteile überwiegen.|The advantages outweigh.
Das Problem bedingt eine Lösung.|The problem causes a solution.
Die Gestalt ist seltsam.|The figure is strange.
Was wird auf uns zukommen?|What is in store for us?
Mein Pass ist abgelaufen.|My passport has expired.
Der Minister spricht im Parlament.|The minister speaks in the parliament.
Das Fahrzeug ist neu.|The vehicle is new.
Das Wasser fließt ruhig.|The water flows calmly.
Gemäß den Regeln ist es erlaubt.|According to the rules, it is allowed.
Der Vorwurf ist ungerecht.|The accusation is unfair.
Das ist erforderlich.|That is required.
Die Haltung ist gut.|The posture is good.
Der Schriftsteller schreibt Romane.|The writer writes novels.
Die Stimmung ist fröhlich.|The mood is cheerful.
Das war zufällig.|That was by chance.
Das Gebäude ist enorm.|The building is enormous.
Das Fach ist schwer.|The subject is difficult.
Die Zeit ist begrenzt.|The time is limited.
Das Lied ist schön.|The song is beautiful.
Die Nation ist groß.|The nation is large.
Die Verhandlung beginnt.|The negotiation begins.
Der Wein schmeckt gut.|The wine tastes good.
Die Auflage ist hoch.|The edition is large.
Das Buch ist billig.|The book is cheap.
Das Papier ist dünn.|The paper is thin.
Achte auf die Regeln.|Pay attention to the rules.
Er ist Amerikaner.|He is American.
Der Anbieter ist zuverlässig.|The supplier is reliable.
Die Industrie wächst.|The industry is growing.
Spanien ist schön.|Spain is beautiful.
Der Hut ist ab.|The hat is off.
Er ist Jude.|He is a Jew.
Der Vorgang ist komplex.|The process is complex.
Er gibt viel Geld aus.|He spends a lot of money.
Der Meister gewinnt.|The master wins.
Er dreht sich um.|He turns around.
Der Einfluss ist weitgehend.|The influence is extensive.
Er ist traurig.|He is sad.
Die Aufmerksamkeit ist wichtig.|Attention is important.
Die Berechnung ist korrekt.|The calculation is correct.
Der Respekt ist gegenseitig.|The respect is mutual.
Das Treffen ist kurzfristig.|The meeting is at short notice.
Die Stufe ist hoch.|The step is high.
Das Urteil ist gerecht.|The judgment is fair.
Das ist primär.|That is primary.
Der Schnee fällt.|The snow falls.
Das Werk ist vollkommen.|The work is perfect.
England ist ein Land.|England is a country.
Der Schaden ist massiv.|The damage is severe.
Alle sind gekommen.|All have come.
Er übersetzt den Text.|He translates the text.
Das ist dringend.|That is urgent.
Der Fehler verursacht Probleme.|The error causes problems.
Die Konkurrenz ist stark.|The competition is strong.
Der Muskel schmerzt.|The muscle aches.
Der Test ist schwer.|The test is difficult.
