|word_de|sentence_de
3707|gefangen|Das Tier wurde in der Falle gefangen.
3711|restlich|Die restlichen Fragen bleiben offen.
3718|einmalig|Er bietet das Erlebnis einmalig an.
3724|unsichtbar|Das Gas war unsichtbar, aber gefährlich.
3727|vorläufig|Das ist eine vorläufige Entscheidung.
3729|akut|Das Problem trat ganz plötzlich auf.
3731|chronisch|Er leidet an chronischen Schmerzen.
3738|touristisch|Die Stadt ist touristisch attraktiv.
3740|geographisch|Die Lage ist geographisch vorteilhaft.
3751|gültig|Das Ticket ist bis morgen gültig.
3758|israelisch|Er spricht fließend Hebräisch.
3765|vergeblich|Er versuchte es vergeblich noch einmal.
3774|schuldig|Er fühlte sich schuldig für den Fehler.
3777|elementar|Elementare Kenntnisse sind erforderlich.
3785|final (er, e, es)|Das ist die finale Entscheidung.
3788|physiologisch|Das ist physiologisch bedingt.
3793|endlos|Die Diskussion schien endlos zu sein.
3799|städtisch|Das städtische Leben ist lebendig.
3801|harmlos|Das Geräusch klang ganz harmlos.
3802|reichlich|Es gab reichlich zu essen für alle.
3804|spektakulär|Das Feuerwerk war spektakulär.
3820|dauernd|Er redet dauernd über das Wetter.
3821|eigenständig|Er arbeitet völlig eigenständig.
3822|elegant|Die elegante Frau betrat den Raum.
3824|mutmaßlich|Der mutmaßliche Täter wurde gefasst.
3826|vermehrt|Vermehrt kamen neue Probleme auf.
3833|asymmetrisch|Das Bild zeigt sich asymmetrisch.
3834|bescheiden|Er lebt bescheiden, aber zufrieden.
3854|prinzipiell|Er ist prinzipiell gegen Gewalt.
3863|hessisch|Die hessische Küche ist bekannt.
3865|passiv|Er blieb während der Diskussion passiv.
3871|detailliert|Der Plan wurde detailliert beschrieben.
3874|unglücklich|Er war unglücklich über den Verlust.
3894|gründlich|Er reinigte den Raum gründlich.
3913|jetzig|Die jetzige Situation ist schwierig.
3917|lächerlich|Die Forderung war einfach lächerlich.
3920|außerordentlich|Er war außerordentlich begabt.
3922|minimal|Er zahlt minimal für die Reparatur.
3926|unerwartet|Der Besuch war völlig unerwartet.
3948|materiell|Materieller Besitz ist vergänglich.
3954|mutig|Mutig stellte er sich der Gefahr.
3956|sympathisch|Er wirkte sofort sympathisch auf alle.
3965|hilfreich|Das Buch war sehr hilfreich für mich.
3967|königlich|Er erhielt königlichen Besuch.
3971|schmutzig|Die schmutzige Wäsche liegt dort.
3974|gemütlich|Wir sitzen gemütlich beisammen.
3978|blass|Nach dem Schock war er sehr blass.
3996|romantisch|Er plante ein romantisches Abendessen.
4003|zart|Er bereitete das zarte Gemüse zu.
4008|seitlich|Das Auto wurde seitlich beschädigt.
4013|satt|Ich bin satt und kann nicht mehr essen.
4015|symbolisch|Das Geschenk war symbolisch wertvoll.
4021|ländlich|Das Dorf ist sehr ländlich gelegen.
4026|anspruchsvoll|Das Projekt war anspruchsvoll.
4030|geometrisch|Geometrische Formen faszinieren ihn.
4035|unwahrscheinlich|Das Szenario ist unwahrscheinlich.
4044|partiell|Die Lösung war nur partiell erfolgreich.
4063|schwul|Er hat sich als schwul geoutet.
4065|bemerkenswert|Das Ergebnis ist wirklich bemerkenswert.
4068|einseitig|Er entscheidet einseitig für alle.
4076|bundesweit|Die Aktion fand bundesweit Beachtung.
4084|aromatisch|Der Wein schmeckte aromatisch.
4090|thermisch|Die thermische Belastung war hoch.
4092|verwandt|Wir sind entfernt miteinander verwandt.
4110|sachlich|Er erklärte den Sachverhalt sachlich.
4117|außergewöhnlich|Das war eine außergewöhnliche Leistung.
4121|Kölner|Der Kölner Dom ist weltbekannt.
4129|bar|Ich bezahle die Rechnung lieber bar.
4141|flüchtig|Er gibt ihr einen flüchtigen Kuss.
4149|verdächtig|Sein Verhalten war verdächtig.
4150|zuverlässig|Er ist ein zuverlässiger Partner.
4152|alltäglich|Solche Probleme sind leider alltäglich.
4161|drastisch|Die Maßnahmen waren drastisch.
4162|gleichmäßig|Er atmete ruhig und gleichmäßig.
4166|molekular|Er analysiert die Struktur molekular.
4169|stationär|Er blieb stationär im Krankenhaus.
4171|brutal|Der Film war brutal und erschreckend.
4172|ehrenamtlich|Er arbeitet ehrenamtlich im Verein.
4173|großzügig|Er ist ein sehr großzügiger Mensch.
4177|strikt|Die Regeln wurden strikt befolgt.
4181|fit|Er bleibt fit durch regelmäßigen Sport.
4189|gelassen|Er bleibt in jeder Situation gelassen.
4190|live|Das Konzert wurde live übertragen.
4192|sozialistisch|Sozialistische Ideen waren umstritten.
4209|regelrecht|Das war eine regelrechte Katastrophe.
4216|regulär|Das Treffen fand regulär statt.
4218|ukrainisch|Das ukrainische Essen ist sehr würzig.
4229|elektromagnetisch|Elektromagnetische Felder umgeben uns.
4236|örtlich|Die Hilfe war örtlich begrenzt.
4241|prominent|Ein prominenter Gast besuchte das Event.
4243|afrikanisch|Die afrikanische Musik begeistert.
4248|philosophisch|Er stellte eine philosophische Frage.
4255|einverstanden|Ich bin mit dem Plan einverstanden.
4256|fachlich|Der Bericht ist fachlich fundiert.
4274|einstig|Der einstige Ruhm verblasste schnell.
4279|nördlich|Nördlich von Berlin liegt ein See.
4280|obig|Das obige Beispiel zeigt den Fehler.
4281|skeptisch|Er blickt skeptisch auf die Zahlen.
4287|ärztlich|Die ärztliche Beratung ist kostenlos.
4289|geschickt|Sie löste das Problem geschickt.
4290|mittelalterlich|Die Stadt hat mittelalterliche Gebäude.
4295|anorganisch|Anorganische Chemie ist faszinierend.
4303|sinnlos|Die Diskussion war völlig sinnlos.
4308|erreichbar|Der Gipfel war kaum erreichbar.
4312|populär|Diese Band ist sehr populär in Europa.
4326|intellektuell|Das Gespräch war intellektuell anregend.
4327|legendär|Die legendäre Band tritt wieder auf.
4329|motorisch|Die Bewegung fiel ihm motorisch schwer.
4357|mild|Der milde Winter überraschte alle.
4365|Thüringer|Die Thüringer Küche ist berühmt.
4372|vorig|Im vorigen Jahr war es anders.
4375|belgisch|Er probierte belgische Schokolade.
4380|glänzend|Das Auto glänzt nach der Wäsche.
4389|horizontal|Das Bild hing horizontal an der Wand.
4391|kriminell|Er wollte nicht kriminell werden.
4393|vorzeitig|Der Bericht ist vorzeitig fertig.
4403|nachvollziehbar|Die Erklärung war gut nachvollziehbar.
4404|spürbar|Die Kälte war spürbar im Raum.
4410|schlank|Er bleibt schlank durch viel Bewegung.
4416|quadratisch|Der Tisch hat eine quadratische Form.
4418|solide|Der Plan ist solide und durchdacht.
4419|unauffällig|Er kleidete sich sehr unauffällig.
4426|homogen|Die Gruppe war homogen zusammengesetzt.
4437|unerträglich|Der Lärm wurde unerträglich laut.
4439|zwangsläufig|Die Entscheidung war zwangsläufig.
4443|kommunal|Kommunale Wahlen stehen bevor.
4452|behindert|Er hilft seinem behinderten Bruder.
4464|signifikant|Die Unterschiede sind signifikant.
4467|unbewusst|Er war sich unbewusst der Gefahr.
4469|voraussichtlich|Der Zug kommt voraussichtlich später an.
4479|überlegen|Er ist ihm überlegen im Schach.
4492|humanitär|Sie leisteten humanitäre Hilfe.
4494|naiv|Das naive Kind vertraute jedem.
4503|gänzlich|Er hat das gänzlich vergessen.
4510|asiatisch|Asiatische Küche ist sehr beliebt.
4512|blutig|Nach dem Unfall war die Straße blutig.
4516|römisch|Das römische Reich war mächtig.
4521|auswärtig|Die auswärtigen Gäste reisten an.
4522|elastisch|Das Band dehnte sich elastisch aus.
4529|verbal|Er reagiert nur verbal auf Kritik.
4537|gängig|Diese Methode ist sehr gängig.
4539|kommunikativ|Er ist sehr kommunikativ und offen.
4541|letzterer, letztere, letzteres|Von beiden ist letzteres besser.
4545|zeitgenössisch|Die zeitgenössische Kunst ist beliebt.
4552|innovativ|Innovative Ideen führten zum Erfolg.
4553|kollektiv|Kollektiv beschlossen sie die Maßnahmen.
4554|nüchtern|Er bleibt bei der Arbeit nüchtern.
4555|ungeheuer|Die Aufgabe war ungeheuer schwierig.
4561|derzeitig|Die derzeitige Lage ist kritisch.
4565|gigantisch|Das Gebäude hatte gigantische Ausmaße.
4567|überflüssig|Diese Information war überflüssig.
4573|sowjetisch|Sowjetische Technik war robust.
4575|verbindlich|Er gab verbindlich seine Zusage.
4579|konventionell|Er bevorzugt konventionelle Methoden.
4581|organisatorisch|Die organisatorische Struktur ist klar.
4582|reif|Die reifen Äpfel fielen von den Bäumen.
4587|empfindlich|Er reagiert empfindlich auf Kritik.
4589|hilflos|Das hilflose Kind weinte bitterlich.
4602|witzig|Sein Kommentar war witzig und spontan.
4609|rational|Die Entscheidung war rational.
4611|fließend|Er spricht fließend drei Sprachen.
4613|naturwissenschaftlich|Er ist naturwissenschaftlich begabt.
4633|pädagogisch|Das Programm ist pädagogisch wertvoll.
4653|dominant|Der dominante Spieler setzte sich durch.
4663|giftig|Die Pflanze ist giftig und gefährlich.
4665|hinreichend|Die Beweise waren hinreichend.
4676|gehörlos|Er unterrichtet gehörlose Kinder.
4685|familiär|Das Restaurant wirkt familiär.
4689|technologisch|Technologisch geht die Firma voran.
4691|antik|Das antike Gebäude wurde restauriert.
4694|gesundheitlich|Gesundheitlich geht es ihm besser.
4695|konstruktiv|Das Meeting verlief sehr konstruktiv.
4703|fähig|Er ist fähig, die Aufgabe zu lösen.
4722|ausgesprochen|Das Essen war ausgesprochen lecker.
4728|präsent|Er war bei der Sitzung präsent.
4732|vornehm|Die vornehme Dame betritt den Raum.
4733|bedeutsam|Das ist eine bedeutsame Entscheidung.
4734|evangelisch|Er ist evangelisch getauft worden.
4737|nachdenklich|Er war nachdenklich nach dem Gespräch.
4750|pünktlich|Er kommt immer pünktlich zur Arbeit.
4753|diplomatisch|Der diplomatische Weg ist oft der beste.
4762|oberflächlich|Die Prüfung war oberflächlich.
4763|parlamentarisch|Er arbeitet parlamentarisch korrekt.
4764|semantisch|Das Wort ist semantisch komplex.
4783|ethisch|Ethisch korrektes Handeln ist wichtig.
4788|optimistisch|Er blickt optimistisch in die Zukunft.
4794|beweglich|Das Material ist sehr beweglich.
4796|fraglich|Seine Aussagen waren fraglich.
4800|nächtlich|Nächtliche Geräusche weckten mich.
4814|selbstbewusst|Er sprach selbstbewusst vor der Gruppe.
4815|souverän|Der König war ein souveräner Herrscher.
4837|höflich|Er ist immer höflich zu seinen Nachbarn.
4851|muslimisch|Die muslimische Gemeinde feiert Ramadan.
4856|visuell|Visuell war das Projekt ansprechend.
4865|nachträglich|Er bekam eine nachträgliche Einladung.
4868|spitz|Der Bleistift war spitz genug.
4882|monatlich|Die Rechnung ist monatlich fällig.
4883|sächsisch|Die sächsische Dialekt ist unverkennbar.
4894|frühzeitig|Er kommt immer frühzeitig zur Arbeit.
4895|fundamental|Das ist ein fundamentales Prinzip.
4901|unnötig|Das war ein unnötiger Kommentar.
4908|funktional|Das Design war funktional und effizient.
4911|legal|Das Geschäft ist völlig legal.
4914|silbern|Die silberne Kette glitzerte im Licht.
4934|ungleich|Die Kräfteverhältnisse waren ungleich.
4935|verlässlich|Er ist ein verlässlicher Kollege.
4938|brav|Das Kind war heute besonders brav.
4958|faul|Er bleibt den ganzen Tag faul im Bett.
4973|plausibel|Seine Erklärung klingt plausibel.
4980|beträchtlich|Die Summe ist beträchtlich gestiegen.
4985|östlich|Der Wind kommt aus östlicher Richtung.
4991|zulässig|Das Verhalten ist nicht zulässig.
4993|ausgezeichnet|Der Service war ausgezeichnet.
4996|führend|Sie ist eine führende Expertin.
5004|unschuldig|Der Angeklagte ist unschuldig.
5008|afghanisch|Die afghanische Küche ist sehr würzig.
5012|gläubig|Der gläubige Mann betet täglich.
5024|nominal|Nominal sind die Werte gleich.
5033|magisch|Die Atmosphäre war fast magisch.
5047|tragisch|Das war eine tragische Geschichte.
5054|simpel|Die Anleitung ist wirklich simpel.
5057|uralt|Das uralte Buch wurde neu entdeckt.
5059|anfänglich|Der anfängliche Plan war besser.
5066|fürchterlich|Das Unwetter war fürchterlich stark.
5067|norwegisch|Das norwegische Team war stark.
5072|Zürcher|Er genoss die Zürcher Küche sehr.
5088|vertikal|Das Bild hängt vertikal an der Wand.
5099|wörtlich|Das ist wörtlich zu verstehen.
5103|jugendlich|Er wirkt immer noch sehr jugendlich.
5111|zuversichtlich|Er bleibt zuversichtlich trotz allem.
