|word_de|sentence_de|word_en
4895|fundamental|Das fundamentale Problem blieb ungelöst.|fundamental|The fundamental problem remained unsolved.
4901|unnötig|Dieser Aufwand war völlig unnötig.|unnecessary|This effort was completely unnecessary.
4908|funktional|Alle lieben funktionale Programmierung.|functional|Everyone loves functional programming.
4911|legal|Das Geschäft ist völlig legal.|legal|The business is completely legal.
4914|silbern|Die silberne Kette glitzerte im Licht.|silver|The silver necklace glittered in the light.
4934|ungleich|Die Kräfteverhältnisse waren ungleich.|unequal|The balance of power was unequal.
4935|verlässlich|Er ist ein verlässlicher Kollege.|reliable|He is a reliable colleague.
4938|brav|Das Kind war heute besonders brav.|well-behaved|The child was particularly well-behaved today.
4958|faul|Er bleibt den ganzen Tag faul im Bett.|lazy|He stays lazy in bed all day.
4973|plausibel|Die plausible Erklärung überzeugte mich.|plausible|The plausible explanation convinced me.
4980|beträchtlich|Die Kosten waren beträchtlich gestiegen.|considerable|The costs had risen considerably.
4985|östlich|Der Wind kommt aus östlicher Richtung.|eastern|The wind is coming from the east.
4991|zulässig|Nur zulässige Methoden wurden verwendet.|permissible|Only permissible methods were used.
4993|ausgezeichnet|Ihre Leistung war ausgezeichnet.|excellent|Her performance was excellent.
4996|führend|Sie ist eine führende Expertin.|leading|She is a leading expert.
5004|unschuldig|Der Angeklagte ist unschuldig.|innocent|The defendant is innocent.
5008|afghanisch|Das afghanische Gericht war köstlich.|Afghan|The Afghan dish was delicious.
5012|gläubig|Der gläubige Mann betet täglich.|religious, devout|The devout man prays daily.
5024|nominal|Das ist der nominale Wert der Aktie.|nominal|That is the nominal value of the stock.
5033|magisch|Der Wald war voller magischer Wesen.|magical|The forest was full of magical creatures.
5047|tragisch|Das tragische Ende traf letztlich alle.|tragic|The tragic ending affected everyone in the end.
5054|simpel|Die Anleitung ist wirklich simpel.|simple|The instructions are really simple.
5057|uralt|Das Buch in der Ecke war uralt.|ancient|The book in the corner was ancient.
5059|anfänglich|Der anfängliche Plan war besser.|initial|The initial plan was better.
5066|fürchterlich|Das fürchterliche Wetter hielt an.|terrible|The terrible weather persisted.
5067|norwegisch|Das norwegische Team war stark.|Norwegian|The Norwegian team was strong.
5072|Zürcher|Der Zürcher See ist wunderschön.|Zurich|Lake Zurich is beautiful.
5088|vertikal|Die vertikale Linie war kaum sichtbar.|vertical|The vertical line was barely visible.
5099|wörtlich|Die wörtliche Übersetzung war ungenau.|literal|The literal translation was inaccurate.
5103|jugendlich|Das jugendliche Team gewann schnell.|youthful|The youthful team won quickly.
5111|zuversichtlich|Er bleibt zuversichtlich trotz allem.|confident, hopeful|He remains confident despite everything.
