|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
580.001|die Antwort|noun|reply|Ihre Antwort kam nach einer langen Wartezeit.|Her reply came after a long wait.|ihr;Antwort;kommen;nach;ein;lang;Wartezeit
581.0|annehmen|verb|to accept|Ich werde das Angebot annehmen, obwohl es riskant ist.|I’ll accept the offer, even though it’s risky.|ich;werden;der;Angebot;annehmen;obwohl;es;riskant;sein
581.001|annehmen|verb|to assume|Er nimmt an, dass sie ahnungslos bleibt.|He assumes that she remains clueless.|er;annehmen;an;dass;sie;ahnungslos;bleiben
582.0|falsch|adjective|false|Die Behauptung war offensichtlich falsch.|The statement was obviously false.|der;Behauptung;sein;offensichtlich;falsch
582.001|falsch|adjective|wrong|Das Ergebnis der Berechnung war leider falsch.|The result of the calculation was unfortunately wrong.|der;Ergebnis;der;Berechnung;sein;leider;falsch
583.0|der Zusammenhang|noun|connection|Der Zusammenhang der Schritte ist logisch.|The connection of the steps is logical.|der;Zusammenhang;der;Schritt;sein;logisch
583.001|der Zusammenhang|noun|context|Im Zusammenhang mit den Zahlen sieht man den Trend deutlich.|In the context of the numbers, you can see the trend clearly.|in;Zusammenhang;mit;der;Zahl;sehen;man;der;Trend;deutlich
584.0|langsam|adjective|slow|Der Verkehr war heute besonders langsam.|The traffic was particularly slow today.|der;Verkehr;sein;heute;besonders;langsam
585.0|der Arm|noun|arm|Er hielt sich den Arm, nachdem er gestürzt war.|He held his arm after he had fallen.|er;halten;sich;der;Arm;nachdem;er;stürzen;sein
586.0|nachdem|conjunction|after|Nachdem wir gegessen hatten, gingen wir spazieren.|After we ate, we went for a walk.|nachdem;wir;gegessen;haben;spazierengehen;wir;spazieren
587.0|der Tisch|noun|table|Der Tisch in der Mitte des Raums ist aus Holz.|The table in the middle of the room is made of wood.|der;Tisch;in;der;Mitte;der;Raum;sein;aus;Holz
588.0|rufen|verb|to call|Er rief ihren Namen, aber sie hörte ihn nicht.|He called her name, but she didn’t hear him.|er;rufen;ihr;Name;aber;sie;hören;ihn;nicht
589.0|bieten|verb|to offer|Das Hotel bietet einen hervorragenden Service.|The hotel offers excellent service.|der;Hotel;bieten;ein;hervorragend;Service
590.0|das Herz|noun|heart|Ihr Herz schlug schneller, als sie den Raum betrat.|Her heart beat faster when she entered the room.|ihr;Herz;schlagen;schnell;als;sie;der;Raum;betreten
591.0|zusammen|adverb|together|Wir arbeiten heute zusammen an diesem Projekt.|We are working together on this project today.|wir;zusammenarbeiten;heute;zusammen;an;dieser;Projekt
592.0|inzwischen|adverb|in the meantime|Inzwischen haben wir das Update erfolgreich installiert.|In the meantime, we have successfully installed the update.|inzwischen;haben;wir;der;Update;erfolgreich;installieren
593.0|ebenso|adverb|just as|Er ist ebenso talentiert wie sein Bruder.|He is just as talented as his brother.|er;sein;ebenso;talentiert;wie;sein;Bruder
593.001|ebenso|adverb|as much as|Ich schätze deine Hilfe ebenso wie deine Freundschaft.|I value your help as much as your friendship.|ich;schätzen;dein;Hilfe;ebenso;wie;dein;Freundschaft
593.002|ebenso|adverb|as well|Die Kollegen haben ebenso ihre Meinung geäußert.|The colleagues have expressed their opinion as well.|der;Kollege;haben;ebenso;ihr;Meinung;äußern
594.0|der Boden|noun|ground|Der Boden war nach dem Regen nass und schlammig.|The ground was wet and muddy after the rain.|der;Boden;sein;nach;der;Regen;nass;und;schlammig
594.001|der Boden|noun|floor|Der Boden war mit Staub bedeckt, als wir eintraten.|The floor was covered in dust when we entered.|der;Boden;sein;mit;Staub;bedecken;als;wir;eintraten
594.002|der Boden|noun|bottom|Der Boden des Sees ist tief und mysteriös.|The bottom of the lake is deep and mysterious.|der;Boden;der;See;sein;tief;und;mysteriös
595.0|bevor|conjunction|before|Wir sollten uns beeilen, bevor der Bus kommt.|We should hurry before the bus comes.|wir;sollen;sich;beeilen;bevor;der;Bus;kommen
596.0|verwenden|verb|to use|Du kannst diese Datei verwenden, um weiterzuarbeiten.|You can use this file to continue working.|du;kannst;dieser;Datei;verwenden;um;weiterzuarbeiten
597.0|die Politik|noun|politics|Die Politik beeinflusst viele Aspekte unseres Lebens.|Politics influences many aspects of our lives.|der;Politik;beeinflussen;vieler;Aspekt;unser;Leben
598.0|der Tod|noun|death|Der Tod seiner Großmutter traf ihn sehr hart.|The death of his grandmother hit him hard.|der;Tod;sein;Großmutter;treffen;ihn;sehr;hart
599.0|der Erfolg|noun|success|Ihr Erfolg im Wettbewerb war ein Ergebnis harter Arbeit.|Her success in the competition was the result of hard work.|ihr;Erfolg;in;Wettbewerb;sein;ein;Ergebnis;hart;Arbeit
600.0|zudem|adverb|moreover|Zudem zeigt die Studie positive Langzeiteffekte.|Moreover, the study shows positive long-term effects.|zudem;zeigen;der;Studie;positiv;Langzeiteffekt
600.001|zudem|adverb|furthermore|Zudem müssen wir die Zielmärkte erweitern.|Furthermore, we need to expand the target markets.|zudem;müssen;wir;der;Zielmarkt;erweitern
600.002|zudem|adverb|besides|Sie ist intelligent und zudem sehr nett.|She is intelligent and, besides, very kind.|sie;sein;intelligent;und;zudem;sehr;nett
601.0|die Bank|noun|bank|Die Bank bietet einen neuen Zinssatz für Sparanlagen an.|The bank offers a new interest rate for savings accounts.|der;Bank;anbieten;ein;neu;Zinssatz;für;Sparanlage;an
601.001|die Bank|noun|bench|Die alte Bank im Park wird oft von Studenten genutzt.|The old bench in the park is often used by students.|der;alt;Bank;in;Park;werden;oft;von;Student;nutzen
602.0|ab|preposition|from|Ab morgen werden die Öffnungszeiten geändert.|From tomorrow, the opening hours will change.|ab;morgen;werden;der;Öffnungszeit;ändern
602.001|ab|preposition|as of|Ab morgen gelten die neuen Regeln im Büro.|As of tomorrow, the new rules apply in the office.|ab;morgen;gelten;der;neu;Regel;in;Büro
603.0|persönlich|adjective|personal|Die persönliche Note in ihrem Geschenk machte es besonders.|The personal touch in her gift made it special.|der;persönlich;Note;in;ihr;Geschenk;machen;es;besonders
604.0|der Präsident|noun|president|Der Präsident hielt eine Rede vor dem Parlament.|The president gave a speech before the parliament.|der;Präsident;halten;ein;Rede;vor;der;Parlament
605.0|holen|verb|to get|Er holt die Zeitung aus dem Briefkasten.|He gets the newspaper from the mailbox.|er;holen;der;Zeitung;aus;der;Briefkasten
605.001|holen|verb|to fetch|Er musste schnell seine Jacke holen, bevor er ging.|He had to quickly fetch his jacket before leaving.|er;musste;schnell;sein;Jacke;holen;bevor;er;gehen
606.0|der Junge|noun|boy|Der Junge spielte den ganzen Nachmittag im Garten.|The boy played in the garden all afternoon.|der;Junge;spielen;der;ganz;Nachmittag;in;Garten
607.0|sogenannt|adjective|so-called|"Die sogenannten ""Cloud-Services"" bieten viele Vorteile."|"The so-called ""cloud services"" offer many advantages."|der;sogenannter;Cloud-Service;bieten;vieler;Vorteil
608.0|die Polizei|noun|police|Die Polizei ist sofort zum Tatort gerufen worden.|The police were immediately called to the crime scene.|der;Polizei;sein;sofort;zu;Tatort;rufen;werden
609.0|die Chance|noun|chance|Er hatte nur eine Chance, den Wettkampf zu gewinnen.|He had only one chance to win the competition.|er;haben;nur;ein;Chance;der;Wettkampf;zu;gewinnen
610.0|gewiss|adjective|certain|Ich bin mir gewiss, dass wir die Deadline einhalten.|I’m certain we’ll meet the deadline.|ich;sein;sich;gewiss;dass;wir;der;Deadline;einhalten
611.0|innerhalb|preposition|within|Innerhalb von 24 Stunden müssen wir die Aufgabe abschließen.|Within 24 hours, we must complete the task.|innerhalb;von;24;Stunde;müssen;wir;der;Aufgabe;abschließen
612.0|die Kunst|noun|art|Moderne Kunst ist oft provokativ und überraschend.|Modern art is often provocative and surprising.|modern;Kunst;sein;oft;provokativ;und;überraschend
613.0|die Lage|noun|situation|Die Lage in der Stadt wurde immer angespannter.|The situation in the city became increasingly tense.|der;Lage;in;der;Stadt;werden;immer;angespannt
613.001|die Lage|noun|location|Die Lage des Hotels war perfekt für Touristen.|The location of the hotel was perfect for tourists.|der;Lage;der;Hotel;sein;perfekt;für;Tourist
614.0|der Schüler|noun|pupil|Der Schüler beantwortete alle Fragen richtig.|The pupil answered all the questions correctly.|der;Schüler;beantworten;aller;Frage;richtig
614.001|der Schüler|noun|student (USA)|Der Schüler präsentierte sein Projekt vor der Klasse.|The student presented his project to the class.|der;Schüler;präsentieren;sein;Projekt;vor;der;Klasse
615.0|gesamt|adjective|whole|Das gesamte Team war an der Lösung beteiligt.|The whole team was involved in the solution.|der;gesamt;Team;sein;an;der;Lösung;beteiligen
615.001|gesamt|adjective|entire|Der gesamte Prozess muss effizienter gestaltet werden.|The entire process needs to be made more efficient.|der;gesamt;Prozess;muss;effizient;gestalten;werden
616.0|der Druck|noun|pressure|Der Druck, gute Noten zu bekommen, war enorm.|The pressure to get good grades was enormous.|der;Druck;gut;Note;zu;bekommen;sein;enorm
616.001|der Druck|noun|printing|Der Druck der Zeitung erfolgt täglich früh.|The printing of the newspaper occurs early daily.|der;Druck;der;Zeitung;erfolgen;täglich;früh
617.0|verschwinden|verb|to disappear|Die Schrift auf dem Papier begann langsam zu verschwinden.|The writing on the paper slowly began to disappear.|der;Schrift;auf;der;Papier;beginnen;langsam;zu;verschwinden
618.0|wohnen|verb|to live|Er wohnt in einem kleinen Haus am Rand der Stadt.|He lives in a small house on the edge of the city.|er;wohnen;in;ein;klein;Haus;an;Rand;der;Stadt
619.0|bewegen|verb|to move|Er versuchte, das schwere Möbelstück zu bewegen.|He tried to move the heavy piece of furniture.|er;versuchen;der;schwer;Möbelstück;zu;bewegen
620.0|enthalten|verb|to contain|Das Paket enthält alles, was du für das Projekt brauchst.|The package contains everything you need for the project.|der;Paket;enthalten;alle;wer;du;für;der;Projekt;brauchen
621.0|aufnehmen|verb|to take in|Der Lehrer nahm die Anmerkungen der Schüler geduldig auf.|The teacher took in the students' comments patiently.|der;Lehrer;aufnehmen;der;Anmerkung;der;Schüler;geduldig;auf
621.001|aufnehmen|verb|to record|Der Musiker nahm das neue Album im Studio auf.|The musician recorded the new album in the studio.|der;Musiker;aufnehmen;der;neu;Album;in;Studio;auf
621.002|aufnehmen|verb|to include|Das Unternehmen wird neue Partnerschaften aufnehmen.|The company will include new partnerships.|der;Unternehmen;werden;neu;Partnerschaft;aufnehmen
622.0|die Kosten (pl)|noun|costs|Die Kosten für das Projekt überschreiten das Budget.|The costs of the project exceed the budget. |der;Kosten;für;der;Projekt;überschreiten;der;Budget
622.001|die Kosten (pl)|noun|expenses|Die Kosten für das Projekt überstiegen das Budget.|The expenses for the project exceeded the budget.|der;Kosten;für;der;Projekt;überstiegen;der;Budget
623.0|das Wintersemester|noun|winter semester|Im Wintersemester wird die neue Softwareversion eingeführt.|The new software version will be introduced in the winter semester.|in;Wintersemester;werden;der;neu;Softwareversion;einführen
624.0|merken|verb|to notice|Er hat nichts an seiner Umgebung gemerkt.|He noticed nothing about his surroundings.|er;haben;nichts;an;sein;Umgebung;merken
624.001|merken|verb|to remember|Es ist wichtig, sich die wichtigsten Fakten zu merken.|It’s important to remember the key facts.|es;sein;wichtig;sich;der;wichtig;Fakt;zu;merken
625.0|fest|adjective|firm|Der Boden unter meinen Füßen war fest und stabil.|The ground beneath my feet was firm and stable.|der;Boden;unter;mein;Fuß;sein;fest;und;stabil
625.001|fest|adjective|solid|Er hat eine fest entschlossene Meinung zu diesem Thema.|He has a solid opinion on this topic.|er;haben;ein;fest;entschlossen;Meinung;zu;dieser;Thema
625.002|fest|adjective|strong|Der Baum hat einen fest verankerten Stamm.|The tree has a strong anchored trunk.|der;Baum;haben;ein;fest;verankert;Stamm
625.003|fest|adjective|sturdy|Die Stühle im Garten sind sehr fest und bequem.|The chairs in the garden are very sturdy and comfortable.|der;Stuhl;in;Garten;sein;sehr;fest;und;bequem
625.004|fest|adjective|stable|Das Fundament des Gebäudes ist sehr fest und stabil.|The foundation of the building is very firm and stable.|der;Fundament;der;Gebäude;sein;sehr;fest;und;stabil
625.005|fest|adjective|firmly|Er hielt das Seil fest, um nicht zu fallen.|He held the rope firmly to avoid falling.|er;festhalten;der;Seil;fest;um;nicht;zu;fallen
626.0|aktuell|adjective|current|Die aktuellen Nachrichten sind sehr erschreckend.|The current news is very frightening.|der;aktuell;Nachricht;sein;sehr;erschreckend
626.001|aktuell|adjective|up-to-date|Die aktuellen Nachrichten waren sehr besorgniserregend.|The up-to-date news was very concerning.|der;aktuell;Nachricht;sein;sehr;besorgniserregend
627.0|der Begriff|noun|concept|Ein vertrauter Begriff wurde neu definiert.|A familiar concept was redefined.|ein;vertraut;Begriff;werden;neu;definieren
627.001|der Begriff|noun|idea|Der Begriff „Nachhaltigkeit“ wird immer wichtiger.|"The idea of ""sustainability"" is becoming more important."|der;Begriff;Nachhaltigkeit;werden;immer;wichtig
627.002|der Begriff|noun|term|Dieser Begriff ist schwer zu definieren.|This term is hard to define.|dieser;Begriff;sein;schwer;zu;definieren
628.0|erleben|verb|to experience|Sie konnten das aufregende Abenteuer hautnah erleben.|They could experience the thrilling adventure up close.|sie;können;der;aufregend;Abenteuer;hautnah;erleben
629.0|relativ|adjective|relative|Die Antwort war relativ einfach, wenn man genau hinsah.|The answer was relatively easy if you looked closely.|der;Antwort;sein;relativ;einfach;wenn;man;genau;hinsah
630.0|laut|preposition|according to|Laut dem Bericht steigen die Verkaufszahlen.|According to the report, sales are rising.|laut;der;Bericht;steigen;der;Verkaufszahl
631.0|der Fuß|noun|foot|Er trat mit seinem Fuß auf einen spitzen Stein.|He stepped on a sharp stone with his foot.|er;treten;mit;sein;Fuß;auf;ein;spitz;Stein
632.0|die Daten (pl)|noun|data|Die Daten zeigen einen signifikanten Zusammenhang.|The data show a significant correlation.|der;Datum;zeigen;ein;signifikant;Zusammenhang
633.0|der Krieg|noun|war|Der Krieg dauerte Jahre, aber die Hoffnung blieb immer.|The war lasted years, but hope remained strong.|der;Krieg;dauern;Jahr;aber;der;Hoffnung;bleiben;immer
634.0|der Gast|noun|guest|Der Gast war sehr freundlich und brachte ein Geschenk mit.|The guest was very friendly and brought a gift.|der;Gast;sein;sehr;freundlich;und;mitbringen;ein;Geschenk;mit
635.0|die Aussage|noun|statement|Die Aussage des Zeugen wurde genau überprüft.|The statement of the witness was thoroughly checked.|der;Aussage;der;Zeuge;werden;genau;überprüfen
636.0|das Gesetz|noun|law|Das Gesetz wurde letzte Woche verabschiedet.|The law was passed last week.|der;Gesetz;werden;letzter;Woche;verabschieden
637.0|planen|verb|to plan|Wir planen, nächstes Jahr nach Japan zu reisen.|We are planning to travel to Japan next year.|wir;planen;nächster;Jahr;nach;Japan;zu;reisen
638.0|schwierig|adjective|difficult|Das Problem war schwieriger als wir zunächst dachten.|The problem was more difficult than we initially thought.|der;Problem;sein;schwierig;als;wir;zunächst;dachten
638.001|schwierig|adjective|hard|Der Aufstieg auf den Gipfel war schwierig.|The climb to the summit was hard.|der;Aufstieg;auf;der;Gipfel;sein;schwierig
638.002|schwierig|adjective|tough|Die Prüfung war sehr schwierig, aber machbar.|The exam was very tough but doable.|der;Prüfung;sein;sehr;schwierig;aber;machbar
639.0|das Gut|noun|estate|Sie besitzt ein großes Gut auf dem Land.|She owns a large estate in the countryside.|sie;besitzen;ein;groß;Gut;auf;der;Land
639.001|das Gut|noun|good(s)|Das Unternehmen verkauft qualitativ hochwertige Güter.|The company sells high-quality goods.|der;Unternehmen;verkaufen;qualitativ;hochwertig;Gut
640.0|der Kilometer|noun|kilometer|Die nächste Stadt ist nur 10 Kilometer entfernt.|The next city is only 10 kilometers away.|der;nächster;Stadt;sein;nur;10;Kilometer;entfernt
641.0|zusätzlich|adjective|additional|Zusätzlich zu seiner Arbeit nahm er an einem Kurs teil.|In addition to his job, he attended a course.|zusätzlich;zu;sein;Arbeit;teilnehmen;er;an;ein;Kurs;teil
642.0|vergessen|verb|to forget|Ich habe leider vergessen, die E-Mail zu senden.|I unfortunately forgot to send the email.|ich;haben;leider;vergessen;der;E-Mail;zu;senden
643.0|der Gedanke|noun|thought|Der Gedanke an das Wochenende lässt mich lächeln.|The thought of the weekend makes me smile.|der;Gedanke;an;der;Wochenende;lässt;mich;lächeln
644.0|besitzen|verb|to own|Er besitzt mehrere Immobilien in der Stadt.|He owns several properties in the city.|er;besitzen;mehrere;Immobilie;in;der;Stadt
644.001|besitzen|verb|to have|Er besitzt ein kleines Ferienhaus am See.|He owns a small vacation home by the lake.|er;besitzen;ein;klein;Ferienhaus;an;See
645.0|ach|particle|oh|Ach, ich hätte fast vergessen, die E-Mail zu beantworten!|Oh, I almost forgot to reply to the email!|ach;ich;haben;fast;vergessen;der;E-Mail;zu;beantworten
646.0|die Partei|noun|(political) party|Die Partei hat ihre Position in der Wahl klar formuliert.|The party clearly stated its position in the election.|der;Partei;haben;ihr;Position;in;der;Wahl;klar;formulieren
647.0|freuen|verb|to be happy|Ich freue mich sehr auf das kommende Wochenende.|I’m really happy about the upcoming weekend.|ich;freuen;sich;sehr;auf;der;kommend;Wochenende
648.0|hängen|verb|to hang|Er wollte das Bild an die Wand hängen, doch der Nagel brach.|He wanted to hang the picture on the wall, but the nail broke.|er;wollen;der;Bild;an;der;Wand;hängen;doch;der;Nagel;brechen
649.0|berichten|verb|to report|Die Journalisten berichteten ausführlich über den Vorfall.|The journalists reported extensively on the incident.|der;Journalist;berichten;ausführlich;über;der;Vorfall
650.0|die Zelle|noun|cell|Die Zelle war klein, aber ausreichend für den Häftling.|The cell was small, but adequate for the prisoner.|der;Zelle;sein;klein;aber;ausreichend;für;der;Häftling
651.0|eng|adjective|narrow|Der Flur war so eng, dass man kaum passieren konnte.|The hallway was so narrow that you could barely pass.|der;Flur;sein;so;eng;dass;man;kaum;passieren;können
651.001|eng|adjective|close|Die beiden Länder haben enge Beziehungen.|The two countries have close relations.|der;beide;Land;haben;eng;Beziehung
652.0|die Kultur|noun|culture|Die Kultur des Landes ist sehr vielfältig und einzigartig.|The culture of the country is very diverse and unique.|der;Kultur;der;Land;sein;sehr;vielfältig;und;einzigartig
653.0|der Prozess|noun|trial|Der Prozess wird nächste Woche fortgesetzt.|The trial will continue next week.|der;Prozess;werden;nächster;Woche;fortsetzen
653.001|der Prozess|noun|process|Der Prozess der Datenverarbeitung ist sehr komplex.|The process of data processing is very complex.|der;Prozess;der;Datenverarbeitung;sein;sehr;komplex
654.0|der Sohn|noun|son|Der Sohn von Anna ist sehr talentiert im Zeichnen.|Anna’s son is very talented in drawing.|der;Sohn;von;Anna;sein;sehr;talentiert;in;Zeichnen
655.0|der Dank|noun|gratefulness|Sie drückte ihren Dank für die Hilfe aus.|She expressed her gratefulness for the help.|sie;ausdrücken;ihr;Dank;für;der;Hilfe;aus
656.0|trotz|preposition|in spite of|Trotz der Schwierigkeiten ging er weiter.|In spite of the difficulties, he kept going.|trotz;der;Schwierigkeit;weitergehen;er;weiter
657.0|fordern|verb|to demand|Die Gewerkschaften fordern bessere Arbeitsbedingungen.|The unions demand better working conditions.|der;Gewerkschaft;fordern;gut;Arbeitsbedingung
657.001|fordern|verb|to claim|Er fordert eine Entschädigung für den erlittenen Schaden.|He claims compensation for the damage suffered.|er;fordern;ein;Entschädigung;für;der;erlitten;Schaden
658.0|studieren|verb|to study|Sie studiert Medizin an der Universität.|She is studying medicine at the university.|sie;studieren;Medizin;an;der;Universität
659.0|gefallen|verb|to please|Das neue Design gefiel allen Anwesenden.|The new design pleased everyone present.|der;neu;Design;gefallen;aller;Anwesenden
660.0|das Mädchen|noun|girl|Das Mädchen trug ein rotes Kleid und lachte laut.|The girl wore a red dress and laughed loudly.|der;Mädchen;tragen;ein;rot;Kleid;und;lachen;laut
661.0|das Verhalten|noun|behavior|Das Verhalten der Zellen ändert sich bei Virusbefall.|The behavior of the cells changes with viral infection.|der;verhalten;der;Zelle;ändern;sich;bei;Virusbefall
662.0|verhalten|verb|to behave|Kinder sollten sich respektvoll verhalten.|Children should behave respectfully.|Kind;sollen;sich;respektvoll;verhalten
662.001|verhalten|verb|to act|Er verhält sich höflich zu den Vorgesetzten.|He behaves politely toward the superiors.|er;verhalten;sich;höflich;zu;der;vorgesetzter
663.0|mindestens|adverb|at least|Wir müssen mindestens fünfzig Teilnehmer haben.|We need at least fifty participants.|wir;müssen;mindestens;fünfzig;Teilnehmer;haben
664.0|ziemlich|adverb|quite|Es war ziemlich laut, aber ich konnte trotzdem schlafen.|It was quite loud, but I could still sleep.|es;sein;ziemlich;laut;aber;ich;können;trotzdem;schlafen
664.001|ziemlich|adverb|fairly|Er war ziemlich überrascht von der Nachricht.|He was fairly surprised by the news.|er;sein;ziemlich;überraschen;von;der;Nachricht
664.002|ziemlich|adverb|pretty|Die Aussicht von hier oben ist ziemlich beeindruckend.|The view from here is pretty impressive.|der;Aussicht;von;hier;oben;sein;ziemlich;beeindruckend
665.0|das Interesse|noun|interest|Sein Interesse an Geschichte ist ungebrochen.|His interest in history is unbroken.|sein;Interesse;an;Geschichte;sein;ungebrochen
666.0|unterscheiden|verb|to distinguish|Es ist schwer, die beiden Algorithmen zu unterscheiden.|It is hard to distinguish between the two algorithms.|es;sein;schwer;der;beide;Algorithme;zu;unterscheiden
667.0|wobei|adverb|whereby|Er erklärte die Schritte, wobei er oft Beispiele gab.|He explained the steps, whereby he often gave examples.|er;erklären;der;Schritt;wobei;er;oft;Beispiel;geben
667.001|wobei|adverb|at what|Er zeigte mir, wobei ich aufpassen muss.|He showed me at what I need to be careful.|er;zeigen;mir;wobei;ich;aufpassen;muss
667.002|wobei|adverb|while|Ich lese ein Buch, wobei ich den Film im Hintergrund höre.|I’m reading a book while listening to the movie in the background.|ich;lesen;ein;Buch;wobei;ich;der;Film;in;Hintergrund;hören
667.003|wobei|adverb|what ... by|Ich frage mich, wobei du so nachdenklich bist.|I wonder what you’re so thoughtful about.|ich;fragen;mich;wobei;du;so;nachdenklich;sein
667.004|wobei|adverb|about which|Es gab mehrere Projekte, wobei eines besonders herausstach.|There were several projects, about which one stood out particularly. |es;geben;mehrere;Projekt;wobei;einer;besonders;herausstichen
668.0|jeweils|adverb|each|Jeder Teilnehmer erhielt jeweils eine Urkunde.|Each participant received a certificate.|jeder;Teilnehmer;erhalten;jeweils;ein;Urkunde
668.001|jeweils|adverb|each time|Jeweils am Montag treffen wir uns im Büro.|We meet at the office each time on Monday.|jeweils;an;Montag;treffen;wir;sich;in;Büro
669.0|reichen|verb|to reach|Er reicht nach dem Lichtschalter an der Wand.|He reaches for the light switch on the wall.|er;reichen;nach;der;Lichtschalter;an;der;Wand
669.001|reichen|verb|to be enough|Ein kurzer Anruf reichte, um das Problem zu lösen.|A short call was enough to solve the problem.|ein;kurz;Anruf;reichen;um;der;Problem;zu;lösen
670.0|sieben|number|seven|Es sind noch sieben Tage bis zum Urlaub.|There are seven days left until the vacation.|es;sein;noch;sieben;Tag;bis;zu;Urlaub
671.0|zumindest|adverb|at least|Zumindest haben wir das Wichtigste erledigt.|At least we’ve done the most important thing.|zumindest;haben;wir;der;Wichtigste;erledigen
672.0|schlagen|verb|to hit|Er schlug den Ball mit voller Kraft ins Tor.|He hit the ball with full force into the goal.|er;schlagen;der;Ball;mit;voll;Kraft;in;Tor
672.001|schlagen|verb|to beat|Das Team schlug den Gegner mit einem klaren Vorsprung.|The team beat the opponent with a clear lead.|der;Team;schlagen;der;Gegner;mit;ein;klar;Vorsprung
673.0|das Tier|noun|animal|Das Tier sprang über den Zaun und rannte weg.|The animal jumped over the fence and ran away.|der;Tier;springen;über;der;Zaun;und;wegrannen;weg
674.0|jedenfalls|adverb|in any case|Wir müssen jedenfalls mit dem Projekt fortfahren.|We must proceed with the project in any case.|wir;müssen;jedenfalls;mit;der;Projekt;fortfahren
675.0|am|particle|the (superlative)|Das am meisten genutzte Lösungsmittel ist Wasser.|The most commonly used solvent is water.|der;am;meister;genutzt;Lösungsmittel;sein;Wasser
676.0|erhöhen|verb|to raise|Wir müssen den Preis erhöhen, um die Kosten zu decken.|We need to raise the price to cover the costs.|wir;müssen;der;Preis;erhöhen;um;der;Kosten;zu;decken
676.001|erhöhen|verb|to increase|Die Regierung plant, die Steuern zu erhöhen.|The government plans to increase taxes.|der;Regierung;planen;der;Steuer;zu;erhöhen
677.0|sorgen|verb|to worry|Ich sorge mich darum, wie das Projekt laufen wird.|I worry about how the project will turn out.|ich;sorgen;sich;darum;wie;der;Projekt;laufen;werden
677.001|sorgen|verb|to take care|Sie sorgt immer für ihre Pflanzen mit viel Liebe.|She always takes care of her plants with great love.|sie;sorgen;immer;für;ihr;Pflanze;mit;viel;Liebe
678.0|die Erfahrung|noun|experience|Seine Erfahrung in der Führung hat uns sehr geholfen.|His experience in management has helped us a lot.|sein;Erfahrung;in;der;Führung;haben;uns;sehr;helfen
679.0|der Patient|noun|patient|Der Patient benötigt sofortige medizinische Hilfe.|The patient needs immediate medical assistance.|der;Patient;benötigen;sofortig;medizinisch;Hilfe
680.0|morgens|adverb|in the morning|Ich trinke morgens immer eine Tasse Kaffee.|I always drink a cup of coffee in the morning.|ich;trinken;morgens;immer;ein;Tasse;Kaffee
681.0|der Morgen|noun|morning|Der Morgen war frisch und klar, ideal für einen Spaziergang.|The morning was fresh and clear, perfect for a walk.|der;Morgen;sein;frisch;und;klar;ideal;für;ein;Spaziergang
682.0|der Arzt|noun|physician|Der Arzt verschrieb ihm Medikamente zur Behandlung.|The physician prescribed him medication for treatment.|der;Arzt;verschrieb;ihm;Medikament;zu;Behandlung
682.001|der Arzt|noun|doctor|Der Arzt sagte, er müsse sich mehr ausruhen.|The doctor said he should rest more.|der;Arzt;sagen;er;müssen;sich;mehr;ausruhen
683.0|geschehen|verb|to happen|Etwas Unerwartetes ist während des Meetings geschehen.|Something unexpected happened during the meeting.|etwas;unerwartete;sein;während;der;Meeting;geschehen
683.001|geschehen|verb|to occur|Das Unheil geschah ohne jede Vorwarnung.|The calamity occurred without any warning.|der;Unheil;geschehen;ohne;jeder;Vorwarnung
684.0|Bayern|noun|Bavaria|Bayern hat sich als wichtiger Wirtschaftsstandort etabliert.|Bavaria has established itself as an important economic hub.|Bayern;haben;sich;als;wichtig;Wirtschaftsstandort;etablieren
685.0|lösen|verb|to solve|Wir müssen dieses Rätsel so schnell wie möglich lösen.|We need to solve this puzzle as quickly as possible.|wir;müssen;dieser;Rätsel;so;schnell;wie;möglich;lösen
685.001|lösen|verb|to loosen|Er löst die Schraube mit einem Werkzeug.|He loosens the screw with a tool.|er;lösen;der;Schraube;mit;ein;Werkzeug
686.0|irgendwie|adverb|somehow|Irgendwie gelang es ihm, die Situation zu lösen.|Somehow, he managed to solve the situation.|irgendwie;gelingen;es;ihm;der;Situation;zu;lösen
687.0|anbieten|verb|to offer|Der Laden bietet täglich frische Produkte an.|The store offers fresh products daily.|der;Laden;anbieten;täglich;frisch;Produkt;an
688.0|vorkommen|verb|to happen|Solche Unfälle kommen in dieser Gegend häufig vor.|Such accidents happen frequently in this area.|solcher;Unfall;vorkommen;in;dieser;Gegend;häufig;vor
688.001|vorkommen|verb|to occur|So eine Nachlässigkeit darf nie vorkommen.|Such negligence must never occur.|so;ein;Nachlässigkeit;dürfen;nie;vorkommen
688.002|vorkommen|verb|to seem|Das kann manchmal etwas seltsam vorkommen.|That can sometimes seem a bit strange.|der;können;manchmal;etwas;seltsam;vorkommen
689.0|okay|adjective|okay|Es ist okay, wenn du noch nicht bereit bist.|It’s okay if you’re not ready yet.|es;sein;okay;wenn;du;noch;nicht;bereit;sein
690.0|das Okay|noun|okay|Er gab uns das Okay, mit dem Projekt fortzufahren.|He gave us the okay to proceed with the project.|er;geben;uns;der;Okay;mit;der;Projekt;fortfahren
691.0|wünschen|verb|to want|Ich wünsche mir, dass wir bald wieder zusammenarbeiten.|I wish we could work together again soon.|ich;wünschen;sich;dass;wir;bald;wieder;zusammenarbeiten
