word_combination_de                    |word_combination_en                    |word_de                                                                          |speech_part                     |word_en                                                      |sentence_de                                                                                                            |sentence_en                                                                                                       |frequency_rank
bereits fertig                         |already finished                       |bereits                                                                          |adv                             |already                                                      |Du musst nicht noch einkaufen gehen, ich habe es bereits erledigt.                                                     |You don’t have to go shopping; I have already done it.                                                            |           170
es ist möglich                         |it is possible                         |möglich                                                                          |adj                             |possible                                                     |Ich besuche meine Eltern so oft wie möglich.                                                                           |I visit my parents as often as possible.                                                                          |           171
so schnell wie möglich                 |as fast as possible                    |möglich                                                                          |adv                             |as . . . as possible, if possible                            |Die Aufgabe soll möglichst schnell erledigt werden.                                                                    |The task should be completed as quickly as possible.                                                              |           171
zehn Prozent                           |ten percent                            |das Prozent, -e                                                                  |das                             |percent                                                      |Für Studenten kostet das Gericht 20 Prozent weniger.                                                                   |For students, the meal costs 20 percent less.                                                                     |           172
während der Reise                      |during the trip                        |während                                                                          |conj                            |while, whereas                                               |Luisa arbeitet, während er das Essen vorbereitet.                                                                      |Luisa is working while he is preparing the food.                                                                  |           173
während er spricht                     |while he speaks                        |während                                                                          |prep                            |during, while                                                |Während man isst, soll man nicht reden.                                                                                |You shouldn’t talk while you’re eating.                                                                           |           173
einige Freunde                         |some friends                           |einige                                                                           |pron                            |a few, some                                                  |Für einige Probleme haben wir bereits Lösungen, für andere noch nicht.                                                 |For some problems we already have solutions, for others not yet.                                                  |           174
dafür bin ich                          |I am for it                            |dafür                                                                            |pron                            |for it, for that                                             |Dafür musst du dich nicht entschuldigen.                                                                               |You don’t have to apologize for that.                                                                             |           175
kurz und knapp                         |short and concise                      |kurz                                                                             |adj                             |short                                                        |Der Film dauert nur eine Stunde, er ist sehr kurz.                                                                     |The film lasts only one hour; it is very short.                                                                   |           176
richtig gemacht                        |done right                             |richtig                                                                          |adj                             |correct, right                                               |Alle wissen die richtige Antwort.                                                                                      |Everybody knows the correct answer.                                                                               |           177
stark wie ein Löwe                     |strong as a lion                       |stark                                                                            |adj                             |strong                                                       |Herr Müller nimmt starke Schmerztabletten.                                                                             |Mr. Müller takes strong pain killers.                                                                             |           178
brauchen wir das                       |do we need that                        |brauchen, braucht, brauchte, hat gebraucht                                       |verb                            |to need                                                      |Brauchst du Hilfe?                                                                                                     |Do you need any help?                                                                                             |           179
die Hand ist sauber                    |the hand is clean                      |die Hand, -̈e                                                                     |die                             |hand                                                         |Ich schreibe mit meiner rechten Hand.                                                                                  |I write with my right hand.                                                                                       |           180
etwa zehn Minuten                      |about ten minutes                      |etwa                                                                             |adv                             |about, approximately                                         |Die Führung dauert etwa eine Stunde.                                                                                   |The tour lasts about one hour.                                                                                    |           181
etwa zu spät                           |after all, too late                    |etwa                                                                             |part                            |after all                                                    |Hat er etwa noch nicht angerufen?                                                                                      |He hasn’t called yet after all?                                                                                   |           181
weitere Informationen                  |further information                    |weitere (r, s)                                                                   |adj                             |additional, further                                          |Weitere Informationen finden Sie im Internet.                                                                          |Further information can be found on the internet.                                                                 |           182
das Ende ist nah                       |the end is near                        |das Ende, -n                                                                     |das                             |end                                                          |Das Ende des Romans ist wirklich spannend.                                                                             |The end of the novel is really exciting.                                                                          |           183
                                       |                                       |schreiben, schreibt, schrieb, hat geschrieben                                    |verb                            |to write                                                     |Er schreibt einen Brief an seine Freundin.                                                                             |He’s writing a letter to his girlfriend.                                                                          |           184
solche Sachen                          |such things                            |solch                                                                            |pron                            |such                                                         |Unter solchen Bedingungen kann ich nicht arbeiten.                                                                     |I can’t work in such conditions.                                                                                  |           185
nie wieder                             |never again                            |nie                                                                              |adv                             |never                                                        |Das hast du mir nie erzählt.                                                                                           |You never told me that.                                                                                           |           186
der Fall ist klar                      |the case is clear                      |der Fall, -̈e                                                                     |der                             |fall, case                                                   |Der Richter erklärt den Fall für geschlossen.                                                                          |The judge will close the case.                                                                                    |           187
schön und gut                          |beautiful and good                     |schön                                                                            |adj                             |beautiful, pleasant, good                                    |Von hier aus hat man einen schönen Blick auf die Stadt.                                                                |From here you have a beautiful view of the city.                                                                  |           188
                                       |                                       |wirklich                                                                         |adj                             |real, actual                                                 |Sein Besuch ist eine wirkliche Überraschung.                                                                           |His visit is a real surprise.                                                                                     |           189
                                       |                                       |wirklich                                                                         |adv                             |really, actually                                             |Ich mag dich wirklich gern.                                                                                            |I really like you.                                                                                                |           189
                                       |                                       |denen                                                                            |pron                            |whom, that                                                   |Das sind Klara und Lisa, mit denen ich zusammen in einer Wohnung lebe.                                                 |This is Klara and Lisa, with whom I live in an apartment.                                                         |           190
                                       |                                       |nennen, nennt, nannte, hat genannt                                               |verb                            |to name, call                                                |Mein Freund heißt Alexander, aber alle nennen ihn Alex.                                                                |My friend’s name ist Alexander, but everybody calls him Alex.                                                     |           191
Warum nicht?                           |Why not?                               |warum                                                                            |adv                             |why                                                          |Warum hast du mich angerufen?                                                                                          |Why did you call me?                                                                                              |           192
                                       |                                       |ziehen, zieht, zog, hat gezogen                                                  |verb                            |to pull, move                                                |Man muss an der Tür ziehen, um sie zu öffnen.                                                                          |You have to pull on the door to open it.                                                                          |           193
das Wort des Tages                     |the word of the day                    |das Wort, -̈er                                                                    |das                             |word                                                         |Ich verstehe kein Wort.                                                                                                |I can’t understand a word.                                                                                        |           194
darauf kommt es an                     |it depends on it                       |darauf, drauf                                                                    |pron                            |on it, to it                                                 |Das Geschenk ist offensichtlich für Marlene, ihr Name steht darauf.                                                    |This gift’s clearly for Marlene; it has her name on it.                                                           |           195
eben jetzt                             |just now                               |eben, ebend                                                                      |adv                             |just, now                                                    |Ich versuche, ihn eben auf dem Handy zu erreichen.                                                                     |I am just trying to reach him on his mobile phone.                                                                |           196
das kann man eben nicht ändern         |there's nothing you can do about it    |eben, ebend                                                                      |part                            |                                                             |Das kann man eben nicht ändern.                                                                                        |There’s nothing you can do about it.                                                                              |           196
die Seite ist leer                     |the page is empty                      |die Seite, -n                                                                    |die                             |side, page                                                   |Das Buch hat 300 Seiten.                                                                                               |The book has 300 pages.                                                                                           |           197
das Teil ist kaputt                    |the part is broken                     |das Teil, -e                                                                     |der, das                        |part                                                         |Die Ausstellung besteht aus drei Teilen.                                                                               |The exhibition consists of three parts.                                                                           |           198
jung und frei                          |young and free                         |jung                                                                             |adj                             |young                                                        |Sie war noch jung, als sie Kinder bekam.                                                                               |She was still young when she had children.                                                                        |           199
vier Jahre alt                         |four years old                         |vier                                                                             |num                             |four                                                         |Oma hat vier Hunde.                                                                                                    |Grandma has four dogs.                                                                                            |           200
besser als je zuvor                    |better than ever                       |besser                                                                           |adj                             |better                                                       |Kevin kann besser schwimmen als sein Bruder.                                                                           |Kevin swims better than his brother.                                                                              |           201
fast fertig                            |almost done                            |fast                                                                             |adv                             |almost                                                       |Ich hätte fast den Bus verpasst.                                                                                       |I almost missed the bus.                                                                                          |           202
schnell und einfach                    |fast and easy                          |schnell                                                                          |adj                             |fast                                                         |Mario kann sehr schnell rennen.                                                                                        |Mario can run very fast.                                                                                          |           203
die Stadt schläft                      |the city sleeps                        |die Stadt, -̈e                                                                    |die                             |city, town                                                   |London, Paris und Berlin sind große Städte.                                                                            |London, Paris, and Berlin are big cities.                                                                         |           204
spielen wir                            |let's play                             |spielen, spielt, spielte, hat gespielt                                           |verb                            |to play                                                      |Die Kinder spielen im Garten.                                                                                          |The children are playing in the garden.                                                                           |           205
zwar nicht                             |admittedly not                         |zwar                                                                             |adv                             |admittedly, to be precise                                    |Wir kommen am Nachmittag an, und zwar um 14:37 Uhr.                                                                    |We’ll arrive in the afternoon, at 2:37 pm to be precise.                                                          |           206
ein Euro                               |one euro                               |der Euro, -s                                                                     |der                             |euro (unit of currency)                                      |In fast allen Ländern der EU kann man mit Euro bezahlen.                                                               |In almost all EU countries you can pay in euros.                                                                  |           207
die Arbeit ist schwer                  |the work is hard                       |die Arbeit, -en                                                                  |die                             |work                                                         |Es liegt noch viel Arbeit vor uns.                                                                                     |We still have a lot of work ahead of us.                                                                          |           208
eine Million                           |one million                            |Million, Mio.                                                                    |die                             |million                                                      |Die Stadt Tokio hat ca. 35 Millionen Einwohner.                                                                        |The city of Tokyo has about 35 million inhabitants.                                                               |           209
das Problem ist gelöst                 |the problem is solved                  |das Problem, -e                                                                  |das                             |problem                                                      |Sie müssen das Problem so schnell wie möglich lösen.                                                                   |You have to solve the problem as fast as possible.                                                                |           210
verstehen, was gesagt wird             |to understand what is being said       |verstehen, versteht, verstand, hat verstanden                                    |verb                            |to understand                                                |Rede bitte etwas lauter, ich kann dich nicht verstehen.                                                                |Please speak a little louder, I can’t understand you.                                                             |           211
bekommen, was man braucht              |to get what one needs                  |bekommen, bekommt, bekam, hat bekommen                                           |verb                            |to get, receive                                              |Natascha bekommt ein Fahrrad zu ihrem Geburtstag.                                                                      |Natascha is getting a bike for her birthday.                                                                      |           212
meinen, was richtig ist                |to think what is right                 |meinen, meint, meinte, hat gemeint                                               |verb                            |to think, have an opinion                                    |Was meinen Sie dazu?                                                                                                   |What do you think?                                                                                                |           213
davon weiß ich nichts                  |I know nothing about it                |davon                                                                            |pron                            |from it, about it, thereof                                   |Davon wissen wir nichts.                                                                                               |We don’t know anything about that.                                                                                |           214
fahren in die Stadt                    |to drive into the city                 |fahren, fährt, fuhr, ist gefahren                                                |verb                            |to drive, ride, go                                           |Christine fährt mit dem Zug nach Amsterdam.                                                                            |Christine’s taking the train to Amsterdam.                                                                        |           215
kennen die Wahrheit                    |to know the truth                      |kennen, kennt, kannte, hat gekannt                                               |verb                            |to know                                                      |Wir kennen uns schon lange.                                                                                            |We’ve known each other for a long time.                                                                           |           216
dich zu sehen                          |to see you                             |dich                                                                             |pron                            |you, yourself                                                |Ich hole dich gleich ab.                                                                                               |I’ll pick you up in a moment.                                                                                     |           217
die Mutter ist liebevoll               |the mother is loving                   |die Mutter, -̈                                                                    |die                             |mother                                                       |Meine Mutter ist eine starke Frau.                                                                                     |My mother is a strong woman.                                                                                      |           218
die Woche ist vorbei                   |the week is over                       |die Woche, -n                                                                    |die                             |week                                                         |Eine Woche hat sieben Tage.                                                                                            |A week has seven days.                                                                                            |           219
der Weg ist lang                       |the path is long                       |der Weg, -e                                                                      |der                             |path, way                                                    |Der Weg entlang des Flusses ist sehr schön.                                                                            |The path along the river is very beautiful.                                                                       |           220
weiter so                              |keep going                             |weiter                                                                           |adv                             |further                                                      |Weitere Informationen zu diesem Thema stehen im Internet.                                                              |Further information on this topic is available on the internet.                                                   |           221
das Auge sieht alles                   |the eye sees everything                |das Auge, -n                                                                     |das                             |eye                                                          |Er hat schöne blaue Augen.                                                                                             |He has beautiful blue eyes.                                                                                       |           222
oft unterwegs                          |often on the road                      |oft                                                                              |adv                             |often                                                        |Sie besucht ihre Oma oft.                                                                                              |She visits her grandma often.                                                                                     |           223
die Leute kommen und gehen             |people come and go                     |Leute                                                                            |die (pl)                        |people                                                       |Ich treffe auf der Party viele nette Leute.                                                                            |I meet a lot of nice people at the party.                                                                         |           224
                                       |                                       |allerdings                                                                       |adv                             |though, indeed, certainly                                    |Das ist allerdings eine interessante Frage.                                                                            |That is certainly an interesting question.                                                                        |           225
sogar besser als vorher                |even better than before                |sogar                                                                            |adv                             |even, in fact                                                |Sogar du kannst die Welt ein bisschen verbessern!                                                                      |Even you can make the world a little better!                                                                      |           226
jedoch ist es schwierig                |however, it is difficult               |jedoch                                                                           |adv                             |however                                                      |Mütter haben viel Kraft, können jedoch nicht alles allein schaffen.                                                    |Mothers have a lot of strength; however, they can’t do everything on their own.                                   |           227
                                       |                                       |setzen, setzt, setzte, hat gesetzt                                               |verb                            |to set, place, put                                           |Er setzt das Kind auf den Stuhl.                                                                                       |He puts the child in the chair.                                                                                   |           228
                                       |                                       |setzen, setzt, setzte, hat gesetzt                                               |verb                            |to sit down                                                  |Bitte setzen Sie sich.                                                                                                 |Please sit down.                                                                                                  |           228
deshalb bin ich hier                   |therefore I am here                    |deshalb                                                                          |adv                             |therefore                                                    |Es gibt bald Regen, deshalb sollten wir ins Haus gehen.                                                                |It’s going to rain; therefore, we should go into the house.                                                       |           229
weit entfernt                          |far away                               |weit                                                                             |adj                             |widely, far                                                  |Ich möchte später weit weg ziehen.                                                                                     |Someday I want to move somewhere far away.                                                                        |           230
sitzen im Garten                       |to sit in the garden                   |sitzen, sitzt, saß, hat gesessen                                                 |verb                            |to sit                                                       |Auf dem Boden sitzt ein schwarzer Hund.                                                                                |There’s a black dog sitting on the floor.                                                                         |           231
der Vater arbeitet hart                |the father works hard                  |der Vater, -̈                                                                     |der                             |father                                                       |Weil seine Freundin ein Baby bekommt, wird Timo endlich Vater.                                                         |Because his girlfriend is having a baby, Timo is finally becoming a father.                                       |           232
Dein Hund ist süß.                     |Your dog is cute.                      |dein                                                                             |pron                            |your                                                         |Dein Handy klingelt.                                                                                                   |Your cell’s ringing.                                                                                              |           233
                                       |                                       |arbeiten, arbeitet, arbeitete, hat gearbeitet                                    |verb                            |to work                                                      |Marlene arbeitet in einem Krankenhaus.                                                                                 |Marlene works in a hospital.                                                                                      |           234
das Geld ist knapp                     |money is tight                         |das Geld, -er                                                                    |das                             |money                                                        |Du gibst viel Geld aus.                                                                                                |You spend a lot of money.                                                                                         |           235
das Unternehmen wächst                 |the company is growing                 |das Unternehmen, -                                                               |das                             |enterprise, company                                          |Ich gründe mein eigenes Unternehmen.                                                                                   |I am starting my own company.                                                                                     |           236
nächste Woche                          |next week                              |nächste (r, s)                                                                   |adj                             |next                                                         |Nächste Woche gehen wir schwimmen.                                                                                     |Next week we’re going swimming.                                                                                   |           237
                                       |                                       |erklären, erklärt, erklärte, hat erklärt                                         |verb                            |to explain                                                   |Max erklärt mir komplizierte Dinge.                                                                                    |Max explains complicated things to me.                                                                            |           238
klar und deutlich                      |clear and distinct                     |klar                                                                             |adj                             |clear                                                        |Das Wasser ist sehr klar.                                                                                              |The water is very clear.                                                                                          |           239
der Doktor ist hier                    |the doctor is here                     |der Doktor, -en (Dr.)                                                            |der                             |doctor                                                       |Wenn ich Schmerzen habe, gehe ich zu einem Doktor.                                                                     |Whenever I’m in pain, I go to a doctor.                                                                           |           240
ein Paar Schuhe                        |a pair of shoes                        |das Paar, -e                                                                     |das                             |pair, couple                                                 |Zwei Schuhe machen ein Paar.                                                                                           |Two shoes make a pair.                                                                                            |           241
ein paar Minuten                       |a few minutes                          |das Paar, -e                                                                     |pron                            |a few                                                        |Wir brauchen dafür nur ein paar Minuten.                                                                               |We only need a few minutes for that.                                                                              |           241
alles Recht                            |all right                              |das Recht, -e                                                                    |adj                             |all right                                                    |Deine Idee ist mir recht.                                                                                              |I’m fine with your idea.                                                                                          |           242
das Recht und das Gesetz               |right and law                          |das Recht, -e                                                                    |das                             |right, law                                                   |Menschen haben Rechte.                                                                                                 |People have rights.                                                                                               |           242
recht schön                            |rather beautiful                       |das Recht, -e                                                                    |part                            |rather, quite                                                |Das Zimmer ist recht klein.                                                                                            |The room is quite small.                                                                                          |           242
wegen des Wetters                      |because of the weather                 |wegen                                                                            |prep                            |because of                                                   |Ich mag dich wegen deiner Augen.                                                                                       |I like you because of your eyes.                                                                                  |           243
dir geht es gut                        |you are well                           |dir                                                                              |pron                            |you                                                          |Ich möchte dir ein besonderes Geschenk kaufen, was wünschst du dir?                                                    |I want to buy you a special gift, what do you wish for?                                                           |           244
das Wasser ist kalt                    |the water is cold                      |das Wasser, -                                                                    |das                             |water                                                        |Ich trinke nur Wasser.                                                                                                 |I only drink water.                                                                                               |           245
bestehen auf der Wahrheit              |to insist on the truth                 |bestehen, besteht, bestand, hat bestanden                                        |verb                            |to exist, insist, pass (an exam)                             |Hoffentlich besteht Anja die Prüfung.                                                                                  |Hopefully Anja passes the exam.                                                                                   |           246
                                       |                                       |versuchen, versucht, versuchte, hat versucht                                     |verb                            |to try, attempt                                              |Ich versuche, die Prüfung zu bestehen.                                                                                 |I’m trying to pass the exam.                                                                                      |           247
der Punkt ist wichtig                  |the point is important                 |der Punkt, -e                                                                    |der                             |dot, point, period                                           |Am Ende eines Satzes ist ein Punkt.                                                                                    |At the end of a sentence is a period.                                                                             |           248
der Grund ist unbekannt                |the reason is unknown                  |der Grund, -̈e                                                                    |der                             |reason, basis                                                |Es gibt mehrere Gründe für einen Streit.                                                                               |There are several reasons for a dispute.                                                                          |           249
