#frequency_rank|word_de|part_of_speech|word_en|sentence_de|sentence_en
703|die Vorlesung, -en|die|lecture|Viele Studenten besuchen die Vorlesung von Professor Tschirner.|Many students attend Professor Tschirner’s lecture.
704|zählen, zählt, zählte, hat gezählt|verb|to count|Laura kann auf Spanisch bis 100 zählen.|Laura can count to 100 in Spanish.
705|meist|adv|mostly, usually|An einem Sonntag schläft Max meist bis 13 Uhr.|On a Sunday Max usually sleeps until 1 pm.
706|dunkel|adj|dark|In der Nacht ist es dunkel, am Morgen ist es hell.|It’s dark at night and light in the morning.
707|Österreich|das|Austria|Auch in Österreich spricht man Deutsch.|They also speak German in Austria.
708|das Modell, -e|das|model|Ich kaufe mir ein neues Auto, weil mir das neue Modell besser gefällt.|I’m buying a new car because I like the new model better.
709|die Bewegung, -en|die|movement, motion|Du brauchst Bewegung, wenn du Gewicht verlieren und gesund leben willst.|You need movement if you want to lose weight and have a healthy life.
710|unten|adv|down|Willi bringt das Fahrrad nach unten in den Keller.|Willi takes the bike down to the cellar.
711|die Mitte, -n|die|middle|Anita steht zwischen Sven und Torben, genau in der Mitte.|Anita stands between Sven and Torben, right in the middle.
712|hin|adv|there|Aus dem Fenster zur Straße hin sieht man das Schloss.|From the window to the street there you can see the castle.
713|aufgrund|prep|on the basis of, because of|Aufgrund der vielen Fehler besteht Kelly die Prüfung nicht.|Because of the many mistakes Kelly does not pass the test.
714|beschäftigen, beschäftigt, beschäftigte, hat beschäftigt|verb|to employ, be busy, deal with|Die Firma meines Onkels beschäftigt über 2.000 Menschen.|My uncle’s company employs two 2,000 people.
715|zuvor|adv|previously, before|Elena und Stephan ziehen in ein neues Haus, nachdem sie es zuvor gekauft haben.|Elena and Stephan move into a new house after having bought it previously.
716|miteinander|adv|with each other|Wenn die Kollegen miteinander arbeiten, können sie mehr schaffen.|When colleagues work with each other, they can accomplish more.
717|dennoch|adv|nevertheless|Ich lerne viel für die Prüfung, dennoch bestehe ich sie vielleicht nicht.|I’m studying a lot for the exam, nevertheless I might not pass it.
718|werfen, wirft, warf, hat geworfen|verb|to throw|Thomas wirft Steine an ihr Fenster.|Thomas throws stones at her window.
719|das Angebot, -e|das|offer, supply|Der Laden hat ein großes Angebot an frischen Produkten.|The shop has a large supply of fresh products.
720|das Projekt, -e|das|project|Das Projekt für die neue Bibliothek geht schnell voran.|The project for the new library is progressing rapidly.
721|verkaufen, verkauft, verkaufte, hat verkauft|verb|to sell|Hildegart verkauft auf dem Markt frische Eier.|Hildegart sells fresh eggs at the market.
722|reagieren, reagiert, reagierte, hat reagiert|verb|to react|Mario reagiert wütend, als er von dem Ergebnis des Spiels erfährt.|Mario reacts angrily when he hears about the result of the game.
723|der Autor, -en|der|author|Johann Wolfgang von Goethe ist der Autor vieler Gedichte und Erzählungen.|Johann Wolfgang von Goethe is the author of many poems and stories.
724|kriegen, kriegt, kriegte, hat gekriegt|verb|to get, receive|Das Restaurant kriegt positive Bewertungen von seinen Gästen.|The restaurant gets positive ratings from its guests.
725|zirka, ca.|adv|approximately|Die Brücke ist zirka 102 Meter lang.|The bridge is approximately 102 meters long.
726|EU (Europäische Union)|die|EU|Die EU ist ein Bund aus mehreren Staaten.|The EU is a federation of multiple states.
727|die Größe, -n|die|size, height|Steffen hat in Schuhen die Größe 43.|Steffen wears size 43 shoes.
728|hart|adj|hard|Er wirft mir einen harten Stein an den Kopf.|He’s throwing a hard rock at my head.
729|offenbar|adj|apparent|Ich warte seit einer Stunde auf Thomas, offenbar kommt er nicht mehr.|I’ve been waiting for Thomas for an hour, apparently he’s not coming.
730|der Bruder, -̈|der|brother|Friedrich hat einen großen Bruder namens Marco.|Friedrich has a big brother named Marco.
731|beteiligen, beteiligt, beteiligte, hat beteiligt|verb|to participate, contribute|Ich beteilige mich mit fünf Euro an dem Geschenk.|I will contribute five euros to the gift.
732|die Phase, -n|die|phase|Während einer Entwicklung gibt es unterschiedliche Phasen.|During a development there are different phases.
733|angeben, gibt an, gab an, hat angegeben|verb|to claim, declare, show off|Er gibt an, regelmäßig Sport zu machen.|He claims to do sport regularly.
734|die Reise, -n|die|journey, trip|Im März unternehmen Ann-Katrin und Dominik eine Reise nach Thailand.|In March Ann-Katrin and Dominik will make a journey to Thailand.
735|erfolgreich|adj|successful|Er ist ein erfolgreicher Autor, viele Menschen lesen seine Bücher.|He is a successful author; many people read his books.
736|der Zustand, -̈e|der|condition, state|Der Patient ist in einem schlechten Zustand.|The patient’s in bad condition.
737|wahr|adj|true|Die Aussage ist wahr, wenn man sie beweisen kann.|The statement is true if you can prove it.
738|die Reihe, -n|die|row, line|Lisa sitzt in der Vorlesung immer in der ersten Reihe.|Lisa always sits in the front row in the lecture.
739|die Natur, -en|die|nature|Das Dorf in den Bergen ist von viel Natur umgeben.|The village in the mountains is surrounded by nature.
740|rechnen, rechnet, rechnete, hat gerechnet|verb|to calculate, compute|In der Schule rechnen wir in Mathematik viele Aufgaben.|In school we compute many math problems.
741|bloß|adj|bare, mere|Ihre bloße Anwesenheit macht mich nervös.|Her mere presence makes me nervous.
741|bloß|adv|only, simply, just|Ich denke bloß an meine Prüfungen.|I’m just thinking about my exams.
742|notwendig|adj|necessary|Geld ist notwendig für ein angenehmes Leben.|Money is necessary for a comfortable life.
743|entdecken, entdeckt, entdeckte, hat entdeckt|verb|to discover|Dominik beobachtet Tiere und entdeckt dabei eine neue Art.|Dominik observes animals and discovers a new species.
744|dauern, dauert, dauerte, hat gedauert|verb|to last, take (time)|Der Film dauert 120 Minuten.|The film lasts 120 minutes.
745|wirtschaftlich|adj|economic, financial|Aus wirtschaftlichen Gründen ist es besser, Strom durch Wind zu erzeugen.|For economic reasons it is better to generate electricity from wind.
746|privat|adj|private|Das ist eine private Angelegenheit.|This is a private matter.
747|modern|adj|modern|Die Touristen gehen gerne in das Museum für moderne Kunst.|The tourists like to go to the Museum of Modern Art.
748|das Haar, -e|das|hair|Ich wasche meine Haare täglich.|I wash my hair every day.
749|deswegen|adv|therefore, that’s why|Janosch ist krank und bleibt deswegen heute zu Hause im Bett.|Janosch is ill and therefore stays at home in bed today.
750|spüren, spürt, spürte, hat gespürt|verb|to sense, notice, feel|Ich spüre die kalte Luft auf meiner Haut.|I can feel the cold air on my skin.
751|unabhängig|adj|independent|Serbien ist seit 2008 ein unabhängiger Staat.|Serbia has been an independent state since 2008.
752|morgen|adv|tomorrow|Heute bleibe ich im Bett und morgen gehe ich arbeiten.|Today I’ll stay in bed and tomorrow I’ll go to work.
753|der Rahmen, -|der|frame, framework|Meine Mutter kauft einen schönen Rahmen für das Foto.|My mother buys a nice frame for the photo.
754|übrigens|adv|by the way|Übrigens bleibt Florian doch in Deutschland.|By the way, Florian is actually staying in Germany.
755|die Einheit, -en|die|unity, unit, entity|Seit dem 3. Oktorber 1990 ist Deutschland wieder eine Einheit.|Since October 3, 1990, Germany has become a single entity again.
756|überall|adv|everywhere|In der Stadt sieht man zu dieser Zeit überall Touristen.|In the city you see tourists everywhere at this time.
757|feststellen, stellt fest, stellte fest, hat festgestellt|verb|to establish, detect, determine|Die Ärzte stellen fest, dass die Krankheit organische Ursachen hat.|The doctors determine that the disease has organic causes.
758|der Stoff, -e|der|material, substance, fabric|Die Hose besteht aus einem weichen Stoff.|The trousers are made of soft fabric.
759|die Rede, -n|die|speech, talk|Der Präsident hält eine Rede zur aktuellen Lage der Wirtschaft.|The president gives a speech on the current economic situation.
760|unterstützen, unterstützt, unterstützte, hat unterstützt|verb|to support|Viele Eltern unterstützen ihre Kinder während des Studiums finanziell.|Many parents support their children financially during their studies.
761|chemisch|adj|chemical|Hinter der Entwicklung von Fotos steckt ein chemischer Prozess.|The development of photos is a chemical process.
762|schlimm|adj|bad, serious|Es ist schlimm für die Familie, dass der Vater tot ist.|It’s bad for the family that the father is dead.
762|schlimm|adj|worse|Nach der Operation sind die Schmerzen schlimmer als davor.|After the surgery, the pain is worse than before.
763|die Schweiz, -en|die|Switzerland|In der Schweiz spricht man insgesamt vier offizielle Sprachen.|Switzerland has a total of four official languages.
764|irgendwann|adv|sometime, some day|Max träumt davon, irgendwann ein Restaurant zu eröffnen.|Max dreams of opening a restaurant some day.
765|das Geschäft, -e|das|business, shop|In der Stadt öffnet ein Geschäft für Schuhe.|In the city a shoe shop is opening.
766|weder|conj|neither . . . nor|Frederik hat weder die Zeit noch das Geld für einen Urlaub.|Frederik has neither the time nor the money for a vacation.
767|der Anteil, -e|der|share, portion|Der Chef gibt die Anteile seiner Firma an seinen Sohn.|The boss gives the shares of his company to his son.
768|die Angabe, -n|die|information, statement|In dieses Feld musst du deine persönlichen Angaben eintragen.|In this field you have to enter your personal information.
769|das Team, -s|das|team|Das Team trainiert täglich für das Spiel am Samstag.|The team trains daily for the match on Saturday.
770|außer|prep|except, apart from|Außer an den Wochenenden ist Helen immer im Büro.|Helen’s always in the office except on weekends.
771|der Sommer, -|der|summer|Im Sommer ist es warm, weil oft die Sonne scheint.|In summer it is warm, because the sun often shines.
772|das Hotel, -s|das|hotel|Das Hotel Adlon ist ein bekanntes Hotel in Berlin.|Hotel Adlon is a well-known hotel in Berlin.
773|laut|adj|loud|Meiner Meinung nach ist die Musik zu laut.|In my opinion, the music is too loud.
774|eins|num|one|Die Schule endet um eins.|School ends at one.
775|der Alter|das|age|Obwohl sie schon 80 Jahre alt ist, sieht man ihr ihr Alter nicht an.|Although she’s already 80 years old, she doesn’t look her age.
776|die Sicherheit, -en|die|security, safety|Moderne Flugzeuge bieten einen hohen Standard an Sicherheit.|Modern airplanes provide a high standard of safety.
777|SPD (Sozialdemokratische Partei Deutschlands)|die|SPD|Die SPD will ein neues Gesetz einführen.|The SPD wants to introduce a new law.
778|niedrig|adj|low, base|Du kannst dir leicht den Kopf stoßen, weil die Decke hier sehr niedrig ist.|You can bump your head easily because the ceiling here is very low.
779|ständig|adj|constant|Der Fernseher ist ständig an, weil ich mich sonst alleine fühle.|The television is on constantly, because otherwise I feel alone.
780|der Einsatz, -̈e|der|insert, use, application, assignment|Die Polizei ist seit drei Stunden im Einsatz.|The police have been on assignment for three hours.
781|liefern, liefert, lieferte, hat geliefert|verb|to deliver, supply|Die Post liefert mir einen Brief.|The post office is delivering a letter to me.
782|betonen, betont, betonte, hat betont|verb|to stress|Bei dem Wort “Sommer” solltest du die erste Silbe betonen.|In the word “Sommer” you should emphasize the first syllable.
783|die Erde, -n|die|earth, ground, soil|Die Erde wird auch blauer Planet genannt.|Earth is also called the blue planet.
784|die Studie, -n|die|study|Laut einer Studie ist der Virus sehr gefährlich.|According to a study, this virus is very dangerous.
785|vorne, vorn|adv|at/to the front|Nach dem Unfall ist vorne am Auto ein Schaden.|There’s some damage to the front of the car after the accident.
786|rechte (r, s)|adj|right|In Deutschland muss man auf der rechten Seite der Straße fahren.|In Germany you have to drive on the right side of the road.
787|die Meinung, -en|die|opinion|Ich würde gern deine Meinung dazu hören.|I’d like to hear your opinion on this.
788|drehen, dreht, drehte, hat gedreht|verb|to turn|Sie dreht ihr Gesicht zur Sonne.|She’s turning her face to the sun.
789|der Künstler, -|der|artist|Die Künstlerin zeigt ihre Bilder in der neuen Ausstellung.|The artist shows her paintings in the new exhibition.
790|aktiv|adj|active|Alte Menschen sollten aktiv bleiben.|Old people should stay active.
791|der Versuch, -e|der|attempt, experiment|Louis besteht die Prüfung im letzten Versuch.|Louis passes the exam on his last attempt.
792|somit|adv|consequently, therefore|Ihre Kollegen sprechen kein Englisch und somit muss sie ihr Deutsch verbessern.|Her colleagues don’t speak English and consequently she has to improve her German.
793|bezahlen, bezahlt, bezahlte, hat bezahlt|verb|to pay|Wie viel hast du bezahlt?|How much did you pay?
794|die Eigenschaft, -en|die|quality|Matthias hat viele gute Eigenschaften.|Matthias has many good qualities.
795|längst|adv|long since, a long time ago|Thomas hat sein Studium schon längst beendet und arbeitet seit mehreren Jahren.|Thomas has long since finished his studies and has been working for a number of years.
796|die Methode, -n|die|method|Wir nutzen unterschiedliche Methoden zum Lernen von Sprachen.|We use different methods for language learning.
797|die Ordnung, -en|die|order, tidiness|Anneliese kümmert sich um Ordnung in ihrer Wohnung.|Anneliese takes care of the tidiness of her apartment.
798|Russland|das|Russia|Moskau ist die Hauptstadt von Russland.|Moscow is the capital of Russia.
799|die Wahl, -en|die|choice, election|Viele Frauen müssen eine Wahl zwischen Beruf und Familie treffen.|Many women have to make a choice between work and family.
800|daraus|pron|from it|Dennoch kannst du daraus etwas lernen.|Nevertheless, you can learn something from this.
801|erfüllen, erfüllt, erfüllte, hat erfüllt|verb|to grant, fulfill|Thomas erfüllt alle ihre Erwartungen.|Thomas fulfills all their expectations.
802|die Mama, -s|die|mommy|Du musst erst deine Mama fragen.|You have to ask your mom first.
803|die Region, -en|die|region|Die Region ist berühmt für ihren Wein.|The region is famous for its wine.
804|der Sonntag, -e|der|Sunday|Sonntag ist mein einziger freier Tag in der Woche.|Sunday is my only day off during the week.
805|das Internet|das|internet|Sie verbringt viele Stunden am Computer und sucht nach Wohnungen im Internet.|She spends many hours at the computer and searches for apartments on the internet.
806|die Nummer, -n|die|number|Ich kann ihn nicht anrufen, weil ich seine Nummer nicht habe.|I can’t call him because I don’t have his number.
807|lächeln, lächelt, lächelte, hat gelächelt|das|smile|Das Lächeln von Ute ist sehr schön.|Ute’s smile is very beautiful.
807|lächeln, lächelt, lächelte, hat gelächelt|verb|to smile|Alle Kinder lächeln auf dem Foto, weil sie sich freuen.|All the children smile in the photo because they are happy.
808|genauso|adv|just as|Mit dem Zug dauert es genauso lange wie mit dem Bus.|It takes just as long by train as by bus.
809|überzeugen, überzeugt, überzeugte, hat überzeugt|verb|to convince|Tina überzeugt ihren Chef von ihrer Idee.|Tina convinces her boss of her idea.
810|interessant|adj|interesting|Sie arbeiten an einem interessanten Projekt.|They’re working on an interesting project.
811|menschlich|adj|human|Das menschliche Gehirn besteht aus zwei Hälften.|The human brain consists of two halves.
812|das Elektron, -en|das|electron|In Chemie sprechen wir viel über Elektronen.|In chemistry we talk a lot about electrons.
813|Frankreich|das|France|Paris ist die Hauptstadt von Frankreich.|Paris is the capital of France.
814|die Freiheit, -en|die|freedom|Sie kämpfen für Freiheit.|They fight for freedom.
815|speziell|adj|special, specific|Die Schule bietet spezielle Kurse für den Umgang mit Computern an.|The school offers special courses for the use of computers.
816|französisch|adj|French|Sie mögen französische Filme.|They like French movies.
816|französisch|das|French|Französisch wird in vielen Ländern Afrikas gesprochen.|French is spoken in many African countries.
817|negativ|adj|negative|Die Wahl hat negative Auswirkungen auf die Stabilität des Landes.|The election has a negative impact on the stability of the country.
818|zentral|adj|central|Wir treffen uns an einem zentralen Ort wie dem Bahnhof.|We meet in a central place like the station.
819|die Ebene, -n|die|plane, level|Auf politischer Ebene haben wir unterschiedliche Meinungen.|We have different opinions at the political level.
820|besuchen, besucht, besuchte, hat besucht|verb|to visit|Sie besuchen sich regelmäßig.|They visit each other regularly.
821|gestern|adv|yesterday|Gestern habe ich einen Freund getroffen.|Yesterday I met a friend.
822|der Spieler, -|der|player|Wir haben viele gute Spielerinnen in unserem Team.|We have many good players on our team.
823|absolut|adj|absolute, complete|Ich vertraue dir absolut.|I trust you completely.
824|fliegen, fliegt, flog, ist geflogen|verb|to fly|Der Vogel fliegt auf den Baum.|The bird flies up the tree.
825|der Hund, -e|der|dog|Mein Hund ist mein bester Freund.|My dog is my best friend.
826|antworten, antwortet, antwortete, hat geantwortet|verb|to answer|Der Schüler antwortet auf die Frage.|The student answers the question.
827|weiterhin|adv|still, furthermore|Es gibt weiterhin Probleme mit der neuen Technik.|There are still problems with the new technology.
828|die Wand, -̈e|die|wall|Die Wände in meinem Zimmer sind rot.|The walls in my room are red.
829|rechts|adv|on/to the right|Das Haus ist auf der rechten Seite.|The house is on the right side.
830|konkret|adj|concrete|Wir haben keine konkreten Pläne für das Wochenende.|We don’t have concrete plans for the weekend.
831|russisch|adj|Russian|Anna liest gern russische Literatur.|Anna likes to read Russian literature.
831|russisch|das|Russian|Sie lernen Russisch an der Universität.|They learn Russian at the university.
832|zahlen, zahlt, zahlte, hat gezahlt|verb|to pay|Er findet, dass Männer die Rechnung zahlen sollen.|He thinks men should pay the bill.
833|zugleich|adv|both, at the same time|Unser Lehrer kann nett und streng zugleich sein.|Our teacher can be nice and strict at the same time.
834|das Feld, -er|das|field|Das Pferd steht auf dem Feld.|The horse is standing in the field.
835|verdienen, verdient, verdiente, hat verdient|verb|to earn, deserve|Zusammen verdienen wir genug Geld, um unsere Rechnungen zu bezahlen.|Together we make enough money to pay our bills.
836|amerikanisch|adj|American|Sie lebt den amerikanischen Traum.|She is living the American dream.
837|die Sekunde, -n|die|second|Eine Minute hat 60 Sekunden.|One minute has 60 seconds.
838|der Brief, -e|der|letter|Mein Freund schreibt mir einen langen Brief.|My friend is writing me a long letter.
839|das Mitglied, -er|das|member|Ich bin Mitglied einer Partei.|I’m a member of a party.
840|praktisch|adj|practical|Mein neues Handy ist kleiner und praktischer.|My new phone is smaller and more practical.
841|die Gefahr, -en|die|danger, risk|Durch das warme Wetter ist die Gefahr eines Feuers im Wald sehr groß.|Due to the warm weather, the risk of fire in the forest is very high.
842|binden, bindet, band, hat gebunden|verb|to tie, bind|Sie lernt, ihre Schuhe zu binden.|She’s learning to tie her shoes.
843|weltweit|adj|worldwide|Die Firma hat weltweite Verbindungen.|The company has worldwide connections.
844|die Liebe, -n|die|love|Sophia heiratet die Liebe ihres Lebens.|Sophia marries the love of her life.
845|der Beginn, -e|der|beginning|Zu Beginn haben wir uns nicht gemocht.|We didn’t like each other at the beginning.
846|China|das|China|Bo kommt aus China.|Bo comes from China.
847|breit|adj|wide, broad|Ihr Bruder hat breite Schultern.|Her brother has broad shoulders.
848|draußen|adv|outside|Die Kinder spielen gern draußen.|The children like to play outside.
849|die Wirkung, -en|die|effect|Welche Wirkung hat dieses Medikament?|What effect does this medication have?
850|die Bildung, -en|die|education|Den Eltern ist Bildung wichtig und daher finanzieren sie das Studium ihrer Kinder.|For the parents education is important and therefore they finance the college education of their children.
851|das Blut, -e|das|blood|Er verliert viel Blut während der Operation.|He’s losing a lot of blood during the surgery.
852|das Meer, -e|das|sea, ocean|Der Ort liegt direkt am Meer und viele der Menschen verdienen sich ihr Geld mit Fisch.|The town is located directly on the sea and many of the people make their living from fish.
853|die Anzahl, -en|die|number|Eine große Anzahl von Menschen geht wählen.|A large number of people vote.
854|die Veränderung, -en|die|change|Wir brauchen Veränderung in der Politik.|We need a change in politics.
855|durchaus|adv|absolutely, quite|Diese Annahme könnte durchaus richtig sein, sie ist es aber leider nicht.|This assumption could absolutely be correct; unfortunately, it is not.
856|der Mund, -̈er|der|mouth|Sie küsst ihn direkt auf den Mund.|She kisses him right on the mouth.
857|berechnen, berechnet, berechnete, hat berechnet|verb|to calculate, charge|Sie berechnen die Kosten für das Projekt.|They calculate the costs of the project.
858|betragen, beträgt, betrug, hat betragen|verb|to amount|Die Kosten für die gesamte Veranstaltung betragen mehrere tausend Euro.|The costs for the entire event amount to several thousand euros.
859|fremd|adj|foreign, strange|Sie zieht in eine fremde Stadt.|She’s moving to a foreign city.
860|die Untersuchung, -en|die|examination|Thomas muss für seine Untersuchung zu einem speziellen Arzt gehen.|Thomas has to see a special doctor for his examination.
861|der Fehler, -|der|mistake, error|Die Lehrerin markiert alle Fehler im Text.|The teacher marks all mistakes in the text.
862|mittlerweile|adv|in the meantime, since then|Mittlerweile haben alle Dörfer Zugang zum Internet.|In the meantime, all villages have access to the internet.
863|aufbauen, baut auf, baute auf, hat aufgebaut|verb|to build up|Sie trainiert täglich, um Kraft aufzubauen.|She trains daily to build her strength.
864|die Sonne, -n|die|sun|Du solltest deine Haut vor der Sonne schützen.|You should protect your skin from the sun.
865|das Prinzip, -ien|das|principle|Wir essen aus Prinzip kein Fleisch.|We don’t eat meat on principle.
866|vorher|adv|earlier, beforehand|Heute bekommen wir Besuch, vorher mache ich sauber.|We’re having guests today, beforehand I’ll be cleaning up.
867|der Kampf, -̈e|der|fight, struggle|Der Kampf zwischen den beiden Parteien geht weiter.|The struggle between the two parties continues.
868|die Verfügung, -en|die|disposal|Verfügungen können von Anwälten erstellt werden.|Disposals may be drawn up by lawyers.
869|feiern, feiert, feierte, hat gefeiert|verb|to celebrate|Wir feiern ihren Geburtstag.|We’re celebrating her birthday.
870|das Programm, -e|das|program|Der Leiter stellt den Teilnehmern das Programm vor.|The instructor introduces the program to the participants.
871|linke (r, s)|adj|left|Auf der rechten Seite steht die Kirche und auf der linken ist die Universität.|On the right is the church and on the left is the university.
872|der Einfluss, -̈e|der|influence|Der Chef der Firma hat einen großen Einfluss in der Branche.|The head of the company has great influence in his line of business.
873|die Temperatur, -en|die|temperature|Die Temperaturen werden weiter steigen.|Temperatures will continue to rise.
874|leer|adj|empty|Die Flasche ist leer.|The bottle is empty.
875|mitteilen, teilt mit, teilte mit, hat mitgeteilt|verb|to inform|Charlottes Mutter teilt ihr mit, dass sie und ihr Vater sich trennen.|Charlotte’s mother informs her that she and her father are separating.
876|das Verfahren, -|das|method, process, technique|Wir nutzen ein modernes Verfahren, um das Produkt herzustellen.|We use a modern process to manufacture the product.
877|danke|adv|thanks|Danke für deine Hilfe!|Thanks for your help!
878|beziehen, bezieht, bezog, hat bezogen|verb|to refer, put, get|In ihrem Artikel bezieht sie sich auf die politische Situation.|In her article she refers to the political situation.
879|verlangen, verlangt, verlangte, hat verlangt|verb|to request, demand|Ich verlange ein sauberes Zimmer.|I demand a clean room.
880|zuerst|adv|first|Zuerst studiere und dann reise ich.|First I study and then I travel.
881|die Analyse, -n|die|analysis|Die Analyse des Blutes zeigt, dass der Patient gesund ist.|The blood analysis shows that the patient is healthy.
882|klassisch|adj|classical|Sie hören klassische Musik.|They listen to classical music.
883|ehemalig|adj|former|Er mag den ehemaligen Präsidenten mehr als den jetzigen.|He likes the former president more than the current president.
884|das Bein, -e|das|leg|Er hat sehr lange Beine.|He has very long legs.
885|das Glas, -̈er|das|glass|Timo greift nach einem Glas Wasser auf dem Tisch.|Timo reaches for a glass of water on the table.
886|untersuchen, untersucht, untersuchte, hat untersucht|verb|to examine|Sie untersuchen die Entwicklung des neuen Virus.|They examine the development of the new virus.
887|kalt|adj|cold|Meine Hände sind kalt.|My hands are cold.
888|die Sorge, -n|die|worry|Die Familie hat finanzielle Sorgen.|The family has financial worries.
889|der Himmel, -|der|sky, heaven|Heute ist der Himmel blau.|The sky is blue today.
890|künftig|adj|future|Mein künftiger Job sollte interessant sein.|My future job should be interesting.
891|national|adj|national|Die Armee ist für die nationale Sicherheit verantwortlich.|The army is responsible for national security.
892|die Kirche, -n|die|church|Sie heiraten in einer alten Kirche.|They’re getting married in an old church.
893|links|adv|on/to the left|Er dreht seinen Kopf nach links.|He turns his head to the left.
894|CDU (Christlich Demokratische Union Deutschlands)|die|CDU|Sie hat die CDU gewählt.|She voted for the CDU.
895|bislang|adv|up to now|Bislang gibt es keine Informationen zu dem Unfall.|Up to now there is no information about this accident.
896|messen, misst, maß, hat gemessen|verb|to measure|Wir messen die Temperatur.|We measure the temperature.
897|lieb|adj|dear, kind|Er ist ein sehr liebes Kind.|He’s a very dear child.
898|unbedingt|adv|absolutely|Du musst dir unbedingt diesen Film anschauen.|You absolutely must watch this film.
899|der Verein, -e|der|association, club|Ich bin Mitglied in einem Verein.|I am a member of an association.
900|das Atom, -e|das|atom|Atome bestehen aus kleinen Teilchen.|Atoms consist of small particles.
901|historisch|adj|historical|Er interessiert sich für historische Gebäude.|He is interested in historical buildings.
902|sinken, sinkt, sank, ist gesunken|verb|to sink|Das Schiff sinkt bis auf den Boden des Meeres.|The ship sinks to the bottom of the sea.
903|kosten, kostet, kostete, hat gekostet|verb|to cost|Das Buch kostet nur fünf Euro.|The book costs only five euros.
904|die Vorstellung, -en|die|idea, introduction, performance|Die Vorstellung dauert zwei Stunden.|The performance lasts two hours.
905|entscheidend|adj|decisive|Die Diskussion wird einen entscheidenden Einfluss auf die Wahlen haben.|The discussion will have a decisive influence on the elections.
906|teilen, teilt, teilte, hat geteilt|verb|to divide, share|Ich teile mir ein Zimmer mit meinem Bruder.|I share a room with my brother.
907|der Typ, -en|der|type|Sie ist eher ein sportlicher Typ.|She’s more of a sporty type.
908|stammen, stammt, stammte, hat gestammt|verb|to come (from), descend|Ihre Familie stammt aus Indien.|Her family comes from India.
909|wissenschaftlich|adj|scientific, scholarly|Es gibt eine neue wissenschaftliche Studie zu diesem Thema.|There is a new scientific study about this topic.
910|wieso|pron|why|Wieso hast du mich nicht angerufen?|Why didn’t you call me?
911|der Faktor, -en|der|factor|Wir müssen alle Faktoren berücksichtigen.|We have to consider all factors.
912|die Bindung, -en|die|relationship, attachment|Mütter haben häufig eine besondere Bindung zu ihren Kindern.|Mothers often have a special relationship to their children.
913|die Literatur, -en|die|literature|Er liebt Bücher und insbesondere russische Literatur.|He loves books, especially Russian literature.
914|überraschen, überrascht, überraschte, hat überrascht|verb|to surprise|Ich wollte dich mit der Party überraschen.|I wanted to surprise you with the party.
915|bestätigen, bestätigt, bestätigte, hat bestätigt|verb|to confirm, endorse|Bitte bestätigen Sie Ihre Adresse.|Please confirm your address.
916|bewusst|adj|conscious|Das ist keine spontane Idee, sondern eine bewusste Entscheidung.|This is not a spontaneous idea, but a conscious decision.
917|der Abschnitt, -e|der|section, paragraph, chapter, passage|Mir gefällt besonders der erste Abschnitt des Textes.|I particularly like the first chapter of the text.
918|die Nähe|die|vicinity, proximity|Aufgrund ihrer Nähe zum Bahnhof ist die Wohnung teuer.|Due to its proximity to the railway station, the apartment is expensive.
919|zahlreich|adj|numerous|Es gibt zahlreiche Gründe, bei einem schweren Sturm nicht aus dem Haus zu gehen.|There are numerous reasons not to leave the house in a heavy storm.
920|medizinisch|adj|medical|Aus medizinischer Sicht ist eine große Operation im hohen Alter nicht sinnvoll.|From a medical point of view, a major surgery in old age is not advisable.
921|übrig|adj|remaining, left, leftover|Du kannst die übrige Milch trinken.|You can drink the leftover milk.
922|die Türkei|die|Turkey|Die Sachen auf dem Markt kommen aus der Türkei.|The things in the market come from Turkey.
923|die Produktion, -en|die|production|Die Produktion von elektronischen Fahrzeugen nimmt stark zu.|The production of electronic vehicles is increasing sharply.
924|drücken, drückt, drückte, hat gedrückt|verb|to press, push|Drücken Sie hier, um das Programm zu starten.|Press here to start the program.
925|drohen, droht, drohte, hat gedroht|verb|to threaten|Der Wert der Aktie droht seit gestern wieder zu sinken.|The value of the stock has been threatening to decline again since yesterday.
926|die Linie, -n|die|line|Ich zeichne eine sehr gerade Linie auf das Blatt.|I draw a very straight line on the sheet.
927|das Gas, -e|das|gas|Gas hat keine Farbe und man kann es nicht riechen.|Gas has no color and you can’t smell it.
928|schicken, schickt, schickte, hat geschickt|verb|to send|Kurts Vater schickt ihm jedes Jahr zu Weihnachten einen Brief.|Kurt’s father sends him a letter every Christmas.
929|die Hälfte, -n|die|half|Die Hälfte von zehn ist fünf.|Half of ten is five.
930|der Kontakt, -e|der|contact|Seit John in einer anderen Stadt wohnt, habe ich keinen Kontakt mehr zu ihm.|Since John has been living in another city, I have no contact with him anymore.
931|das Interview, -s|das|interview|Der Künstler hat ein Interview zu seinem neuen Projekt.|The artist has an interview about his new project.
932|egal|adv|(it’s all) the same, indifferent|Es ist mir egal, was andere Menschen über mich denken.|I’m indifferent to what other people think of me.
933|reisen, reist, reiste, ist gereist|verb|to travel|Ann-Katrin und Dominik reisen jedes Jahr in ein anderes Land.|Ann-Katrin and Dominik travel to another country every year.
934|der Berg, -e|der|hill, mountain|Die Zugspitze ist der höchste Berg Deutschlands.|The Zugspitze is the highest mountain in Germany.
